frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00029168,0.00146336,0.00178096,0.00244976,0.00918016,0.00185248
1,0.00024704,0.00100592,0.00171712,0.00242,0.00642304,0.00176064
2,0.00023888,0.00098976,0.00170416,0.0024264,0.00586832,0.00174944
3,0.00022048,0.00096672,0.0016936,0.0025104,0.00577008,0.00171392
4,0.00021264,0.0009464,0.00168784,0.0025536,0.00588896,0.00170592
5,0.00021296,0.00093904,0.00168112,0.00259392,0.00569264,0.00172208
6,0.00021232,0.00093168,0.00168,0.00250368,0.00563648,0.00170592
7,0.00021328,0.00093792,0.0016728,0.00246496,0.00576608,0.00176368
8,0.00021264,0.00093776,0.00166064,0.0023024,0.00559696,0.00174384
9,0.00021312,0.00094096,0.00163072,0.00211536,0.00557712,0.00174384
10,0.00021296,0.00094192,0.00160944,0.0020264,0.00578,0.00175088
11,0.00021424,0.00094288,0.00158672,0.00189664,0.00556336,0.00174368
12,0.00021392,0.00094064,0.00156544,0.00173232,0.00556896,0.00172144
13,0.00021312,0.00094096,0.0015704,0.00178496,0.00569472,0.00174128
14,0.00021456,0.00094464,0.0015608,0.00171264,0.00555984,0.00174192
15,0.00021376,0.00093856,0.00156016,0.00172384,0.00556784,0.00173008
16,0.0002128,0.00092912,0.00156464,0.00175424,0.005744,0.00173648
17,0.00021424,0.00093616,0.00156656,0.0017808,0.00561648,0.00173856
18,0.00021216,0.00093488,0.00157008,0.00181184,0.00563664,0.00176208
19,0.00021232,0.0009472,0.00158032,0.00191952,0.005824,0.00176272
20,0.00021104,0.00095408,0.0015856,0.00201632,0.005656,0.00172432
21,0.00021184,0.00089776,0.00160112,0.00218448,0.0056464,0.00169456
22,0.00021136,0.00095104,0.00161536,0.00237808,0.0058376,0.00175536
23,0.00020832,0.00093408,0.00163808,0.00260064,0.00567152,0.00172976
24,0.00020736,0.00094432,0.00163632,0.0027752,0.00571328,0.0017632
25,0.00020512,0.00093376,0.00166032,0.00294816,0.0058672,0.00175392
