frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00049248,0.00126944,0.00255696,0.00376736,0.022635,0.00167392
1,0.00045312,0.0009872,0.00249472,0.00352672,0.0111266,0.00166496
2,0.00042256,0.00041856,0.00242736,0.00337696,0.0108021,0.00166
3,0.00042432,0.00041616,0.002416,0.00328032,0.010632,0.00169008
4,0.00042448,0.00041856,0.0023936,0.00314496,0.0106006,0.00165872
5,0.00042512,0.0004096,0.00238384,0.00314752,0.0105858,0.0016312
6,0.00042464,0.0009376,0.00240192,0.00320032,0.010807,0.00164816
7,0.00042432,0.00041344,0.00240992,0.00349344,0.0107082,0.00164864
8,0.00042448,0.0004176,0.0024192,0.0036272,0.0107421,0.00165392
9,0.00042304,0.00041536,0.0024384,0.00381216,0.0109192,0.00166832
10,0.00042304,0.00042224,0.00242656,0.00406304,0.0108669,0.00165664
11,0.0004224,0.0004184,0.00244448,0.00420368,0.0110098,0.0016464
12,0.00042208,0.00094176,0.00242704,0.00433728,0.0112501,0.00166176
13,0.00042176,0.00095264,0.00244032,0.00472752,0.0111978,0.00164096
14,0.00042096,0.00041872,0.002488,0.00481888,0.0113664,0.00167088
15,0.00041952,0.00041632,0.00250656,0.00480992,0.0116054,0.00165008
16,0.0004176,0.00040528,0.00252176,0.00497472,0.0115664,0.00169424
17,0.00041744,0.00042064,0.0025384,0.00525312,0.0117101,0.00164992
18,0.0004176,0.0009528,0.00254912,0.00528496,0.0119323,0.00167136
19,0.00041696,0.00094752,0.00254864,0.00547872,0.0117482,0.00166848
20,0.0004176,0.0004144,0.0025488,0.00550784,0.0118906,0.00167264
21,0.00041648,0.00094432,0.00255584,0.00572272,0.0120653,0.0016664
22,0.00041536,0.00095392,0.00255424,0.00585072,0.0118992,0.00166336
23,0.0004136,0.0004216,0.00255312,0.00600368,0.0119573,0.0016568
24,0.0004128,0.0004168,0.00254208,0.00620992,0.0121686,0.00166272
25,0.00041264,0.0004176,0.00255136,0.00624256,0.0120522,0.001656
26,0.0004096,0.00096864,0.0025512,0.00640576,0.0120477,0.00166592
27,0.0004056,0.000916,0.00255088,0.00657856,0.0122221,0.00168352
28,0.0004064,0.00091312,0.00254416,0.0066752,0.0120853,0.00166688
29,0.00040384,0.0009112,0.00255824,0.00691712,0.0121443,0.00166816
30,0.0004016,0.00090864,0.00257792,0.00701616,0.0124008,0.00167888
31,0.0003992,0.0009136,0.0025976,0.00724144,0.0122256,0.0016712
32,0.00039664,0.00090688,0.00262528,0.00735776,0.0123366,0.00165936
33,0.00039376,0.00090608,0.00265216,0.00766336,0.0125046,0.00167248
34,0.00039088,0.00042816,0.002672,0.00793488,0.0123467,0.001672
35,0.00038672,0.00041936,0.00268976,0.00811936,0.0124186,0.00168192
36,0.00038144,0.00041456,0.00272832,0.00822432,0.0126741,0.0016872
37,0.00037664,0.00041376,0.0027448,0.00822336,0.0126506,0.00172816
38,0.00037408,0.00042304,0.00274672,0.00847216,0.0127568,0.00168144
39,0.00037184,0.00094912,0.0027704,0.00840688,0.0128283,0.00167488
40,0.00037344,0.00095328,0.00274352,0.00818816,0.0125032,0.00169488
41,0.0003848,0.00095088,0.00273488,0.00826256,0.0122814,0.0016648
42,0.00039712,0.00042288,0.00269296,0.00785888,0.0121349,0.00165168
43,0.00039408,0.00041024,0.00266416,0.00760864,0.0117597,0.00166624
44,0.00039456,0.00093728,0.00268752,0.00737872,0.0117142,0.00170528
45,0.0003952,0.00094224,0.00266096,0.00713296,0.0118525,0.00164
46,0.00038784,0.00093488,0.00262528,0.00695456,0.0114421,0.0016776
47,0.00038912,0.00095248,0.00257648,0.00694112,0.0111618,0.00167344
48,0.00041392,0.00041696,0.0025848,0.0067864,0.0115794,0.00165072
49,0.00041504,0.00041808,0.0025872,0.00705264,0.0114458,0.001632
50,0.0004168,0.00041776,0.00259968,0.00720896,0.0115131,0.0016632
51,0.00041504,0.00041776,0.00259616,0.00728608,0.011727,0.00166416
52,0.00041456,0.00041808,0.00257392,0.00732672,0.0113562,0.00165328
53,0.00041344,0.00042384,0.00256256,0.00751872,0.0113525,0.00166
54,0.00041424,0.00093712,0.00255696,0.00765856,0.0115501,0.00163712
55,0.00041312,0.0004232,0.00255856,0.00778912,0.0113766,0.00165552
56,0.00041376,0.00095008,0.0025632,0.00793248,0.0114208,0.00169728
57,0.00041312,0.00094528,0.002556,0.00806928,0.011572,0.0016344
