frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00029152,0.00139216,0.0017728,0.00341648,0.00921968,0.00184336
1,0.00024752,0.00093536,0.00173232,0.00292544,0.00630384,0.00174272
2,0.00023584,0.00090944,0.00171632,0.0029696,0.00588048,0.00174704
3,0.00021984,0.00090608,0.00170896,0.00305264,0.0057832,0.00176032
4,0.00021184,0.00089344,0.0016936,0.00315104,0.00589136,0.0017624
5,0.00021232,0.0008848,0.00169392,0.0031144,0.0056904,0.00174736
6,0.00021216,0.00087376,0.0016864,0.00314176,0.00564304,0.00174336
7,0.00021248,0.00088128,0.00167568,0.00298432,0.0057672,0.00175808
8,0.00021232,0.00087648,0.00166736,0.00281184,0.00561184,0.00173008
9,0.00021344,0.00088032,0.0016472,0.00261088,0.00559648,0.00176512
10,0.00021248,0.00087664,0.00161552,0.00242656,0.00576944,0.00172544
11,0.00021408,0.00088112,0.0015928,0.00228608,0.00556176,0.00173264
12,0.00021424,0.00087872,0.00158176,0.00220096,0.00555744,0.00172448
13,0.00021392,0.00088144,0.00157088,0.00213904,0.00571344,0.00173616
14,0.00021392,0.00087136,0.00157552,0.00212208,0.00552448,0.0017368
15,0.00021312,0.00088256,0.0015768,0.00211328,0.00557744,0.00174656
16,0.00021328,0.00088352,0.0015704,0.00213184,0.00574096,0.00175264
17,0.00021392,0.00088496,0.00157232,0.00215088,0.0056208,0.001736
18,0.00021344,0.00087328,0.00157872,0.00218592,0.00562656,0.00175104
19,0.00021264,0.00086928,0.00158976,0.00232384,0.00581664,0.00175568
20,0.00021216,0.00087712,0.0015776,0.00249552,0.00567888,0.001752
21,0.000212,0.00087904,0.0016064,0.00268576,0.0056664,0.001736
22,0.0002104,0.00089152,0.00162384,0.00290256,0.0058248,0.0017432
23,0.0002096,0.0008896,0.00163728,0.00321008,0.0056776,0.001756
24,0.00020752,0.00035168,0.00164688,0.0034344,0.00572128,0.00174672
25,0.0002064,0.0008752,0.00166832,0.00375232,0.00587888,0.00172032
26,0.00020496,0.00087616,0.00168208,0.00404832,0.00572768,0.001756
27,0.0002056,0.00034992,0.00168192,0.00440896,0.00577552,0.0017576
28,0.000204,0.00035216,0.0017024,0.00478416,0.00592336,0.00172864
29,0.00020272,0.00035152,0.0017048,0.0052536,0.00581392,0.00174928
30,0.00020144,0.00087424,0.00171632,0.00550368,0.00584416,0.00170976
31,0.0002,0.00085792,0.00172384,0.00587648,0.0060416,0.00175168
32,0.00019808,0.000856,0.001732,0.00610064,0.0058976,0.00176016
33,0.00019712,0.00087616,0.00172864,0.00644848,0.00592096,0.00176368
34,0.00019472,0.00035168,0.00174368,0.0067264,0.0061024,0.0017496
35,0.0001928,0.00086736,0.00176224,0.00698976,0.00599024,0.00177488
36,0.00019168,0.0008656,0.00176704,0.00716064,0.00601648,0.00175024
37,0.00018896,0.00035136,0.00177968,0.0073136,0.00624432,0.00174256
38,0.00018864,0.0003496,0.00177936,0.00752432,0.00619152,0.00177248
39,0.00018624,0.00035088,0.0017664,0.007612,0.00622608,0.00178272
40,0.00018544,0.00035104,0.00177952,0.00767792,0.00640864,0.00176656
41,0.00018288,0.00035024,0.00178208,0.00764272,0.00630288,0.00174176
42,0.00017952,0.0008624,0.00177152,0.00752704,0.00625232,0.00174432
43,0.000184,0.00035584,0.0017824,0.00738704,0.0063184,0.00176032
44,0.00019056,0.00035216,0.00175824,0.00719312,0.00601248,0.0017552
45,0.0001896,0.00034752,0.00173728,0.00703984,0.00592288,0.00174496
46,0.00018752,0.000352,0.00172848,0.00684224,0.00597824,0.00174768
47,0.00018576,0.00087456,0.00172256,0.00659088,0.00584096,0.00176736
48,0.00018,0.00086368,0.00170208,0.00635392,0.00566256,0.00176176
49,0.00018256,0.00035056,0.0016728,0.0062616,0.00571552,0.00177264
50,0.0001968,0.00087376,0.00167312,0.00629248,0.0057656,0.00175584
51,0.00019648,0.00035152,0.00168432,0.00628576,0.0058288,0.00178192
52,0.00019616,0.00035136,0.00167632,0.00635616,0.00595936,0.00175808
53,0.00019744,0.00035008,0.00167568,0.00642256,0.00585824,0.00176976
54,0.00019648,0.00035168,0.00167552,0.0065304,0.00579984,0.0017456
55,0.0001968,0.00086944,0.00166464,0.00644816,0.00592272,0.00176592
56,0.00019664,0.00035488,0.00167312,0.00662512,0.00581072,0.00176512
57,0.00019632,0.00087184,0.00166528,0.00678496,0.0057896,0.0017488
58,0.00019616,0.00035616,0.00166928,0.00688224,0.00595936,0.00175872
59,0.00019552,0.0003544,0.001676,0.00695808,0.00583472,0.00174768
60,0.00019568,0.00087776,0.0016648,0.00706944,0.00581216,0.00171632
61,0.000196,0.00087584,0.00168176,0.00722576,0.00597744,0.00174576
62,0.00019648,0.00087968,0.00167504,0.00732816,0.00585664,0.0017776
63,0.00019488,0.00089856,0.00168464,0.00746048,0.00587264,0.0017696
64,0.00019536,0.0008824,0.00167904,0.0075976,0.006048,0.00174432
65,0.00019632,0.00087968,0.00169136,0.00768592,0.00592736,0.00173024
66,0.00019568,0.00085824,0.00169472,0.00786016,0.0059368,0.00175936
67,0.0001944,0.00087568,0.00168928,0.00796224,0.00611328,0.00174624
68,0.00019344,0.00087472,0.00168816,0.00811872,0.00601728,0.00176304
69,0.000192,0.00086208,0.00170688,0.00817376,0.00605632,0.00176336
70,0.00019312,0.00089248,0.00169408,0.00835216,0.00622912,0.0017528
71,0.00019232,0.00087648,0.00170688,0.00850624,0.00610064,0.00177216
72,0.0001912,0.00087664,0.00171552,0.00861712,0.0061288,0.00174384
73,0.00018992,0.00087344,0.00171824,0.0088496,0.00633584,0.00175408
74,0.00018672,0.00087376,0.00171968,0.00906816,0.00622736,0.00175712
75,0.0001872,0.00087568,0.00171344,0.00912624,0.00627024,0.00177568
76,0.00018416,0.00088704,0.0017184,0.00935456,0.00642208,0.00177952
77,0.0001792,0.00088064,0.00173536,0.00934864,0.00627376,0.00177264
78,0.00017296,0.00087888,0.00172544,0.00960608,0.0062832,0.00177408
79,0.00017568,0.000876,0.00173456,0.00976,0.0065264,0.00178016
80,0.00018576,0.00087376,0.00174304,0.00990272,0.00648656,0.00173712
81,0.00018848,0.0008752,0.00172256,0.0101002,0.0064216,0.00175072
82,0.00019024,0.0008744,0.00171184,0.010224,0.00659456,0.0017408
83,0.00019152,0.00087312,0.00171008,0.0103803,0.0065168,0.00173968
84,0.00018672,0.00087568,0.00171632,0.0105568,0.00668272,0.00174608
85,0.00018144,0.0008816,0.00171984,0.0107931,0.00694224,0.00174656
86,0.00018336,0.00088368,0.00171728,0.0108762,0.00688128,0.00176064
87,0.00018576,0.00088224,0.0017064,0.010915,0.00693264,0.0017696
88,0.00019488,0.00088,0.00172848,0.0109539,0.00721392,0.00177616
89,6.576e-05,0.00088016,0.0016912,0.0100826,0.00727024,0.00184704
