frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00085152,0.00504736,0.00350592,0.00650416,0.0161498,0.001904
1,0.00046944,0.00092928,0.00252656,0.00452688,0.0120549,0.00166896
2,0.00045152,0.0003144,0.00248064,0.00429008,0.0110312,0.00164256
3,0.00042096,0.00030816,0.00240832,0.00413728,0.0110181,0.00163456
4,0.00042352,0.00030912,0.0023824,0.00409248,0.0105208,0.00164128
5,0.00042384,0.00033104,0.00237472,0.004072,0.0104936,0.00165824
6,0.00042256,0.00033408,0.0023968,0.0043376,0.0108749,0.00166144
7,0.0004224,0.00033472,0.00241072,0.0045264,0.0105797,0.00165504
8,0.0004224,0.00033264,0.00239744,0.0047016,0.0106488,0.00167904
9,0.00042256,0.00032032,0.00243072,0.00489904,0.0110315,0.00165264
10,0.0004224,0.00088752,0.00243008,0.00525152,0.0107902,0.0016928
11,0.0004224,0.000332,0.00243488,0.00552176,0.0108685,0.00165472
12,0.00042192,0.00086784,0.00242912,0.00588752,0.0113469,0.00166416
13,0.00042176,0.00033216,0.00243648,0.00604784,0.0110864,0.00165792
14,0.00042032,0.00086192,0.0024624,0.00631984,0.0112525,0.00165872
15,0.00042,0.0003312,0.00250192,0.00639152,0.0117262,0.00167248
16,0.00041856,0.00032352,0.00250944,0.00674112,0.0114664,0.00161248
17,0.00041856,0.00086064,0.0025376,0.00684208,0.0115912,0.0016504
18,0.00041648,0.000332,0.0025264,0.00710224,0.0120448,0.00164448
19,0.0004168,0.00086544,0.0025464,0.00722,0.0117179,0.00165584
20,0.00041744,0.000336,0.00254688,0.00745536,0.0117739,0.00168176
21,0.00041584,0.00086352,0.00255392,0.00752944,0.0121539,0.0016672
22,0.00041264,0.00086144,0.00255136,0.00765712,0.0118016,0.00168576
23,0.00041392,0.00086256,0.00255472,0.00789728,0.0118288,0.00164464
24,0.00041184,0.00069536,0.00252544,0.00816864,0.0122597,0.00165856
25,0.00041104,0.00069312,0.00253568,0.00838128,0.0119315,0.00166608
26,0.000408,0.00033328,0.00253408,0.00848608,0.0119749,0.00163424
27,0.00040752,0.00033488,0.00254208,0.00868976,0.0123184,0.00164032
28,0.00040592,0.00033248,0.00254352,0.00887296,0.0120406,0.0016744
29,0.00040128,0.00033248,0.00254672,0.00900576,0.0120717,0.00166832
30,0.00040112,0.00033168,0.00257312,0.00919232,0.0124859,0.00167344
31,0.00039856,0.00033344,0.00257904,0.00945216,0.0121862,0.0016616
32,0.00039696,0.00032576,0.0026096,0.00973104,0.0122222,0.0016608
33,0.00039184,0.00033184,0.00265104,0.0100565,0.0126006,0.00171728
34,0.00038928,0.000864,0.00266432,0.0102962,0.0122813,0.0016736
35,0.0003864,0.00033264,0.00268592,0.010484,0.0123134,0.00168144
36,0.0003816,0.00033152,0.0026976,0.0104667,0.0127571,0.00167984
37,0.00037632,0.00033072,0.00274112,0.0106688,0.0125496,0.00168496
38,0.0003728,0.00033152,0.00276192,0.0108234,0.0126702,0.00167392
39,0.00037104,0.00034912,0.00276592,0.0109067,0.0129406,0.00166816
40,0.00037328,0.00086928,0.002736,0.0107387,0.0124122,0.00167264
41,0.0003856,0.00033392,0.00272832,0.0106523,0.0122173,0.00165136
42,0.00039552,0.00033312,0.0026856,0.0101509,0.0122117,0.00163536
43,0.00039408,0.00033248,0.00266896,0.00981328,0.0116395,0.00163776
44,0.00039408,0.00033392,0.0026728,0.00967648,0.0116021,0.00165376
45,0.00039392,0.0003336,0.0026592,0.00944496,0.0119517,0.00164336
46,0.00039008,0.00033152,0.00260976,0.00918608,0.011387,0.00167008
47,0.00038896,0.00033296,0.00258096,0.00914608,0.0110842,0.0017008
48,0.00041264,0.0003336,0.00257872,0.00924048,0.0116589,0.001668
49,0.00041472,0.00088496,0.00258112,0.00941632,0.0113261,0.00164368
50,0.00041488,0.0003544,0.00259008,0.00947712,0.0114296,0.00164896
51,0.00041408,0.00034656,0.00259152,0.00952992,0.0117725,0.00166176
52,0.00041392,0.0003496,0.00256416,0.00966448,0.0112418,0.00166112
53,0.00041296,0.00034992,0.00256128,0.00991264,0.0112539,0.00165472
54,0.00041424,0.00035088,0.00254736,0.0101269,0.0116098,0.0016256
55,0.00041296,0.00036224,0.00255888,0.0102192,0.011292,0.00170304
56,0.00041296,0.0003488,0.00255856,0.0105149,0.011288,0.0016312
57,0.000412,0.00034768,0.00254928,0.0106994,0.0116448,0.0017048
58,0.00041184,0.00035072,0.00256944,0.0107512,0.011353,0.00160832
59,0.0004112,0.00034976,0.00258992,0.0110109,0.0113202,0.0016624
60,0.000412,0.0003504,0.00258688,0.0112062,0.0116531,0.00164624
61,0.00041184,0.00035184,0.00259296,0.0113306,0.0113723,0.00164464
62,0.00040992,0.00035136,0.00258752,0.011556,0.0114358,0.001656
63,0.00040976,0.00035232,0.00260176,0.0117365,0.0118368,0.00165888
64,0.00040912,0.00035312,0.0026048,0.0119418,0.0115581,0.00167456
65,0.0004096,0.00034944,0.00261456,0.0121088,0.0116336,0.00170832
66,0.00040896,0.00035008,0.00263536,0.0124,0.0121083,0.00166592
67,0.00040784,0.00035024,0.00265968,0.0126597,0.0118507,0.00163936
68,0.00040576,0.00035184,0.00266544,0.0129237,0.0119906,0.00166304
69,0.00040464,0.0003528,0.00269328,0.0131688,0.0124883,0.0016408
70,0.00040368,0.000888,0.00272656,0.0134243,0.0122629,0.00164592
71,0.00040192,0.000884,0.00272528,0.0136357,0.0123141,0.00164976
72,0.00040016,0.00035408,0.00271888,0.0138608,0.0128099,0.0016632
73,0.00039648,0.00035376,0.00273904,0.0140357,0.0125891,0.00165376
74,0.00039376,0.00088752,0.0027584,0.0142338,0.012836,0.00167104
75,0.00038704,0.00088864,0.00276736,0.0144077,0.013347,0.00170544
76,0.00039584,0.0008856,0.00275856,0.0146182,0.0131035,0.00170944
77,0.00039904,0.00088416,0.00274848,0.0146054,0.0129973,0.00164
78,0.00039808,0.00088496,0.0027168,0.0145509,0.0131738,0.00166416
79,0.000396,0.00088656,0.00269568,0.0144698,0.0126638,0.00169584
80,0.000396,0.00088832,0.00266608,0.0143405,0.0125859,0.00166848
81,0.00039552,0.00089136,0.00265888,0.0143522,0.0128458,0.00165728
82,0.0004024,0.00088496,0.00266064,0.0143754,0.0127338,0.00165088
83,0.00040128,0.00088592,0.00266032,0.0143309,0.0127669,0.00163936
84,0.00039536,0.00088992,0.00264752,0.0142672,0.0131058,0.00167584
85,0.0003808,0.0008904,0.00265536,0.014099,0.0128654,0.00167456
86,0.00038128,0.00088864,0.00265392,0.0139414,0.013301,0.0016648
87,0.00040032,0.00088992,0.00265504,0.0137979,0.0139832,0.00165792
88,0.00041328,0.0008832,0.0026528,0.0134382,0.0138854,0.00165872
89,0.0001248,0.0003536,0.00264064,0.0126931,0.0142662,0.00179024
90,0.00012384,0.00088208,0.00261904,0.0128501,0.0136376,0.00176272
91,0.00039856,0.0008848,0.00251392,0.0132712,0.0113323,0.0016384
92,0.00039424,0.00035408,0.00244352,0.0130002,0.0104301,0.0017008
93,0.0003992,0.00088848,0.00243152,0.0128965,0.0106968,0.00171008
94,0.00040016,0.00035184,0.00243024,0.0130686,0.0103318,0.00166576
95,0.00039904,0.00034944,0.0024352,0.0131502,0.0103104,0.00169504
96,0.0003968,0.00088352,0.00242352,0.0132506,0.0106683,0.00166736
97,0.00039792,0.00088272,0.00242096,0.0134149,0.0102475,0.00167152
98,0.00039616,0.00089248,0.00241488,0.0135898,0.0102648,0.00164016
99,0.000396,0.0008816,0.00242672,0.0136918,0.0105947,0.00166608
100,0.0003944,0.00088224,0.00240752,0.0138741,0.0101962,0.001656
101,0.00039264,0.00086416,0.00240976,0.0140946,0.0101621,0.00165552
102,0.00039024,0.00087632,0.00240144,0.0143102,0.0105043,0.00166176
103,0.00038912,0.0008744,0.00240608,0.0145677,0.0101059,0.00164848
104,0.00038752,0.00088576,0.00240304,0.0147285,0.0101323,0.00164048
105,0.00038512,0.00088256,0.00239968,0.0150646,0.0104462,0.001696
106,0.00038384,0.00035008,0.00240352,0.0152462,0.0100939,0.00162576
107,0.00038112,0.00088128,0.0023752,0.0156051,0.0100294,0.00166112
108,0.00037776,0.0008816,0.00236112,0.0158728,0.0103514,0.00165024
109,0.00037456,0.00088464,0.00237136,0.0160837,0.0098528,0.0016504
110,0.00037072,0.00088336,0.002368,0.0166126,0.0098224,0.0016248
111,0.00036928,0.0008792,0.00237728,0.0169485,0.010129,0.0016736
112,0.00036624,0.00088144,0.0023848,0.0174894,0.00980096,0.00166672
113,0.00036384,0.00087456,0.00240832,0.0179742,0.00973472,0.00163472
114,0.00036128,0.00087792,0.00240784,0.0184773,0.00996288,0.00165232
115,0.00035744,0.00087408,0.00241504,0.0190674,0.00940096,0.00166672
116,0.00035696,0.00088176,0.00240912,0.0195568,0.00923984,0.00168512
117,0.00035776,0.00035104,0.00241472,0.0199581,0.00940048,0.0016728
118,0.0003576,0.00035296,0.00242512,0.0205792,0.00900192,0.00166048
119,0.00035536,0.00035152,0.00244416,0.0212014,0.00904208,0.00165552
120,0.0003536,0.00088176,0.00246944,0.021819,0.0094304,0.00169664
121,0.00035088,0.00088144,0.00248512,0.0226469,0.00911168,0.00164864
122,0.00034784,0.00035024,0.00251184,0.0235686,0.00920272,0.0017096
123,0.00034576,0.000348,0.0025216,0.0240587,0.00957088,0.00166304
124,0.00034336,0.00034976,0.00252528,0.0246744,0.00929472,0.00163712
125,0.00034224,0.00034992,0.00254736,0.0254035,0.00933168,0.00165488
126,0.0003376,0.0003416,0.00255888,0.025927,0.0097392,0.0016544
127,0.00033616,0.00034896,0.00258096,0.026592,0.009432,0.00167024
128,0.000332,0.00088608,0.00258864,0.0272938,0.00946432,0.00168032
129,0.00032848,0.00088688,0.00261408,0.0280637,0.00983712,0.00166416
130,0.00032656,0.0003512,0.0026224,0.0286328,0.00950048,0.00164768
131,0.00032208,0.00035024,0.00262624,0.0291246,0.00950448,0.00167488
132,0.00031776,0.00034944,0.00263584,0.029909,0.0098816,0.00166752
133,0.00031504,0.00034784,0.00263392,0.0304899,0.00951792,0.00169904
134,0.00031184,0.00088448,0.002604,0.0312758,0.0095208,0.0016552
135,0.0003104,0.00035104,0.00258976,0.0319078,0.00986096,0.00166176
136,0.00030672,0.00088272,0.00256544,0.032437,0.00954192,0.00165136
137,0.00030128,0.00087584,0.00257664,0.0322181,0.00950544,0.00169824
138,0.00029552,0.00087904,0.0025744,0.0329166,0.00988816,0.00170976
139,0.00029024,0.00035024,0.00256544,0.0331811,0.009528,0.00165264
140,0.00028464,0.00088448,0.00256,0.0330736,0.00953344,0.00171984
141,0.00027936,0.00088176,0.00256384,0.0332219,0.00993152,0.00171184
142,0.00027296,0.00087984,0.00255936,0.033405,0.00965376,0.00167712
143,0.00026448,0.000884,0.00257696,0.0332906,0.00965584,0.00168336
144,0.00025776,0.00035296,0.00256304,0.0329034,0.0100923,0.00166992
145,0.00025136,0.00087808,0.00256256,0.0325923,0.0097336,0.00167264
146,0.00024864,0.00037264,0.00256336,0.0320725,0.0098056,0.00171408
147,0.0002456,0.00087536,0.00255136,0.0313221,0.0101187,0.0016976
148,0.00024208,0.00035552,0.00255072,0.0308656,0.00977968,0.00169184
149,0.00023728,0.00087856,0.0025488,0.0304514,0.00969776,0.0016864
150,0.0002336,0.00087824,0.00253536,0.0299141,0.0100302,0.0016744
151,0.00023072,0.0008768,0.00251248,0.0293365,0.00963712,0.00170768
152,0.00022656,0.00087744,0.00252096,0.0285922,0.00966368,0.00169392
153,0.00022224,0.00035088,0.0025168,0.0286757,0.00997344,0.00167248
154,0.0002176,0.00035264,0.00250896,0.0285958,0.00961984,0.00168272
155,0.00021232,0.00035264,0.0025104,0.0284314,0.00963568,0.0016864
156,0.00020768,0.00035008,0.00248928,0.0285246,0.0100304,0.00170496
157,0.00020352,0.00088416,0.00247648,0.0279859,0.009664,0.0017416
158,0.00019584,0.00035936,0.00247312,0.0278954,0.00968768,0.0017
159,0.0001848,0.00036032,0.00247744,0.0279664,0.0100278,0.00171584
160,0.00017296,0.00088336,0.00248304,0.027784,0.00969168,0.0017008
161,0.00016112,0.00087488,0.00247984,0.0279618,0.00956512,0.00173888
162,0.00014896,0.00087648,0.00247792,0.0275954,0.00987472,0.00173472
163,0.00013616,0.0008736,0.00246336,0.0277605,0.0094496,0.00178848
164,0.00012816,0.00088416,0.00246016,0.027879,0.0093968,0.00179632
