frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00034576,0.00087792,0.00048048,0.0219245,0.00807856,0.00025328
1,0.00024096,0.00033184,0.00044688,0.0202629,0.00552224,0.00022848
2,0.00023984,0.00030656,0.00044656,0.0200102,0.0044536,0.00022816
3,0.00023936,0.000468,0.00044752,0.0209427,0.00447968,0.00022736
4,0.0002416,0.0003,0.00045296,0.0210966,0.00446688,0.00022704
5,0.00023808,0.00030112,0.00045792,0.021391,0.00452464,0.00022768
6,0.00023776,0.00030208,0.00045632,0.0215912,0.00449328,0.00022816
7,0.0002392,0.00029776,0.00045984,0.0217442,0.00453008,0.0002272
8,0.00023856,0.0003056,0.00046128,0.0219245,0.00453072,0.00022608
9,0.00023696,0.00049152,0.00046816,0.0219242,0.00454864,0.00022736
10,0.00023664,0.00030208,0.00046464,0.0220485,0.00456544,0.00022688
11,0.00023872,0.00029968,0.0004672,0.0224696,0.00456352,0.00023296
12,0.00023232,0.00035216,0.0004712,0.022681,0.00459104,0.00023504
13,0.00023664,0.0003512,0.000476,0.022755,0.00460112,0.00022912
14,0.00024,0.0005168,0.00047984,0.0230829,0.0046352,0.00023408
15,0.00023808,0.00039824,0.00048128,0.0235573,0.0046344,0.00023248
16,0.00023664,0.00032416,0.0004832,0.0239936,0.00465184,0.00022784
17,0.00023808,0.0004936,0.0004856,0.0238283,0.0046824,0.00023296
18,0.00023952,0.0004696,0.00049072,0.0238602,0.0046968,0.00023248
19,0.00024064,0.00055616,0.00049088,0.0242528,0.00468976,0.00023568
20,0.00023792,0.00036096,0.00049232,0.0242814,0.00474048,0.0002272
21,0.00024048,0.0004704,0.00049776,0.0242666,0.00472912,0.00023424
22,0.0002392,0.00047024,0.00049888,0.0244227,0.00475472,0.00023392
23,0.00023648,0.00047392,0.00050352,0.0247498,0.00477632,0.0002328
24,0.00023904,0.00046832,0.00049968,0.0249925,0.00476784,0.00023264
25,0.00024128,0.00040656,0.00050224,0.0252462,0.00479712,0.00023424
26,0.00024576,0.00047952,0.00050656,0.0255541,0.00482544,0.0002336
27,0.0002408,0.00046704,0.00050864,0.0253304,0.00484448,0.00023216
28,0.0002344,0.0004656,0.00050816,0.025733,0.00484192,0.00023424
29,0.00023248,0.00034544,0.0005096,0.0255112,0.0048696,0.00022896
30,0.00023648,0.0003776,0.00051312,0.0255352,0.00488,0.00023536
31,0.000236,0.00038736,0.00050976,0.025639,0.00488864,0.00023264
32,0.00023568,0.00037328,0.000512,0.0257845,0.00489376,0.00022768
33,0.00023344,0.00032256,0.00050992,0.026031,0.00491696,0.00022736
34,0.00023536,0.00047376,0.00050768,0.0260547,0.00488448,0.00023328
35,0.00023328,0.00034816,0.00051536,0.0263158,0.00492032,0.0002336
36,0.00023616,0.00032272,0.00051712,0.0261138,0.00490944,0.00023344
37,0.00023216,0.0004584,0.0005216,0.0261419,0.0049488,0.00022896
38,0.00023072,0.00047264,0.00052256,0.0260462,0.00495696,0.00022768
39,0.00023328,0.00030928,0.00052272,0.0258765,0.00495472,0.0002288
40,0.00023984,0.00035376,0.00052448,0.0258542,0.00493296,0.00022784
41,0.00023376,0.00034672,0.00052352,0.0259019,0.00496224,0.00023296
42,0.0002312,0.00034128,0.0005224,0.0258522,0.00494336,0.00022896
43,0.00023168,0.00033552,0.00052448,0.025727,0.00495552,0.00022848
44,0.00023168,0.00033968,0.00052,0.0258738,0.00496976,0.00022768
45,0.0002392,0.00048,0.00052768,0.0255504,0.005032,0.00022848
46,0.00023616,0.000356,0.00052832,0.0254189,0.00497984,0.00023456
47,0.00023984,0.0004848,0.0005256,0.0252875,0.00499088,0.00023296
48,0.00023744,0.00047056,0.00053072,0.0251155,0.00505232,0.00023312
49,0.00023792,0.0004672,0.0005312,0.0249832,0.00507792,0.0002288
50,0.00023504,0.00046864,0.00053152,0.0247427,0.00511488,0.00023488
51,0.00023936,0.00036832,0.00053248,0.0246698,0.00510704,0.0002336
52,0.0002376,0.0004672,0.00053312,0.0245315,0.00512096,0.00023456
53,0.0002416,0.00047936,0.00053184,0.024445,0.00511072,0.00023472
54,0.0002392,0.00046384,0.000532,0.0241818,0.00514864,0.00022752
55,0.00023952,0.00046736,0.00053584,0.0240202,0.00517296,0.000228
56,0.0002368,0.00053264,0.00053136,0.0238285,0.00516304,0.00023536
57,0.00024256,0.00046976,0.00053408,0.0236846,0.00515184,0.00023344
58,0.0002408,0.00046832,0.00053008,0.023245,0.005172,0.00023296
59,0.00024832,0.00057872,0.00053152,0.0180112,0.005192,0.0002336
60,0.00024176,0.00033952,0.0005352,0.0177664,0.00515616,0.00022912
61,0.00023936,0.00047488,0.00053344,0.0176029,0.005184,0.00023616
62,0.00024208,0.00057296,0.00053744,0.0173046,0.00520448,0.00023296
63,0.0002384,0.00047296,0.00053696,0.0171354,0.00522384,0.00023264
64,0.0002472,0.00035152,0.0005344,0.0167126,0.0052184,0.00023312
65,0.00024752,0.00053616,0.00053968,0.0165334,0.0052424,0.0002336
66,0.00025008,0.00034032,0.00053712,0.0162307,0.00520512,0.00023296
67,0.00024928,0.00047328,0.00053792,0.0158354,0.00520368,0.00023408
68,0.00025248,0.00045984,0.00053232,0.0156786,0.00518,0.00023376
69,0.00025424,0.00050272,0.00053248,0.0154926,0.00524912,0.00023216
70,0.00024544,0.0003704,0.0005344,0.0152123,0.00520608,0.00023296
71,0.0002496,0.00047312,0.0005304,0.0150498,0.0052424,0.00023312
72,0.0002512,0.00047312,0.0005352,0.0148678,0.00519616,0.00023264
73,0.00025248,0.00035632,0.00053392,0.0146978,0.00517696,0.00023328
74,0.0002488,0.00046304,0.0005304,0.0144168,0.0051872,0.00023552
75,0.00025024,0.00046528,0.00053152,0.0141618,0.00515056,0.00023408
76,0.00024768,0.00035024,0.00052848,0.0138896,0.00517248,0.00022912
77,0.00025776,0.00056288,0.00053104,0.0136598,0.00517744,0.00023408
78,0.00024848,0.00048048,0.00053488,0.0134506,0.00517312,0.00022944
79,0.00025504,0.00047296,0.00053104,0.0132632,0.00515312,0.00023264
80,0.00025168,0.00047808,0.00052912,0.0130072,0.00511424,0.00023296
81,0.00025504,0.00049312,0.00052496,0.0127154,0.00511824,0.00023408
82,0.00025936,0.0003392,0.00052496,0.0125301,0.00512496,0.00023344
83,0.00026096,0.00036528,0.00052608,0.0123318,0.00513616,0.00023232
84,0.00025984,0.00033584,0.00052112,0.0120877,0.00510928,0.00023232
85,0.000256,0.00037248,0.00052416,0.0119074,0.00508272,0.00023632
86,0.00026096,0.00038112,0.00052224,0.0116931,0.00506832,0.00023312
87,0.00026032,0.00050336,0.000516,0.0114778,0.0050552,0.00023344
88,0.00025824,0.0004952,0.00051936,0.0113173,0.00505728,0.00022896
89,0.00026224,0.00048192,0.00051728,0.0111048,0.00502752,0.00023264
90,0.0002624,0.00048032,0.0005152,0.0109093,0.00499248,0.00023232
91,0.00026272,0.00045392,0.00050976,0.0106856,0.00504192,0.00023296
92,0.00026464,0.00046592,0.0005104,0.0104677,0.0050224,0.00023376
93,0.00025984,0.0004664,0.0005168,0.0102552,0.00498656,0.00022784
94,0.00025712,0.00035232,0.00051536,0.0100538,0.00503808,0.00023472
95,0.00026352,0.00033904,0.00051264,0.00982064,0.00499776,0.0002328
96,0.00027024,0.00046144,0.00051072,0.00963872,0.00500528,0.00023424
97,0.0002656,0.00047968,0.00051344,0.00942096,0.00501088,0.00023344
98,0.0002688,0.00032368,0.00051008,0.00930064,0.00504704,0.00022816
99,0.00026912,0.0003272,0.0005112,0.00908432,0.00503792,0.00023504
100,0.00027024,0.00033872,0.0005104,0.00894752,0.0050288,0.00023344
101,0.00026912,0.00047584,0.0005112,0.00877136,0.00502144,0.00023408
102,0.00026512,0.00045904,0.00051312,0.00856016,0.00499104,0.00023328
103,0.00026992,0.0004648,0.00054048,0.008256,0.0049816,0.0002336
104,0.00027312,0.00037664,0.00054416,0.00789664,0.00498176,0.00023392
