frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.0003728,0.00252608,0.00208672,0.00845344,0.0008576,0.0224595,0.00025568
1,0.00033792,0.0023712,0.00204112,0.00693872,0.00052528,0.0216555,0.00024528
2,0.0003288,0.00233168,0.00211008,0.00684288,0.00071408,0.0216264,0.0002456
3,0.00032432,0.00232816,0.0021296,0.0068392,0.00053024,0.0215811,0.00024784
4,0.00031648,0.0023072,0.00211648,0.00681936,0.00055408,0.0216205,0.00024528
5,0.00033312,0.0023208,0.00210336,0.00683088,0.00052048,0.0214749,0.00024352
6,0.00031504,0.00229072,0.0020072,0.00681312,0.00051904,0.0215643,0.00024256
7,0.0003248,0.00230016,0.00211632,0.00682096,0.00070288,0.0215205,0.00024288
8,0.00032464,0.00229072,0.001996,0.00681888,0.00053088,0.0216027,0.00024528
9,0.000328,0.00229264,0.0022024,0.00680912,0.00051728,0.0215973,0.00024448
10,0.00032976,0.0022712,0.00197312,0.00682576,0.00051824,0.0217774,0.00024432
11,0.00036576,0.00228304,0.00208944,0.00685296,0.00059664,0.0222858,0.00025632
12,0.00033296,0.00236048,0.00209472,0.00713648,0.0007104,0.0218195,0.00024704
13,0.00032944,0.00236368,0.0019744,0.00706432,0.00052464,0.0217877,0.00024528
14,0.00033392,0.00233376,0.00209056,0.00705616,0.00051984,0.021897,0.00024512
15,0.00033376,0.00232432,0.00211808,0.0070416,0.00053456,0.0217891,0.0002456
16,0.00032992,0.00230944,0.00193616,0.00705776,0.00051392,0.0218381,0.00024448
17,0.00033456,0.00230816,0.00206464,0.00706384,0.0005928,0.0217925,0.00024224
18,0.00033216,0.00227376,0.00193696,0.00706736,0.0005344,0.0220558,0.00024704
19,0.00032656,0.00227728,0.00218208,0.00708544,0.0005312,0.0222379,0.00024592
20,0.00032448,0.0022912,0.00218416,0.00710832,0.0005152,0.0222174,0.00024544
21,0.00033184,0.00228768,0.0020632,0.00711744,0.00070784,0.0223523,0.00024288
22,0.00032176,0.0022792,0.00206704,0.00711504,0.00054288,0.0222438,0.0002472
23,0.0003272,0.00226368,0.00201456,0.00713552,0.00051856,0.0223205,0.00024288
24,0.00033184,0.00228176,0.00200272,0.00714656,0.00050752,0.0222827,0.00024784
25,0.00031968,0.0022752,0.00208064,0.00719552,0.00058192,0.0222266,0.00024256
26,0.00033056,0.00228128,0.00216576,0.0072096,0.00070608,0.0222885,0.00024352
27,0.00032128,0.00226768,0.00206784,0.007216,0.00053184,0.0226902,0.00024256
28,0.00033072,0.00228576,0.00205424,0.0072384,0.000572,0.0225859,0.0002448
29,0.00033312,0.00228272,0.0021592,0.00723728,0.00052256,0.0224083,0.00024656
30,0.00033088,0.00229056,0.0019312,0.00724112,0.00052192,0.0223619,0.00024432
31,0.00033776,0.00226704,0.00211632,0.00727376,0.00060976,0.0223987,0.00024336
