frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,5.568e-05,0.00128768,0.00098176,0.00083808,0.00211504,0.0001768
1,4.144e-05,0.00054096,0.00097792,0.00083584,0.00102912,0.00016752
2,4.512e-05,0.00057072,0.00097968,0.00082384,0.00102496,0.00014336
3,3.376e-05,0.00044416,0.00070096,0.00060032,0.00075808,0.00012368
4,3.392e-05,0.00043696,0.00069968,0.00059936,0.00074768,0.0001232
5,3.376e-05,0.00042704,0.00069984,0.00060064,0.00074672,0.00012384
6,2.896e-05,0.00043776,0.0005744,0.00050528,0.00075648,0.00011184
7,2.96e-05,0.00039328,0.00057248,0.00049728,0.0006472,0.00011152
8,2.432e-05,0.00039568,0.00057392,0.00049728,0.00064992,0.00011008
9,2.848e-05,0.00041696,0.00057504,0.00050704,0.0006512,0.00011024
10,2.272e-05,0.00038128,0.00054624,0.000508,0.00065632,0.00010944
11,2.736e-05,0.00041536,0.00054592,0.00049744,0.00063232,0.0001112
12,2.272e-05,0.00038832,0.00054688,0.0005032,0.00064608,0.00010592
13,2.704e-05,0.00040832,0.00054704,0.0005176,0.0006472,0.0001144
14,2.64e-05,0.00049008,0.00054064,0.00052288,0.0006568,0.0001128
15,2.16e-05,0.00038432,0.00052976,0.0005168,0.00064736,0.00011056
16,2.368e-05,0.00039136,0.00053104,0.00052528,0.0006544,0.0001072
17,2.176e-05,0.00042736,0.00052912,0.0005152,0.00066128,0.00010624
18,2.688e-05,0.00038064,0.00053088,0.0005288,0.00066448,0.00010672
19,2.096e-05,0.00039488,0.00051472,0.00051648,0.0006592,0.00011632
20,2.544e-05,0.00045072,0.000516,0.00052608,0.00066896,0.00011072
21,2.544e-05,0.00045392,0.00051552,0.00051616,0.00066576,0.000112
22,2.576e-05,0.00038512,0.00051632,0.0005288,0.00066032,0.0001128
23,2.016e-05,0.00039232,0.00050448,0.00052512,0.000648,0.00011216
24,2.016e-05,0.00038672,0.00050304,0.00053568,0.00066128,0.00010688
25,2.56e-05,0.00037472,0.00050688,0.0005264,0.00065456,0.00011216
26,2.512e-05,0.00036368,0.00050512,0.00053088,0.00065312,0.00011472
27,1.968e-05,0.00038848,0.00050544,0.00055728,0.0006504,0.00010624
28,2.48e-05,0.00038272,0.00049952,0.0005648,0.0006496,0.00011472
