frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.00012256,0.00131872,0.00032832,0.0038024,0.00100816,0.00571536,0.00036576
1,0.0001064,0.0009432,0.00026992,0.00212432,0.00067184,0.00447424,0.00037184
2,8.608e-05,0.00079712,0.00025968,0.00184848,0.00058416,0.00518688,0.00030128
3,8.16e-05,0.00077264,0.00026064,0.0018088,0.00056208,0.00646096,0.0002656
4,8.576e-05,0.0007568,0.00026416,0.00174704,0.0005448,0.0074792,0.00025808
5,8.528e-05,0.00078144,0.0002592,0.00170544,0.00054048,0.00849856,0.0002536
6,8.448e-05,0.00076016,0.0002632,0.0016608,0.0005272,0.00968448,0.00026048
7,8.464e-05,0.00073104,0.00026704,0.0016704,0.00049936,0.0104195,0.00025088
8,8.544e-05,0.00073456,0.00026016,0.001684,0.00051616,0.0116765,0.00025728
9,8.656e-05,0.00075888,0.00026096,0.00168288,0.0005304,0.0126024,0.00025344
10,8.544e-05,0.00073264,0.00026336,0.00169792,0.00052128,0.0131978,0.00025328
11,8.608e-05,0.00075936,0.00026592,0.00173072,0.00051888,0.0142784,0.00025536
12,8.608e-05,0.00076016,0.00026704,0.00174128,0.000524,0.0145766,0.00025168
13,8.48e-05,0.00073296,0.00026512,0.00175168,0.00052288,0.0154155,0.00025296
14,8.56e-05,0.00073376,0.00026784,0.00177056,0.00052304,0.0157408,0.00025392
15,8.656e-05,0.0007664,0.00026192,0.00179664,0.00053136,0.0170062,0.00025488
16,8.608e-05,0.00073056,0.00026144,0.00181632,0.0005368,0.0175427,0.00025552
17,8.448e-05,0.00073968,0.00025424,0.0018296,0.000548,0.0176019,0.00025888
18,8.544e-05,0.00076112,0.00026592,0.00183632,0.0005512,0.0169824,0.00025584
19,8.608e-05,0.00072928,0.00026,0.001852,0.00053936,0.0182658,0.0002528
20,8.496e-05,0.00076208,0.00026336,0.00186416,0.00054416,0.0170066,0.00025408
21,8.576e-05,0.000728,0.00026544,0.00186944,0.00055088,0.015809,0.00025584
22,8.656e-05,0.0007304,0.00025296,0.00187232,0.0005528,0.0168902,0.00025552
23,8.576e-05,0.00073488,0.0002656,0.00187552,0.00052384,0.0156853,0.0002592
24,8.56e-05,0.00073072,0.0002648,0.0018768,0.00054736,0.0153688,0.00025728
25,8.576e-05,0.00073584,0.00025824,0.00187584,0.00053808,0.0144874,0.00025616
26,8.576e-05,0.00073248,0.00026288,0.0018872,0.0005232,0.0136914,0.00025504
27,8.464e-05,0.00076288,0.0002664,0.00189984,0.00052752,0.012609,0.00025456
28,8.736e-05,0.0007336,0.00026048,0.00190544,0.00052816,0.0116642,0.00025248
29,8.752e-05,0.00073408,0.00026384,0.00191552,0.00054592,0.0105074,0.0002536
30,8.592e-05,0.0007584,0.0002624,0.0019376,0.00050512,0.00955776,0.00025296
31,8.72e-05,0.00073392,0.00026624,0.00193168,0.0004888,0.00878,0.00025296
32,8.512e-05,0.00073472,0.00026336,0.00193328,0.00055952,0.00827072,0.00025376
33,8.496e-05,0.00076032,0.0002576,0.0019392,0.00054544,0.00798496,0.0002576
34,8.736e-05,0.0007376,0.00026544,0.00196192,0.00053568,0.00820432,0.00025712
35,8.528e-05,0.00076336,0.00025952,0.00195344,0.00051856,0.0084592,0.00025488
36,8.672e-05,0.00072592,0.00026432,0.00196288,0.00051936,0.00869376,0.00025904
37,8.656e-05,0.00072704,0.00026256,0.00198304,0.00054512,0.0089552,0.00025664
38,8.608e-05,0.00073024,0.00025344,0.00199744,0.00051408,0.00918144,0.00025152
39,8.704e-05,0.00076096,0.00026736,0.00198816,0.00050384,0.00941024,0.00025472
40,8.672e-05,0.00072928,0.00026752,0.00196928,0.00052384,0.00965664,0.00025584
41,8.608e-05,0.00073472,0.00026224,0.00192096,0.00053008,0.00989232,0.00025408
42,8.736e-05,0.0012496,0.00026976,0.00187056,0.00053616,0.0102542,0.00026048
43,8.768e-05,0.00073024,0.00026336,0.00189072,0.00052288,0.0103384,0.00025136
44,8.768e-05,0.00072592,0.000268,0.00185504,0.00052672,0.0105986,0.00025424
45,8.704e-05,0.00072656,0.00025856,0.00185184,0.0005184,0.0108216,0.0002544
46,8.56e-05,0.00075744,0.00024976,0.0018216,0.00052528,0.011057,0.00025296
47,8.624e-05,0.00072528,0.000264,0.0017672,0.00052864,0.011325,0.00025568
48,8.72e-05,0.00072944,0.00025968,0.001808,0.000528,0.0115309,0.00025424
49,8.608e-05,0.0007312,0.00026368,0.00181632,0.00051696,0.0117773,0.00025328
