frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,2.496e-05,0.00142704,0.00096912,0.00039168,0.00115936,0.00010048
1,2.128e-05,0.0005112,0.00097056,0.00039456,0.00059296,9.632e-05
2,2.096e-05,0.00051104,0.000972,0.00039184,0.00058368,9.792e-05
3,1.44e-05,0.00050144,0.00078576,0.00031328,0.00058064,6.784e-05
4,1.408e-05,0.00043072,0.00078016,0.00027616,0.00040784,6.736e-05
5,1.44e-05,0.00041728,0.00078128,0.0002776,0.00040912,6.864e-05
6,1.424e-05,0.00044128,0.00077744,0.00028112,0.0004232,6.72e-05
7,1.44e-05,0.00040512,0.00078608,0.00029424,0.00041104,6.768e-05
8,1.2e-05,0.0004064,0.00079184,0.00025616,0.00039936,6.08e-05
9,1.2e-05,0.00039904,0.00079216,0.00025312,0.00037536,6.16e-05
10,1.2e-05,0.00041904,0.00079568,0.0002504,0.00037168,6.224e-05
11,1.184e-05,0.00039776,0.00079536,0.00025728,0.00037312,6.144e-05
12,1.168e-05,0.00040096,0.00079152,0.00024896,0.00038272,6.144e-05
13,1.088e-05,0.00039808,0.00079984,0.0002384,0.00036976,6.016e-05
14,1.104e-05,0.00039984,0.00080224,0.0002352,0.00036528,6.08e-05
15,1.12e-05,0.00039744,0.0007984,0.00023632,0.00037648,6.08e-05
16,1.104e-05,0.00039952,0.00080032,0.00023616,0.0003672,6.048e-05
17,1.12e-05,0.00041888,0.00079632,0.00023136,0.00037088,5.984e-05
18,1.056e-05,0.0003976,0.00081024,0.00022608,0.00037264,5.984e-05
19,1.056e-05,0.0004136,0.00081792,0.00022752,0.00036816,5.952e-05
20,1.056e-05,0.00039472,0.00081104,0.0002304,0.0003696,5.936e-05
21,1.04e-05,0.00039072,0.00081216,0.00023008,0.00037936,6.128e-05
22,1.056e-05,0.00041456,0.00080672,0.00023024,0.00037808,5.952e-05
23,9.92e-06,0.00041056,0.00081472,0.00022752,0.0003712,5.792e-05
24,1.024e-05,0.00038224,0.00081664,0.00023312,0.00037824,5.888e-05
25,9.76e-06,0.00039072,0.000812,0.00023056,0.00036576,5.92e-05
26,9.76e-06,0.00038288,0.00081264,0.0002376,0.00036496,5.984e-05
27,1.04e-05,0.00039216,0.00081536,0.00024224,0.00037936,5.904e-05
28,9.6e-06,0.00039968,0.00081856,0.00024304,0.00036336,5.76e-05
29,9.76e-06,0.00041008,0.00081264,0.00024896,0.00036368,5.952e-05
30,9.44e-06,0.00039376,0.00081184,0.00025648,0.0003736,5.776e-05
31,1.008e-05,0.0004112,0.0008152,0.00026112,0.00036896,6.016e-05
32,9.44e-06,0.00041072,0.0008,0.00026928,0.0003624,5.904e-05
33,9.76e-06,0.0003816,0.00080832,0.00027168,0.00037552,6.016e-05
34,9.76e-06,0.00039312,0.00080832,0.00027648,0.0003704,5.968e-05
35,9.6e-06,0.00038336,0.00080672,0.00027936,0.00037264,5.824e-05
36,9.76e-06,0.00039392,0.0008088,0.0002768,0.00037904,5.92e-05
37,9.6e-06,0.00039472,0.00080608,0.00027936,0.0003768,5.872e-05
38,9.92e-06,0.0004048,0.00080496,0.00028064,0.00037648,5.824e-05
39,1.088e-05,0.00039424,0.00081376,0.00027408,0.00038176,5.84e-05
40,1.04e-05,0.0004072,0.0008064,0.00027632,0.00036752,5.744e-05
41,1.024e-05,0.00040928,0.00080528,0.00027072,0.00036672,5.936e-05
42,1.04e-05,0.0003824,0.0008016,0.00026704,0.00037296,5.824e-05
43,1.056e-05,0.00039152,0.000804,0.00027088,0.00036496,6.288e-05
44,1.072e-05,0.0003928,0.00079808,0.00027728,0.00036288,5.84e-05
45,1.088e-05,0.00038736,0.00080176,0.00027312,0.00036864,5.776e-05
46,1.072e-05,0.00037456,0.00080176,0.0002768,0.00036544,5.84e-05
47,1.056e-05,0.00038864,0.00078416,0.00027376,0.00036896,5.872e-05
48,1.056e-05,0.0003928,0.000796,0.00027872,0.00037696,5.84e-05
49,1.056e-05,0.00038784,0.00080096,0.00027152,0.00037504,5.952e-05
50,1.056e-05,0.00041808,0.00079456,0.00026624,0.00037376,5.76e-05
51,1.072e-05,0.00040112,0.00078992,0.00026656,0.000384,5.776e-05
52,1.088e-05,0.00038928,0.00079872,0.00026624,0.00037888,5.84e-05
53,1.056e-05,0.00039584,0.00078976,0.00026256,0.0003768,5.792e-05
54,1.04e-05,0.00040672,0.00079616,0.00026304,0.00038592,5.824e-05
55,1.024e-05,0.00038992,0.00079392,0.00025696,0.00037552,5.84e-05
56,1.584e-05,0.0003904,0.00079184,0.00026144,0.00037696,5.824e-05
57,1.056e-05,0.00041248,0.00079424,0.00025136,0.00038688,5.808e-05
58,1.056e-05,0.00039632,0.00078672,0.00025616,0.00038112,5.84e-05
59,1.072e-05,0.0003896,0.00080032,0.00024992,0.00038688,5.856e-05
60,1.072e-05,0.00039408,0.00079152,0.0002496,0.00039264,5.84e-05
61,1.072e-05,0.0003896,0.0007992,0.00024352,0.00038768,5.84e-05
62,1.04e-05,0.0003968,0.00078656,0.00023872,0.00038416,6e-05
63,1.072e-05,0.00039376,0.0007992,0.00023552,0.00038912,5.808e-05
64,1.04e-05,0.00039888,0.00079568,0.00023024,0.00038336,5.952e-05
65,1.072e-05,0.00039248,0.00079616,0.00022592,0.0003832,5.936e-05
66,1.04e-05,0.00039312,0.00079792,0.0002232,0.00038848,5.792e-05
67,1.024e-05,0.00041008,0.00079616,0.0002216,0.00038128,5.84e-05
68,1.024e-05,0.00039168,0.0007968,0.00022208,0.00037648,5.808e-05
69,1.056e-05,0.00039856,0.00080048,0.00021632,0.00038128,5.792e-05
70,1.04e-05,0.00039216,0.00079312,0.00021584,0.00037232,5.808e-05
71,1.072e-05,0.00038032,0.00079344,0.00021248,0.00037136,5.728e-05
72,1.056e-05,0.00041072,0.00079088,0.00021088,0.00037808,5.808e-05
73,1.056e-05,0.00039232,0.0008072,0.00020608,0.00036496,5.84e-05
74,1.072e-05,0.00039376,0.0007928,0.00020608,0.00036064,5.808e-05
75,1.008e-05,0.00040832,0.00079264,0.00020784,0.0003672,6.032e-05
76,1.04e-05,0.0004096,0.00079728,0.000204,0.00036144,5.792e-05
77,1.072e-05,0.00039504,0.00079152,0.00020368,0.00036048,5.952e-05
78,1.072e-05,0.00041056,0.00079616,0.0002048,0.00036336,5.84e-05
79,1.056e-05,0.0003904,0.00079968,0.00020432,0.00036208,5.808e-05
80,1.072e-05,0.00039328,0.00079424,0.0002056,0.00035968,5.792e-05
81,1.072e-05,0.00039424,0.00080208,0.000204,0.00036384,5.808e-05
82,1.056e-05,0.00038384,0.00078976,0.00020688,0.00035936,5.856e-05
83,1.056e-05,0.0004096,0.00079296,0.00021008,0.00035696,5.904e-05
84,1.056e-05,0.00038128,0.0007976,0.00021296,0.00036672,5.92e-05
85,1.024e-05,0.00039984,0.00078224,0.00022016,0.00037168,5.808e-05
86,1.04e-05,0.00038,0.00079136,0.00021872,0.00037568,5.824e-05
87,1.056e-05,0.00040688,0.00079392,0.00022688,0.00037552,5.808e-05
88,1.072e-05,0.0004232,0.00079392,0.00022544,0.00036896,5.872e-05
89,4.64e-06,0.00041136,0.00079856,0.0002264,0.00037392,5.984e-05
90,4.8e-06,0.000392,0.0007912,0.00023408,0.00035776,6.032e-05
91,1.056e-05,0.00040928,0.00079568,0.00023936,0.00031456,5.824e-05
92,1.072e-05,0.00039248,0.00078784,0.00024352,0.0003168,5.824e-05
93,1.04e-05,0.00040992,0.00078736,0.0002448,0.00032144,5.808e-05
94,1.088e-05,0.00039216,0.00079184,0.00024656,0.0003136,5.808e-05
95,1.072e-05,0.00038448,0.00079312,0.00025184,0.00031408,5.808e-05
96,1.072e-05,0.00040944,0.00079232,0.00025712,0.00031712,5.936e-05
97,1.056e-05,0.00039328,0.0007928,0.00026832,0.00031024,5.872e-05
98,1.072e-05,0.00038992,0.00079664,0.00027008,0.00030864,5.952e-05
99,1.072e-05,0.00038336,0.00078944,0.00028384,0.00031376,5.744e-05
100,1.072e-05,0.00039056,0.00078848,0.00029536,0.0003048,5.76e-05
101,1.056e-05,0.0003968,0.00079056,0.00028672,0.0003024,5.904e-05
102,1.072e-05,0.0003968,0.0007928,0.00029008,0.00030464,5.792e-05
103,1.056e-05,0.00039232,0.00078912,0.00029376,0.0002976,5.968e-05
104,1.04e-05,0.000392,0.0007928,0.00029808,0.00029808,5.808e-05
105,1.072e-05,0.00038864,0.00079152,0.00030736,0.00030192,5.792e-05
106,1.072e-05,0.00038896,0.00079456,0.0003128,0.00029504,5.856e-05
107,1.04e-05,0.00039088,0.0007888,0.00031552,0.00029296,5.76e-05
108,1.104e-05,0.000384,0.00079104,0.00032304,0.0002992,5.744e-05
109,1.04e-05,0.0003888,0.00079472,0.00033312,0.0002912,5.856e-05
110,1.024e-05,0.00038336,0.00078464,0.0003432,0.00028912,5.792e-05
