frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,1.36e-05,0.00103888,0.00049712,0.00121584,0.00035952,0.00844336,7.424e-05
1,1.376e-05,9.776e-05,0.00034048,0.00041936,0.00019376,0.00576688,7.408e-05
2,1.184e-05,9.744e-05,0.00034544,0.00041472,0.00018016,0.004836,6.576e-05
3,1.232e-05,8.976e-05,0.00030608,0.00036944,0.00019552,0.00461568,6.544e-05
4,1.168e-05,8.592e-05,0.00029728,0.00036048,0.00017904,0.00410432,6.528e-05
5,1.232e-05,8.688e-05,0.000292,0.00035152,0.00018048,0.00401904,6.496e-05
6,1.168e-05,8.48e-05,0.00029488,0.0003472,0.00017712,0.00387808,6.416e-05
7,1.168e-05,8.592e-05,0.00029136,0.00034064,0.00017744,0.00394224,6.432e-05
8,1.168e-05,8.624e-05,0.00028992,0.00034048,0.00017984,0.0038448,6.224e-05
9,1.168e-05,8.416e-05,0.00028912,0.00033424,0.00019632,0.00395104,6.208e-05
10,1.136e-05,8.432e-05,0.00028784,0.00033376,0.00017552,0.00381408,6.32e-05
11,1.152e-05,8.176e-05,0.00028416,0.00032224,0.0001736,0.00385808,6.304e-05
12,1.12e-05,8.208e-05,0.00028576,0.0003192,0.00017584,0.00388224,6.208e-05
13,1.136e-05,8.224e-05,0.00028704,0.00031744,0.00017472,0.0038864,6.368e-05
14,1.12e-05,8.304e-05,0.00028576,0.0003208,0.00017328,0.0040664,6.256e-05
15,1.12e-05,8.32e-05,0.0002872,0.00032304,0.00017904,0.00425088,6.272e-05
16,1.12e-05,8.304e-05,0.0002848,0.000332,0.00017232,0.00440336,6.24e-05
17,1.136e-05,8.352e-05,0.00028624,0.00033728,0.0001768,0.0043992,6.288e-05
18,1.12e-05,8.256e-05,0.00028624,0.0003416,0.00017728,0.00444128,6.4e-05
19,1.136e-05,8.32e-05,0.00028896,0.00034848,0.00017424,0.00459232,6.304e-05
20,1.104e-05,8.208e-05,0.00028368,0.00035136,0.00017312,0.00470256,6.288e-05
21,1.136e-05,8.208e-05,0.00028416,0.00035328,0.00018816,0.00485616,6.24e-05
22,1.136e-05,8.32e-05,0.00028528,0.00035728,0.00016432,0.00498256,6.272e-05
23,1.12e-05,8.288e-05,0.00028416,0.00035824,0.0001784,0.00504672,6.24e-05
24,1.136e-05,8.176e-05,0.00028608,0.00035904,0.00017552,0.00514736,6.4e-05
25,1.136e-05,8.272e-05,0.00028528,0.00035904,0.00017648,0.00519696,6.368e-05
26,1.152e-05,8.24e-05,0.00028512,0.00036032,0.00017984,0.00523344,6.272e-05
27,1.104e-05,8.272e-05,0.00029008,0.00036064,0.00016592,0.00530384,6.608e-05
28,1.12e-05,8.176e-05,0.0002856,0.00036128,0.0001776,0.00532384,6.224e-05
29,1.136e-05,8.336e-05,0.00028704,0.00036096,0.00017472,0.005428,6.288e-05
30,1.12e-05,8.24e-05,0.00028832,0.00036512,0.00018336,0.00552656,6.224e-05
31,1.12e-05,8.176e-05,0.00028944,0.00036848,0.00017936,0.00552256,6.32e-05
32,1.136e-05,8.288e-05,0.00028544,0.00037152,0.00017664,0.005632,6.304e-05
33,1.136e-05,8.24e-05,0.00028528,0.00036864,0.00017888,0.00567712,6.544e-05
34,1.152e-05,8.224e-05,0.0002824,0.00036752,0.00017824,0.00576064,6.272e-05
35,1.136e-05,8.368e-05,0.00028432,0.00036624,0.00017024,0.00576736,6.256e-05
36,1.136e-05,8.24e-05,0.00028352,0.0003656,0.0001864,0.0057952,6.24e-05
37,1.152e-05,8.24e-05,0.00028528,0.0003648,0.00018192,0.00578192,6.432e-05
38,1.168e-05,8.272e-05,0.00028464,0.00036864,0.0001784,0.0058728,6.448e-05
39,1.136e-05,8.224e-05,0.00028608,0.00036768,0.00017968,0.00586192,6.16e-05
40,1.12e-05,8.208e-05,0.00029136,0.00037152,0.0001824,0.00588464,6.352e-05
41,1.12e-05,8.24e-05,0.00028528,0.0003688,0.00017536,0.00582368,6.208e-05
42,1.184e-05,8.224e-05,0.00028336,0.0003696,0.00016816,0.00580592,6.32e-05
43,1.152e-05,8.144e-05,0.00028512,0.00036832,0.00017872,0.00579616,6.272e-05
44,1.104e-05,8.224e-05,0.00028608,0.0003792,0.00017888,0.00584528,6.4e-05
45,1.152e-05,8.176e-05,0.00028512,0.00037648,0.0001848,0.00572064,6.288e-05
46,1.168e-05,8.208e-05,0.00028576,0.00036096,0.00017408,0.0057136,6.336e-05
47,1.088e-05,8.24e-05,0.00028592,0.00035568,0.00017776,0.00573952,6.336e-05
48,1.136e-05,8.272e-05,0.00028576,0.00035632,0.00017952,0.00566912,6.336e-05
49,1.136e-05,8.272e-05,0.00028624,0.00035712,0.0001792,0.00571056,6.272e-05
50,1.216e-05,8.176e-05,0.00028976,0.00034496,0.00018064,0.0056808,6.432e-05
51,1.232e-05,8.24e-05,0.00028496,0.00034752,0.00015312,0.00559568,6.416e-05
52,1.136e-05,8.192e-05,0.00028928,0.000356,0.00024752,0.00552752,6.432e-05
53,1.136e-05,8.176e-05,0.00028704,0.00035504,0.00020144,0.00553392,6.32e-05
54,1.12e-05,8.288e-05,0.0002864,0.00035392,0.00021952,0.00545808,6.32e-05
55,1.152e-05,8.272e-05,0.00028592,0.00035824,0.00017904,0.00548112,6.352e-05
56,1.136e-05,8.24e-05,0.00028496,0.00035728,0.00018128,0.00546784,6.336e-05
57,1.136e-05,8.192e-05,0.0002848,0.00035488,0.00019296,0.00542784,6.368e-05
58,1.136e-05,8.288e-05,0.00028528,0.00035408,0.00017792,0.0053176,6.304e-05
59,1.136e-05,8.272e-05,0.00028848,0.00035328,0.00018896,0.00529472,6.24e-05
60,1.12e-05,8.192e-05,0.00028528,0.00035488,0.00018336,0.00529968,6.416e-05
