frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,4.368e-05,0.00253712,0.00351184,0.0005424,0.00242896,8.992e-05
1,3.072e-05,0.0004296,0.00082304,0.00027008,0.00095248,6.048e-05
2,2.976e-05,0.00044656,0.00081616,0.00028352,0.00070784,6.144e-05
3,3.008e-05,0.00043632,0.00082144,0.00030256,0.00071184,6.224e-05
4,3.072e-05,0.00043184,0.00081792,0.00031872,0.00071552,6.16e-05
5,2.64e-05,0.00045504,0.00082064,0.00028624,0.00071088,5.744e-05
6,2.656e-05,0.00040576,0.00080896,0.0002832,0.00065552,5.696e-05
7,2.768e-05,0.00041568,0.00081744,0.0002832,0.00063168,6.08e-05
8,2.688e-05,0.0004376,0.00081792,0.00028,0.00065216,5.84e-05
9,2.48e-05,0.00042128,0.00082656,0.00026752,0.00064656,5.712e-05
10,2.704e-05,0.00044288,0.00081824,0.00026448,0.00062288,5.776e-05
11,2.432e-05,0.00044816,0.00081824,0.00026272,0.00066592,5.808e-05
12,2.448e-05,0.0004008,0.0008264,0.00026016,0.00070496,5.808e-05
13,2.208e-05,0.00045104,0.00083216,0.00024768,0.00067216,5.76e-05
14,1.808e-05,0.0003952,0.00083552,0.00022624,0.00066832,5.664e-05
15,1.728e-05,0.00045536,0.00084032,0.00023392,0.00070896,5.824e-05
16,1.6e-05,0.00042832,0.00084464,0.0002416,0.00071792,5.76e-05
17,2e-05,0.00040784,0.00084128,0.0002376,0.00070368,5.616e-05
18,2.272e-05,0.00044704,0.00083904,0.00022896,0.00064912,5.52e-05
19,2.272e-05,0.00042576,0.00084096,0.00023248,0.00064304,5.568e-05
20,2.192e-05,0.00042784,0.00084672,0.0002336,0.00065632,5.424e-05
21,1.968e-05,0.00044848,0.000848,0.00024048,0.00066288,5.728e-05
22,2.064e-05,0.00044176,0.00085056,0.00024048,0.00064416,5.44e-05
23,2.096e-05,0.00042928,0.0008512,0.00024784,0.00064624,5.584e-05
24,2e-05,0.00043024,0.00085632,0.0002528,0.00065168,5.456e-05
25,2.08e-05,0.00039312,0.00085184,0.00025632,0.0006344,5.632e-05
26,1.984e-05,0.00040096,0.00085312,0.00027648,0.00063472,5.584e-05
27,1.824e-05,0.00039152,0.00085648,0.00028208,0.00063568,5.744e-05
28,1.744e-05,0.0004,0.0008552,0.00028608,0.00063456,5.792e-05
29,1.648e-05,0.00058192,0.00085712,0.00029264,0.00064,5.856e-05
30,1.76e-05,0.00045072,0.00084736,0.00028848,0.00068704,5.68e-05
31,1.888e-05,0.00038768,0.000856,0.00029104,0.00071312,5.44e-05
32,1.952e-05,0.00043168,0.00085168,0.00028912,0.0007352,5.504e-05
33,2.192e-05,0.00042016,0.00085056,0.0002968,0.00074032,5.648e-05
34,2.112e-05,0.00042048,0.00085184,0.00029712,0.00076,5.6e-05
35,2.112e-05,0.00037664,0.000856,0.00029488,0.00077792,5.504e-05
36,2.24e-05,0.0004008,0.0008456,0.000296,0.00072336,5.472e-05
37,2.08e-05,0.00036624,0.0008504,0.00030144,0.00065616,5.744e-05
38,1.952e-05,0.00037344,0.00084752,0.00029696,0.0006416,5.68e-05
39,2.096e-05,0.00041952,0.00083456,0.00029616,0.00067632,5.584e-05
