frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.00033936,0.00355568,0.00033968,0.0119466,0.00071504,0.0122715,0.0018552
1,0.00033952,0.00223552,0.00029232,0.00560864,0.00045024,0.0106277,0.00187024
2,0.00034096,0.00217952,0.00028528,0.00548672,0.00050608,0.0097456,0.00182928
3,0.00034128,0.00222016,0.00028784,0.00542912,0.00049888,0.0098216,0.00186224
4,0.0003424,0.00217808,0.00028512,0.00548912,0.00053536,0.00971968,0.00183936
5,0.00033984,0.0021704,0.0002864,0.00549264,0.00051184,0.0100976,0.00185696
6,0.00034112,0.00217648,0.00028496,0.00546128,0.00050624,0.0111934,0.00186112
7,0.00034064,0.00222032,0.00028736,0.0054336,0.00053328,0.0119784,0.00184944
8,0.00034288,0.00221936,0.00028688,0.00544416,0.00042832,0.0131906,0.00182
9,0.0003416,0.00217536,0.000284,0.00543152,0.00042224,0.0141133,0.00184736
10,0.00034016,0.002176,0.0002832,0.0054416,0.00050736,0.0142507,0.00184624
11,0.00034112,0.00221808,0.00028576,0.00538768,0.00044176,0.0151853,0.00185712
12,0.00034176,0.00221776,0.00028528,0.00537152,0.00044144,0.0144173,0.0018496
13,0.00034112,0.00221808,0.00028592,0.00538,0.0004424,0.0146002,0.00184448
14,0.00034096,0.00217648,0.00028608,0.00538848,0.00043088,0.015592,0.00185488
15,0.00033904,0.00221856,0.00028512,0.00538608,0.00044592,0.0160704,0.00183776
16,0.00034144,0.00221824,0.0002888,0.00543456,0.00040496,0.0173075,0.00185696
17,0.00034016,0.0022184,0.000288,0.00542704,0.00041488,0.0163058,0.00186464
18,0.00034064,0.00221824,0.00028784,0.00545472,0.00042176,0.0163686,0.00184416
19,0.0003416,0.00217456,0.00028576,0.00548512,0.00044176,0.013495,0.0018496
20,0.00034144,0.00217456,0.00028592,0.00551056,0.00044096,0.0167198,0.0018496
21,0.00034016,0.00216464,0.00028432,0.00549584,0.00048464,0.0163005,0.00181824
22,0.00034176,0.00217312,0.00028304,0.00551344,0.00052816,0.0164542,0.00185424
23,0.00034304,0.00217504,0.00028592,0.00551184,0.00050912,0.0153062,0.001856
24,0.00034304,0.00216768,0.000284,0.00553312,0.00050976,0.0162437,0.0018344
25,0.00034304,0.00217232,0.00028624,0.0055472,0.00055552,0.0150794,0.00185328
26,0.00034256,0.00217376,0.00028784,0.00557776,0.00047312,0.0156262,0.00184944
27,0.00034288,0.00220496,0.00028544,0.0055736,0.00050576,0.0165637,0.00186192
28,0.00034256,0.00217552,0.0002832,0.00561392,0.00043248,0.0165061,0.0018664
29,0.00034352,0.00221456,0.00028512,0.00561776,0.0005224,0.016247,0.00185552
30,0.00034304,0.00221264,0.00028752,0.0056736,0.00051344,0.0168059,0.00185824
31,0.00034304,0.00217296,0.00028752,0.00571488,0.00050816,0.0168898,0.00184896
32,0.000344,0.0021688,0.00028704,0.00576896,0.00053008,0.0169794,0.00183984
33,0.0003424,0.00221328,0.00028576,0.00574256,0.00051104,0.016707,0.00183904
34,0.000344,0.002164,0.00028416,0.00580048,0.00048976,0.0170938,0.00184176
35,0.00034416,0.0022112,0.00028432,0.00582256,0.0004864,0.0171979,0.00182688
36,0.00034336,0.00221056,0.00028896,0.00587888,0.0005312,0.017276,0.00181696
37,0.00034448,0.00217248,0.00028992,0.005924,0.00051808,0.0171459,0.00186096
38,0.000344,0.0022024,0.00028768,0.006008,0.00050864,0.0174651,0.00184272
39,0.00034192,0.00217072,0.00028464,0.00606816,0.00053632,0.0175048,0.00186112
40,0.000344,0.00221104,0.0002864,0.00613616,0.0005336,0.0175864,0.0018664
41,0.000344,0.00216768,0.0002848,0.00611184,0.00053152,0.0176859,0.00184944
42,0.00034352,0.00220896,0.0002872,0.00608528,0.00053584,0.017068,0.0018552
43,0.00034352,0.00217008,0.0002864,0.00603632,0.00053232,0.0176526,0.00184416
44,0.00034256,0.00217856,0.00028672,0.00584032,0.0005296,0.0177437,0.00185232
45,0.00034432,0.00221936,0.00028448,0.00572432,0.00053184,0.0175176,0.00186096
46,0.0003448,0.00217968,0.00028464,0.00566832,0.00053216,0.0169715,0.00186736
47,0.00034416,0.00216784,0.00028464,0.00566832,0.00052224,0.0172926,0.00185632
48,0.00034336,0.00222016,0.00028848,0.00551168,0.00053552,0.0172739,0.00185488
49,0.00034464,0.0022176,0.00028864,0.00542704,0.00052096,0.0167795,0.00185056
50,0.00034256,0.00221984,0.00028496,0.00563312,0.00053792,0.0167461,0.00183552
51,0.00034416,0.00217792,0.00027968,0.0056704,0.00049392,0.0169602,0.00183264
52,0.00034416,0.00217872,0.00028656,0.00568448,0.00054032,0.0162683,0.00186768
53,0.000344,0.0022184,0.00028688,0.00568,0.00051008,0.01546,0.00186112
54,0.0003448,0.0022112,0.00028672,0.00560832,0.00053584,0.0168014,0.00182928
55,0.0003432,0.00221616,0.0002872,0.00561056,0.00051968,0.016807,0.00185152
56,0.0003448,0.0022192,0.00028784,0.00564784,0.00049856,0.0164485,0.00186304
57,0.00034368,0.00217456,0.0002856,0.00561984,0.00053056,0.0164819,0.00185824
58,0.00034432,0.00217552,0.00028448,0.00565392,0.0004336,0.0156918,0.00185568
59,0.0003448,0.00221568,0.00028528,0.00563888,0.000432,0.0153912,0.0018392
60,0.00034416,0.00217376,0.00028736,0.00564816,0.00045888,0.0154998,0.0018488
61,0.00034528,0.00221728,0.00028432,0.00566672,0.00041968,0.0157798,0.00186704
62,0.00034928,0.00217296,0.00028624,0.00570416,0.00047712,0.0154006,0.00185056
63,0.00034416,0.0022096,0.00028928,0.00570352,0.00048352,0.0135402,0.00184448
64,0.0003448,0.00221472,0.00028752,0.00573744,0.00052768,0.0150486,0.00186528
65,0.00034496,0.00221792,0.00028752,0.00573056,0.00051024,0.014637,0.00186016
66,0.00034304,0.00221424,0.00028432,0.0057904,0.00052208,0.0140094,0.00185936
67,0.00034384,0.00217168,0.00028464,0.00581552,0.00048928,0.0136216,0.0018592
68,0.000344,0.00221392,0.00028768,0.00587392,0.00049568,0.0130608,0.0018552
69,0.00034448,0.00221488,0.00028736,0.00588208,0.00053008,0.0125293,0.00184752
70,0.00034368,0.00217504,0.00028608,0.00591984,0.0005216,0.0122939,0.00184704
71,0.00034384,0.0021696,0.00028656,0.00591856,0.00051168,0.0122485,0.00183616
72,0.00034304,0.00217328,0.00028704,0.00597632,0.00043184,0.0123198,0.00185808
73,0.00034416,0.00216944,0.00028448,0.0060192,0.00043248,0.0124824,0.00184832
74,0.0003432,0.00221568,0.00028608,0.00609552,0.00048624,0.0129582,0.00184656
75,0.00034512,0.00216944,0.00028512,0.00609104,0.00050864,0.0128826,0.00183328
76,0.00034528,0.00221248,0.0002896,0.00614,0.0004992,0.0127274,0.00185808
77,0.00034336,0.00216864,0.00028784,0.00611552,0.00049616,0.0128482,0.00185888
78,0.00034384,0.00221104,0.00028704,0.00614208,0.00046256,0.0128698,0.00184816
79,0.000344,0.00220864,0.00028512,0.0062056,0.000444,0.0126394,0.00186672
80,0.00034416,0.00221072,0.00028608,0.00636592,0.00052544,0.012421,0.00182496
81,0.00034496,0.00216464,0.0002848,0.00628192,0.00049936,0.011956,0.0018528
82,0.00034336,0.0021688,0.00028832,0.006296,0.00046976,0.011712,0.00182192
83,0.00034352,0.00220976,0.00029184,0.00635248,0.00051296,0.0116774,0.0018464
84,0.000344,0.00221088,0.00028608,0.0065432,0.0005016,0.0114723,0.00185696
85,0.00034416,0.00216336,0.00028672,0.00662208,0.00049328,0.0110085,0.00185648
86,0.00034384,0.00216496,0.0002856,0.00674,0.00049616,0.0107542,0.00186688
87,0.000344,0.0021992,0.00029104,0.0067832,0.00052224,0.010915,0.00185216
88,0.0003432,0.0022088,0.00029152,0.006924,0.00050928,0.00999984,0.00187296
89,0.00034416,0.002104,0.00028512,0.00711168,0.00048736,0.00247008,0.00185424
90,0.00034448,0.0021048,0.00028688,0.00676256,0.0005344,0.00659152,0.00185328
91,0.00034464,0.00217072,0.0002872,0.00608528,0.00053216,0.0121171,0.00187088
92,0.00034432,0.00220368,0.00028848,0.00561328,0.00063232,0.0124827,0.00185216
93,0.00034416,0.00221232,0.00028704,0.00543312,0.00054144,0.0122902,0.00185008
94,0.0003448,0.00221472,0.00028704,0.00541584,0.000532,0.0122184,0.00186512
95,0.0003448,0.0021688,0.0002856,0.00540192,0.00051088,0.0122906,0.00184848
96,0.00034496,0.00221008,0.00028864,0.0053872,0.00048832,0.012245,0.00183264
97,0.00034448,0.0021744,0.0002904,0.00540032,0.00051632,0.0121067,0.00185264
98,0.00034496,0.00217024,0.000292,0.00539984,0.00053264,0.0120536,0.00185856
99,0.00034464,0.0022088,0.00028784,0.0053848,0.00044224,0.0120046,0.00185808
100,0.00034352,0.00220864,0.00028368,0.00540144,0.00053936,0.0120632,0.00187024
101,0.00034448,0.00216928,0.00028432,0.00534576,0.0005464,0.0120325,0.00184512
