frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.0006872,0.00536288,0.00029536,0.028133,0.00068992,0.00568592,0.00176816
1,0.00068944,0.00423424,0.00028704,0.0105365,0.00042768,0.00497248,0.00176752
2,0.00069152,0.00417248,0.00028384,0.0102438,0.00042528,0.00568416,0.00179456
3,0.00069056,0.00418512,0.00028816,0.0102261,0.00049344,0.0064752,0.0017664
4,0.00069008,0.00417472,0.00028544,0.0102285,0.00043568,0.007144,0.00178288
5,0.00068848,0.0041864,0.00028608,0.0102002,0.00044496,0.0080992,0.0017824
6,0.00068656,0.00417312,0.0002856,0.0101965,0.000544,0.00893424,0.00175856
7,0.0006888,0.00416256,0.00028688,0.0103066,0.00046336,0.00943232,0.00173296
8,0.00068848,0.00418208,0.00028688,0.0103208,0.00052528,0.0100754,0.0017432
9,0.00068864,0.00417264,0.00028864,0.0103787,0.00051424,0.0104749,0.00174288
10,0.00068256,0.00417152,0.00028384,0.010504,0.00047808,0.0106954,0.00173248
11,0.0006888,0.00416288,0.00028768,0.0106098,0.00052128,0.0114298,0.0017528
12,0.00068928,0.0041736,0.00028336,0.0106827,0.0005256,0.011468,0.00175632
13,0.00068976,0.0041688,0.00028848,0.0108237,0.000468,0.0117035,0.00179248
14,0.00068992,0.00416384,0.00028624,0.0109621,0.00053408,0.0121035,0.0017376
15,0.00069056,0.00417184,0.00028624,0.011048,0.00044608,0.0129027,0.0017824
16,0.00068816,0.00416288,0.00028528,0.0111642,0.00059376,0.0136306,0.00179168
17,0.00069088,0.00416336,0.00028592,0.0112851,0.00042688,0.0131381,0.00174976
18,0.00068768,0.0041656,0.00028896,0.0113413,0.00052128,0.0132944,0.00179904
19,0.00068992,0.0041576,0.00028448,0.011425,0.00041808,0.0111662,0.0017648
20,0.0006896,0.00416,0.00028656,0.0114746,0.00050112,0.012979,0.00175552
21,0.00069152,0.00415808,0.00028832,0.0114838,0.00091456,0.0130229,0.00178656
22,0.00068896,0.00415744,0.0002896,0.0115869,0.00043728,0.0129448,0.00179232
23,0.00068768,0.00415808,0.0002912,0.0115854,0.00042192,0.0114818,0.00173328
24,0.00068944,0.0041512,0.00028496,0.0116118,0.00042144,0.0131134,0.00179472
25,0.00068864,0.00414992,0.00028496,0.0116752,0.00044656,0.011205,0.0017664
26,0.00069088,0.00416624,0.00028352,0.0116989,0.00048448,0.0120904,0.00179392
27,0.00069104,0.00416832,0.00028432,0.0116691,0.00043664,0.0141003,0.0017832
28,0.00069104,0.00416464,0.00028736,0.0117608,0.0005016,0.0152278,0.00174528
29,0.00068256,0.004148,0.00028944,0.011831,0.0004912,0.0139616,0.00178864
30,0.0006896,0.00414208,0.0002856,0.0118459,0.00045104,0.0170507,0.0017992
31,0.00069136,0.00415504,0.00028448,0.0119334,0.00053232,0.0162042,0.00178096
32,0.00069424,0.00415536,0.00028624,0.0119355,0.00052656,0.0174114,0.00176224
33,0.00069088,0.0041536,0.000288,0.0119752,0.00048064,0.0148398,0.00174976
34,0.0006912,0.00414816,0.00028496,0.0120426,0.0005368,0.0172542,0.00179888
35,0.00069232,0.0041448,0.00028816,0.0120498,0.00051776,0.0176734,0.0017744
36,0.00069232,0.0041528,0.00028448,0.0121088,0.00060624,0.0187304,0.00179712
37,0.00069312,0.00415712,0.00028784,0.0122846,0.0005296,0.0161058,0.00176464
38,0.00069168,0.00414032,0.00028736,0.0124093,0.00041936,0.0189478,0.00175984
39,0.00069232,0.00415664,0.00028432,0.0122859,0.0005312,0.019476,0.0017536
40,0.00069008,0.00416272,0.00028576,0.0121851,0.000516,0.0182531,0.0017416
41,0.00069088,0.00415312,0.00028672,0.0119731,0.00053808,0.0187768,0.00176448
42,0.00069184,0.0041768,0.00028544,0.0115494,0.00053744,0.0166035,0.0017784
43,0.00069072,0.00417856,0.00028544,0.0114075,0.0006168,0.0173174,0.00175456
44,0.00068992,0.00418256,0.000284,0.0113346,0.00052816,0.0178779,0.001756
45,0.00068992,0.00417728,0.00028624,0.0113381,0.00052992,0.0169762,0.00178
46,0.00069072,0.00417696,0.00028496,0.0111122,0.00053632,0.0150584,0.00177856
47,0.0006904,0.00418208,0.00028688,0.0108226,0.00050912,0.0173861,0.001776
48,0.00069088,0.00419072,0.00028336,0.01128,0.00056848,0.0150666,0.00176288
49,0.00069056,0.00418592,0.0002848,0.011075,0.00049072,0.0147984,0.00176608
50,0.00069264,0.00418352,0.00028624,0.011121,0.00052928,0.0149728,0.00178432
51,0.00069008,0.00417424,0.00028656,0.0111747,0.00044736,0.0140259,0.00176448
52,0.0006888,0.00417568,0.00028784,0.0109371,0.0004472,0.0139517,0.00177184
53,0.00069072,0.00417872,0.0002864,0.0110122,0.00052864,0.0118357,0.00177424
54,0.000692,0.00418992,0.00028736,0.0109685,0.00053536,0.0141435,0.00178304
55,0.00069104,0.0041896,0.00028624,0.0110088,0.00053856,0.0145443,0.001752
56,0.00069056,0.00418064,0.0002864,0.0110323,0.00046496,0.0124037,0.00175952
57,0.00069024,0.0041896,0.00028464,0.0110195,0.0005344,0.0139312,0.00176864
58,0.00068992,0.00418704,0.0002864,0.0110437,0.00051472,0.0113954,0.00173664
59,0.00069104,0.00418352,0.00028688,0.0110658,0.0004472,0.0100614,0.00174368
60,0.0006904,0.00418,0.00028704,0.0110056,0.00053568,0.0101046,0.00179152
61,0.00069456,0.0041792,0.0002832,0.0111035,0.0005256,0.0115194,0.00176112
62,0.00069104,0.0041704,0.00028944,0.0111426,0.000536,0.0102944,0.00177984
63,0.00069104,0.00418624,0.00028864,0.0112024,0.000528,0.0104189,0.00176976
64,0.00069008,0.00417744,0.00028576,0.011253,0.0005376,0.0105451,0.00177872
65,0.00069136,0.00417648,0.0002848,0.0113792,0.00044736,0.0107499,0.00176176
