frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00060496,0.0009968,0.0008848,0.00013552,0.00761248,0.00044512
1,0.00039408,0.00047168,0.00062832,5.872e-05,0.00512304,0.000312
2,0.00039888,0.0004464,0.00062864,5.92e-05,0.00422816,0.000308
3,0.00031936,0.00040768,0.00051136,5.2e-05,0.00362064,0.00025808
4,0.00030256,0.00044144,0.00048432,4.88e-05,0.00363216,0.0002368
5,0.00030544,0.00040336,0.00048512,4.88e-05,0.00348912,0.00023776
6,0.00028608,0.00040208,0.0004752,4.912e-05,0.003488,0.00022368
7,0.00029504,0.00039648,0.00046768,4.592e-05,0.00341472,0.000224
8,0.0002952,0.0003936,0.00046688,4.656e-05,0.00341584,0.00021936
9,0.00028048,0.00039712,0.0004536,4.304e-05,0.00337552,0.00022096
10,0.00028512,0.0004056,0.00045424,4.32e-05,0.0033808,0.00021616
11,0.0002688,0.00039744,0.00043888,4.416e-05,0.00331488,0.00021216
12,0.00027184,0.00039248,0.00044032,4.384e-05,0.00331488,0.00021424
13,0.00026784,0.0003944,0.00044016,4.352e-05,0.003312,0.00020624
14,0.00027232,0.00037952,0.00044,4.384e-05,0.00332352,0.00021376
15,0.00027504,0.00039776,0.00043968,4.352e-05,0.00333136,0.00021376
16,0.00028384,0.00039808,0.00044016,4.352e-05,0.00333152,0.00021504
17,0.0002752,0.00039472,0.0004408,4.416e-05,0.00334576,0.0002072
18,0.0002752,0.0003792,0.00044144,4.336e-05,0.00333824,0.00021264
19,0.00027152,0.00036128,0.0004416,6.224e-05,0.0033416,0.00021216
20,0.0002664,0.00037648,0.00043968,9.92e-05,0.00337392,0.00021312
21,0.00027056,0.0003784,0.00044176,0.00013264,0.00343504,0.00021632
22,0.00027312,0.0003848,0.00044304,0.00015104,0.0035096,0.00021248
23,0.00027056,0.00034768,0.0004408,0.00017808,0.00358208,0.00021184
24,0.00027504,0.0003696,0.00044464,0.00019744,0.00366048,0.00021248
25,0.000276,0.00039664,0.00044384,0.00022368,0.00371456,0.00021152
26,0.00027152,0.000376,0.00044624,0.00024304,0.00377456,0.00021008
27,0.00027616,0.0003952,0.00044576,0.0002672,0.00382112,0.00021216
28,0.00026656,0.00039936,0.00045104,0.00029552,0.0038976,0.00021312
29,0.00027424,0.00039872,0.00044976,0.00032272,0.0039184,0.0002144
30,0.00027344,0.00037424,0.00044944,0.00035648,0.0039984,0.00021264
31,0.000268,0.00037776,0.00045216,0.00039344,0.00404288,0.00020704
32,0.00026928,0.00040688,0.000452,0.0004496,0.00407312,0.00021296
33,0.00026816,0.00038928,0.00045216,0.00047888,0.0041208,0.00020912
34,0.00026848,0.00051664,0.00045536,0.0004912,0.00413424,0.00021232
35,0.00026832,0.00037184,0.00045456,0.00050256,0.00412528,0.00021296
36,0.00027024,0.0003792,0.00045312,0.00051408,0.00411008,0.00020992
37,0.00026912,0.00039056,0.0004528,0.00052512,0.00408608,0.00021264
38,0.00026896,0.0003904,0.00045248,0.00053568,0.00407632,0.00021904
39,0.000264,0.00038752,0.00045408,0.00054704,0.00408112,0.0002112
40,0.00027232,0.0003872,0.00045328,0.0005568,0.00407104,0.00021328
41,0.00027248,0.00040016,0.00045424,0.00056608,0.00406352,0.00021344
42,0.00027136,0.00038064,0.00044896,0.00057696,0.00407008,0.0002152
43,0.0002688,0.00037888,0.0004536,0.00058224,0.00406608,0.00021296
44,0.00026832,0.00039424,0.00045408,0.00059248,0.00405056,0.00020592
