frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.00047536,0.00366224,0.00025824,0.00784608,0.00085664,0.00335312,0.0003272
1,0.0003848,0.00254064,0.00024832,0.00460448,0.00072912,0.00268864,0.0002616
2,0.00036176,0.00234624,0.00024864,0.00340944,0.00057664,0.0025544,0.00023824
3,0.00033552,0.00226016,0.0002456,0.00330992,0.0005656,0.00248304,0.00023312
4,0.00032624,0.00221632,0.00024576,0.00322432,0.00053664,0.00241552,0.000224
5,0.00033664,0.00218496,0.00025056,0.00318624,0.00050336,0.00233984,0.00022176
6,0.00033168,0.0021336,0.0002496,0.0031128,0.00051264,0.00234256,0.00022016
7,0.00032304,0.00213504,0.0002448,0.0031192,0.00051136,0.00234592,0.00022096
8,0.00032272,0.00214,0.00024816,0.0031232,0.00050976,0.00234656,0.00022256
9,0.00033392,0.00213856,0.00024592,0.0031272,0.00051856,0.0023488,0.00022176
10,0.00033344,0.00214336,0.00024768,0.00313904,0.0005008,0.00235104,0.00022256
11,0.0003288,0.0021376,0.00024832,0.00313328,0.00050256,0.00235264,0.00022352
12,0.00033232,0.0021384,0.0002504,0.0031416,0.00050944,0.00234896,0.00022544
13,0.0003336,0.00213392,0.00024832,0.00314464,0.00051008,0.00236016,0.00022336
14,0.00031888,0.0021328,0.00024768,0.00314704,0.00051728,0.00235936,0.00022288
15,0.00032608,0.00213504,0.00024176,0.00315728,0.00051872,0.00235552,0.00022352
16,0.00032176,0.00214144,0.00024976,0.00316144,0.00050304,0.0023672,0.00022272
17,0.0003312,0.00213712,0.00025072,0.00316624,0.00049824,0.00293104,0.00022192
18,0.00032848,0.0021384,0.00024592,0.00316768,0.00070672,0.00337024,0.00021856
19,0.00032928,0.0021408,0.00024784,0.00317872,0.00053056,0.0035408,0.00022224
20,0.0003296,0.0021352,0.00025072,0.00321392,0.00052416,0.0037584,0.00021984
21,0.00033264,0.00214112,0.00025088,0.00327392,0.00051824,0.00397248,0.00021952
22,0.00033936,0.00214352,0.00024896,0.00333968,0.00049392,0.0044392,0.00021984
23,0.0003304,0.0022056,0.00025136,0.00342592,0.00052,0.0047464,0.00022112
24,0.00033088,0.0021808,0.00024448,0.00349472,0.00053072,0.00487296,0.00022048
25,0.000336,0.00219232,0.00024032,0.00355152,0.00048896,0.00495504,0.00021808
26,0.0003416,0.00221232,0.00025072,0.00361936,0.00052272,0.00508048,0.00022336
27,0.00033328,0.00218576,0.0002472,0.00367088,0.000484,0.00512432,0.00022272
28,0.00033248,0.00220496,0.0002488,0.0037352,0.00052624,0.00503632,0.00021888
29,0.00031728,0.0022384,0.00025072,0.00376512,0.00054768,0.00507696,0.00022256
30,0.00033056,0.00222144,0.0002472,0.00383872,0.00055568,0.0050872,0.00021968
31,0.00032912,0.00220224,0.00024688,0.00386928,0.00052592,0.00533552,0.00021904
32,0.00033344,0.00222016,0.00024608,0.00391008,0.00063648,0.0054216,0.00021904
33,0.00032432,0.00222624,0.00025184,0.00397936,0.00054896,0.00583536,0.0002216
34,0.00033184,0.00221808,0.0002464,0.00398128,0.00054912,0.0055792,0.0002192
35,0.00032128,0.00221792,0.00024656,0.00396576,0.00055024,0.00558,0.00021904
36,0.00032416,0.002204,0.0002488,0.00395152,0.00054368,0.005504,0.00021984
37,0.00033312,0.00223504,0.00024944,0.00393264,0.0005264,0.00558112,0.00022224
38,0.00033344,0.00222736,0.00025088,0.00392672,0.0005536,0.00596064,0.0002208
39,0.00032256,0.00221168,0.00024784,0.00391456,0.00054256,0.00544016,0.00022016
40,0.00032352,0.0022288,0.00025024,0.00390928,0.00053888,0.00583456,0.00021984
41,0.00032544,0.00221584,0.00024656,0.00388848,0.00054576,0.00549264,0.00021952
42,0.00033136,0.00267904,0.00024688,0.00390816,0.00051568,0.00571968,0.00023376
43,0.00033376,0.00229616,0.00025104,0.00493216,0.0005456,0.00575872,0.00022352
44,0.00032656,0.00220112,0.00024752,0.00389216,0.00070656,0.0058552,0.00022064
45,0.00033008,0.0022056,0.0002472,0.00391056,0.00052944,0.005676,0.00022
46,0.0003304,0.0022128,0.0002488,0.003916,0.00050768,0.00548624,0.00022128
47,0.000336,0.00220192,0.00024928,0.00392464,0.00051152,0.00593008,0.00022032
48,0.00033232,0.00219472,0.00024864,0.00392544,0.00051472,0.00600944,0.00022288
49,0.0003304,0.00221696,0.00024368,0.00390448,0.00050896,0.00617888,0.00022032
50,0.00033104,0.00221904,0.0002448,0.00392592,0.0005176,0.00614304,0.0002224
51,0.00031712,0.00221168,0.00024912,0.00390928,0.00053408,0.006452,0.00022128
52,0.00033424,0.0022072,0.00024656,0.00391504,0.00052384,0.00594768,0.00022048
53,0.00032976,0.00220256,0.00024992,0.00389952,0.00052304,0.00619584,0.0002224
54,0.00033616,0.0022112,0.00025072,0.00392592,0.00050288,0.00631744,0.00022
55,0.00033328,0.00218,0.00024832,0.00394128,0.0004928,0.00624928,0.00022032
56,0.0003248,0.00219776,0.00025072,0.003956,0.00066864,0.0065488,0.00021872
57,0.00034048,0.00219552,0.00024944,0.00396288,0.0005128,0.00665056,0.00022288
58,0.00032752,0.00222672,0.00024816,0.00396736,0.00051088,0.00680832,0.00022176
59,0.0003288,0.0022056,0.00025056,0.00397536,0.00052272,0.00712864,0.00021936
60,0.00032368,0.00220064,0.00024672,0.00399392,0.00052496,0.0074928,0.00022272
61,0.0003256,0.00220768,0.00025168,0.00402272,0.00052352,0.00774656,0.00022112
62,0.00032816,0.00219856,0.00024784,0.00401568,0.00051376,0.00788224,0.00022272
63,0.00033104,0.00220416,0.00024976,0.0040128,0.0005168,0.00821216,0.00022016
64,0.00033056,0.00222336,0.00024832,0.00403008,0.00052032,0.00828608,0.00022016
65,0.0003152,0.00222064,0.0002504,0.00403792,0.00052384,0.00837936,0.00022192
66,0.00031952,0.00220576,0.00024544,0.00405152,0.00070592,0.00826688,0.00021872
67,0.00033184,0.00220848,0.00024992,0.00410368,0.00050944,0.00847072,0.00021936
68,0.00032576,0.00222192,0.00024864,0.0040776,0.00052656,0.00866672,0.00022272
69,0.00032848,0.00222016,0.0002408,0.00411008,0.0005416,0.00858304,0.00022224
70,0.00033424,0.00221712,0.0002504,0.00412048,0.00054112,0.00883568,0.00021856
71,0.00031952,0.00222864,0.00024768,0.00413136,0.00054272,0.00919168,0.0002208
72,0.00032816,0.00220288,0.00025344,0.00417424,0.00052928,0.00941872,0.00022864
73,0.00033456,0.0022288,0.00024976,0.00419888,0.00053232,0.00989248,0.00021936
74,0.00032608,0.00221504,0.00024896,0.00421248,0.00054224,0.0102414,0.00022176
75,0.00032976,0.00220128,0.00025072,0.00423808,0.00053568,0.0104971,0.00022064
76,0.0003232,0.00221616,0.0002456,0.00424272,0.00068048,0.0107694,0.00021984
77,0.00032384,0.00223424,0.00024544,0.0042616,0.00058816,0.0110315,0.0002216
78,0.00032688,0.00221984,0.00024752,0.0043376,0.00053024,0.0112347,0.00022
79,0.00032928,0.002244,0.0002512,0.00432528,0.00054384,0.0111192,0.00022032
80,0.00031984,0.0022104,0.00024816,0.00437616,0.00051248,0.0112942,0.00021856
81,0.00032784,0.00222512,0.00024688,0.00440512,0.0005424,0.0117128,0.00021936
82,0.00031456,0.00222928,0.00025072,0.00440224,0.00053936,0.0117224,0.0002192
83,0.0003336,0.00224064,0.00024288,0.00446752,0.00054304,0.0115354,0.00021904
84,0.00032688,0.00222656,0.00025312,0.00446336,0.00077008,0.011916,0.00021712
85,0.0003352,0.00224528,0.00024768,0.00451216,0.00054304,0.0120408,0.00022048
86,0.00033088,0.00223232,0.00024704,0.00454288,0.00054512,0.0121232,0.0002224
87,0.00033424,0.00221984,0.00025024,0.00456464,0.00060528,0.0121622,0.00022016
88,0.00033264,0.00223216,0.00024288,0.00458928,0.00054832,0.0119486,0.00021792
89,0.00033152,0.00224336,0.00024944,0.00464448,0.00053952,0.0119741,0.00022224
90,0.0003264,0.0022248,0.00024896,0.00468384,0.0005416,0.0119506,0.0002248
91,0.00033168,0.00224928,0.00025008,0.00471168,0.0005536,0.0119978,0.00022032
92,0.00033424,0.00222704,0.0002504,0.00469888,0.00071344,0.0118624,0.00021872
93,0.00033872,0.00222912,0.00024512,0.004708,0.00053632,0.0119082,0.00022064
94,0.0003312,0.00223632,0.0002472,0.00473088,0.00053872,0.0118746,0.00022224
95,0.00032304,0.00222608,0.00024944,0.00469648,0.00052112,0.0118562,0.00022208
96,0.00032576,0.00225744,0.00024368,0.00469616,0.00054016,0.0115002,0.00021968
97,0.00033232,0.00223424,0.00025152,0.00465952,0.0005472,0.0111198,0.00022864
98,0.00032704,0.0022312,0.00024864,0.0046472,0.00052576,0.0110816,0.00022912
99,0.00032704,0.00223952,0.00024928,0.0046128,0.00054704,0.0110394,0.00021984
100,0.00033344,0.00223952,0.00024528,0.00459248,0.00071024,0.0109357,0.00021872
101,0.0003272,0.00223856,0.00024864,0.0045752,0.00055216,0.0108674,0.00022016
102,0.00032096,0.00224064,0.00024496,0.00450592,0.00051056,0.0108582,0.00021888
103,0.0003328,0.00222176,0.00024048,0.0044272,0.000548,0.010785,0.00021952
104,0.00033248,0.00223584,0.00024592,0.00440096,0.00053712,0.0106765,0.00021968
105,0.00032912,0.00222032,0.00024672,0.0043624,0.00053248,0.0105698,0.00022048
106,0.00033136,0.00223904,0.000248,0.0043328,0.00054224,0.0105509,0.00021904
107,0.0003248,0.00222416,0.00024784,0.0042968,0.00054208,0.0105434,0.00021888
108,0.00032288,0.0022328,0.0002464,0.00425216,0.00054032,0.010504,0.0002216
109,0.000332,0.0022168,0.00025024,0.004208,0.00070576,0.0105005,0.00022064
110,0.00033056,0.00220624,0.00024704,0.0041824,0.0005448,0.0105048,0.00022176
111,0.0003312,0.00221344,0.00024976,0.00411584,0.00054848,0.0105006,0.00021968
112,0.000332,0.00221024,0.00025072,0.00405728,0.00053904,0.010477,0.00021904
113,0.00031568,0.00222608,0.00024352,0.00402912,0.0005416,0.0104554,0.00022032
114,0.00033264,0.00220784,0.00025072,0.00397792,0.0005408,0.0104877,0.0002224
115,0.0003288,0.00216576,0.0002424,0.0039392,0.00054112,0.0104645,0.00021776
116,0.00032976,0.00218784,0.00024896,0.00389232,0.00054896,0.0104914,0.00021808
117,0.00032704,0.00219424,0.00024704,0.00385968,0.00055296,0.0104926,0.00021904
118,0.00031568,0.00218832,0.00025312,0.00379904,0.00069552,0.0104899,0.00021856
119,0.00033424,0.00219792,0.00024672,0.00375968,0.00055184,0.0105091,0.00022864
120,0.00032656,0.002168,0.00024736,0.00371632,0.00054352,0.0105066,0.00022176
121,0.0003272,0.00216304,0.00025152,0.00366576,0.00054992,0.0105152,0.0002176
122,0.0003296,0.00216928,0.00024992,0.00362592,0.00052608,0.0105523,0.0002208
123,0.00033024,0.00216432,0.00024832,0.00358416,0.00053664,0.0106157,0.0002184
124,0.0003296,0.00216288,0.00025024,0.00353984,0.00053024,0.010631,0.00022
125,0.0003272,0.00216544,0.00024736,0.0035216,0.00052944,0.0106427,0.0002176
126,0.00032352,0.00219856,0.00024944,0.00351424,0.00054864,0.0106877,0.00021984
127,0.00032432,0.00215888,0.00024704,0.0035088,0.00070656,0.0107232,0.00021792
128,0.00032992,0.0021672,0.00025104,0.00350704,0.00053408,0.0107608,0.00022016
129,0.00032912,0.00216032,0.00024496,0.00350896,0.00053472,0.0108128,0.00022016
130,0.00032992,0.00216608,0.0002432,0.00351312,0.00053072,0.0108269,0.00022064
131,0.00033072,0.00216688,0.0002488,0.00351488,0.00056832,0.0108198,0.00021952
132,0.00032288,0.00216096,0.00025056,0.00351248,0.00054112,0.0108954,0.00022384
133,0.00032704,0.00215712,0.00024816,0.00351424,0.00052848,0.0109,0.00021888
134,0.00032912,0.00216304,0.00024704,0.00350464,0.000492,0.0109434,0.00022096
135,0.00033568,0.00216496,0.0002504,0.00350368,0.00050448,0.0109293,0.00021888
136,0.00032032,0.0021608,0.00024336,0.00350816,0.00062912,0.0109219,0.00021952
137,0.00032448,0.00216176,0.00023152,0.00350064,0.00052544,0.0109454,0.00022096
138,0.0003344,0.00216576,0.00024736,0.00349968,0.0005368,0.010945,0.0002208
139,0.00032,0.00216656,0.00024112,0.00350128,0.00053312,0.0109643,0.00021952
140,0.00033792,0.0021584,0.00025152,0.00349264,0.0005368,0.0109974,0.00021888
141,0.000336,0.00216464,0.00023456,0.00349568,0.00052896,0.0109598,0.0002224
