frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,6.656e-05,0.00096608,0.00033328,0.00259184,0.00091216,0.00800704,0.00029168
1,6.688e-05,0.00068016,0.00026912,0.00110752,0.00065648,0.00606144,0.00029296
2,4.64e-05,0.00056832,0.00026592,0.00096704,0.00059024,0.00637056,0.00021952
3,4.416e-05,0.00055392,0.00026512,0.00095936,0.000576,0.00746112,0.00021712
4,4.352e-05,0.00059872,0.00026656,0.00094576,0.00056896,0.00835776,0.0002152
5,4.448e-05,0.0005224,0.00026528,0.00092304,0.00055024,0.0093184,0.00021568
6,4.48e-05,0.0005104,0.00026528,0.00089616,0.00054608,0.0103205,0.0002144
7,4.384e-05,0.00050848,0.00026576,0.0009064,0.00055392,0.0111934,0.00021552
8,4.352e-05,0.0005544,0.00025616,0.0009,0.00054656,0.0125291,0.00021392
9,4.512e-05,0.0005544,0.0002536,0.00090176,0.0005464,0.0136562,0.00021376
10,4.496e-05,0.00055424,0.00025936,0.0009064,0.00054016,0.0144624,0.00021568
11,4.48e-05,0.00050976,0.00026272,0.00090288,0.000636,0.0149482,0.00021552
12,4.448e-05,0.00051104,0.00026912,0.00090384,0.00055328,0.0145294,0.00021504
13,4.336e-05,0.00050992,0.00026544,0.00090144,0.00054192,0.0140198,0.000216
14,4.352e-05,0.00050896,0.00026736,0.00089776,0.00049648,0.013529,0.0002136
15,4.448e-05,0.00050912,0.00026592,0.00090304,0.0004896,0.0129179,0.0002136
16,4.368e-05,0.00055616,0.0002608,0.000912,0.00053168,0.0122522,0.00021616
17,4.48e-05,0.00050864,0.00026368,0.0009408,0.00054896,0.0115218,0.00021712
18,4.56e-05,0.0005528,0.0002648,0.0009376,0.00054048,0.0107605,0.00021424
19,4.416e-05,0.00050832,0.00026912,0.00093584,0.00055232,0.00999808,0.00021584
20,4.448e-05,0.00055424,0.00026416,0.00093968,0.00052544,0.00926272,0.0002168
21,4.576e-05,0.00055616,0.00026224,0.00097904,0.00055104,0.00858128,0.00021408
22,4.4e-05,0.00050976,0.00026368,0.00095392,0.00063952,0.0079872,0.00021456
