frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,7.36e-05,0.00182112,0.00256656,0.00177216,0.0035368,0.00027472
1,4.288e-05,0.00111072,0.00209408,0.00174976,0.00227456,0.00020848
2,4.256e-05,0.00077712,0.00209504,0.00142464,0.00192976,0.00021712
3,4.56e-05,0.00074048,0.00198976,0.00135888,0.001916,0.00020656
4,3.92e-05,0.00074592,0.00197664,0.00136448,0.00185632,0.00020208
5,4.288e-05,0.0006912,0.0019296,0.00133824,0.00182976,0.00020208
6,4.208e-05,0.0006648,0.00188112,0.00134,0.0018296,0.00020528
7,4.272e-05,0.00068992,0.0018808,0.00130288,0.00181632,0.00020992
8,3.568e-05,0.0008656,0.0018264,0.0012088,0.0018192,0.00020496
9,4.096e-05,0.00066464,0.00182496,0.00115888,0.001776,0.00020832
10,4.16e-05,0.00069504,0.00182064,0.00113504,0.00177856,0.00020256
11,3.568e-05,0.00073664,0.00181568,0.00110864,0.00178048,0.0002016
12,4.128e-05,0.00068352,0.00181616,0.00109712,0.00176816,0.00020608
13,4.112e-05,0.00067392,0.00180976,0.0010976,0.00178096,0.00020528
14,4.096e-05,0.00072752,0.00181552,0.00109472,0.0017704,0.0002048
15,4.128e-05,0.00067136,0.00181856,0.00109856,0.00177888,0.00020512
16,4.064e-05,0.0006792,0.00181504,0.0011032,0.00178928,0.00020496
17,4.16e-05,0.000676,0.00181408,0.00110192,0.00178656,0.00020624
18,4.096e-05,0.0006832,0.001812,0.00111344,0.00180064,0.000208
19,4.128e-05,0.00071456,0.00181728,0.00113536,0.00181792,0.00020128
20,4.112e-05,0.00065216,0.00181152,0.00115856,0.00181632,0.0002072
21,3.584e-05,0.00072336,0.00181536,0.00121872,0.00182224,0.00020736
22,4.096e-05,0.00068768,0.00180704,0.00128448,0.00182624,0.00020848
23,3.68e-05,0.00069872,0.00181632,0.00136112,0.0018232,0.0002008
24,3.984e-05,0.00070128,0.00181456,0.00141888,0.00182944,0.00020672
25,4e-05,0.00066896,0.0018176,0.00148576,0.001844,0.00019984
26,3.968e-05,0.00068928,0.00182368,0.00156656,0.00182912,0.00020176
27,4.032e-05,0.00069712,0.0018168,0.00163968,0.00183104,0.0002032
28,4.176e-05,0.00077472,0.00180928,0.00170352,0.0018336,0.0002064
29,3.488e-05,0.00078576,0.00181504,0.00176752,0.00184,0.00020608
30,3.968e-05,0.00071488,0.0018184,0.00181968,0.00184464,0.0002056
31,3.888e-05,0.00078736,0.00181136,0.00187264,0.00183152,0.00020736
32,3.968e-05,0.00082784,0.001812,0.00193056,0.00182848,0.0002072
33,3.936e-05,0.00071408,0.00181296,0.00197168,0.00181472,0.00020752
34,3.824e-05,0.00070464,0.00180816,0.0020064,0.001824,0.00020768
35,3.872e-05,0.00073536,0.0018136,0.00204416,0.00181952,0.00020864
36,3.808e-05,0.00069296,0.00181328,0.00207792,0.00182016,0.0002088
37,3.776e-05,0.00072048,0.00181936,0.0021096,0.0018248,0.00020368
38,3.824e-05,0.0007216,0.00182096,0.00213888,0.00180688,0.000208
39,3.76e-05,0.0009072,0.00182208,0.00214816,0.00178656,0.00020752
40,3.76e-05,0.00084672,0.00182832,0.00215424,0.00177856,0.00020896
41,3.696e-05,0.00067872,0.00182976,0.00215456,0.00179392,0.00020768
42,3.6e-05,0.00069104,0.00183424,0.00213808,0.0017672,0.00020304
43,3.696e-05,0.00069008,0.00183344,0.00211712,0.00177472,0.0002112
44,3.824e-05,0.00069056,0.00182432,0.00210128,0.00177792,0.00020784
45,3.776e-05,0.00065696,0.00182672,0.00207424,0.00178064,0.00020128
46,3.776e-05,0.00072048,0.00183536,0.00204496,0.00178336,0.00020848
47,3.728e-05,0.00067744,0.00182912,0.0020136,0.00177472,0.00020688
48,3.648e-05,0.00068096,0.00181104,0.00196368,0.00180672,0.0002088
49,3.776e-05,0.00070416,0.00182224,0.00194064,0.00183856,0.00020624
50,4.032e-05,0.000684,0.00182592,0.0019544,0.0018952,0.00020624
51,3.92e-05,0.00068992,0.0018312,0.00197392,0.00191248,0.00020816
52,3.952e-05,0.00080304,0.00182992,0.00199616,0.00191008,0.00020816
53,3.888e-05,0.00067344,0.00183312,0.00200496,0.00189136,0.00020768
54,3.888e-05,0.00068896,0.00183184,0.00202096,0.00189168,0.00020608
55,3.936e-05,0.0007128,0.0018216,0.0020384,0.00188368,0.00020944
56,3.92e-05,0.00069936,0.00182512,0.00205344,0.00188032,0.0002072
57,3.92e-05,0.0007024,0.00183008,0.00207504,0.00189328,0.00020832
58,4e-05,0.00070896,0.00181728,0.00209056,0.0018776,0.00020544
59,3.392e-05,0.0006912,0.00182544,0.00210576,0.00187472,0.00020432
60,3.888e-05,0.000688,0.00182384,0.00211648,0.00186768,0.00020704
61,3.936e-05,0.00068896,0.00183008,0.0021352,0.00186528,0.00021072
62,3.936e-05,0.00066848,0.00182048,0.00215632,0.00185616,0.00020656
63,3.84e-05,0.00075776,0.00182832,0.0021728,0.00184976,0.00020864
64,3.872e-05,0.00068272,0.00183232,0.00218656,0.00185664,0.00020736
65,3.904e-05,0.00068912,0.00182832,0.002208,0.001848,0.00020816
66,3.856e-05,0.00074256,0.00183008,0.00222288,0.00185072,0.00020224
67,3.856e-05,0.0006648,0.00182352,0.00224256,0.00183856,0.00020384
68,3.36e-05,0.00069248,0.00182624,0.00225456,0.00183984,0.00020192
69,3.968e-05,0.00070976,0.0018288,0.0022776,0.00184112,0.00020608
70,3.28e-05,0.00073392,0.00182384,0.00228992,0.00181392,0.00020384
71,3.296e-05,0.00067936,0.00182784,0.00230304,0.00180128,0.00020304
72,3.296e-05,0.00068336,0.00182704,0.00231824,0.00179456,0.00020304
73,3.792e-05,0.00070592,0.00182416,0.00233984,0.00178928,0.00020688
74,3.68e-05,0.0007112,0.00182848,0.00236336,0.00175344,0.00020752
75,3.856e-05,0.00079184,0.00182448,0.00237776,0.00172848,0.00021232
76,3.664e-05,0.00082416,0.00182608,0.0023976,0.00168672,0.00020608
77,3.616e-05,0.00083888,0.0018184,0.00241808,0.0016744,0.00020816
78,3.52e-05,0.00071168,0.00182528,0.00244336,0.0016192,0.00021008
79,3.568e-05,0.00067072,0.00182688,0.00246496,0.00161808,0.00020176
80,3.232e-05,0.00072,0.0018336,0.00249328,0.00161872,0.00020208
81,3.872e-05,0.000716,0.00182272,0.0025336,0.00162656,0.0002072
82,3.296e-05,0.00082384,0.00181792,0.0025648,0.00160928,0.00020784
83,3.856e-05,0.00085792,0.0018232,0.00258256,0.00160064,0.00020816
84,3.856e-05,0.0008496,0.00182576,0.00262064,0.00159552,0.00020848
85,3.76e-05,0.0007056,0.00183104,0.00266352,0.00156224,0.00020704
86,3.376e-05,0.00069536,0.00181856,0.00269248,0.00153072,0.00020272
87,3.264e-05,0.0007024,0.00182352,0.00271808,0.00151664,0.00020384
88,3.984e-05,0.0007184,0.00183296,0.00274848,0.00156272,0.00020784
89,1.824e-05,0.00074256,0.00182352,0.00276912,0.00151552,0.000212
90,2.032e-05,0.0007048,0.00183152,0.0027936,0.00142992,0.00021232
91,3.248e-05,0.0007128,0.00180816,0.00282176,0.00165424,0.00020944
92,3.552e-05,0.00065648,0.00180624,0.00285744,0.00177056,0.00020912
93,3.616e-05,0.00082576,0.0018096,0.00286784,0.00186192,0.00020976
94,3.616e-05,0.00070896,0.00181712,0.00287056,0.00185776,0.00020896
95,3.632e-05,0.0006808,0.00181616,0.0028664,0.00186352,0.00020752
96,3.616e-05,0.00064864,0.00180544,0.0028712,0.00185104,0.00020816
97,3.232e-05,0.00068624,0.00180304,0.00287648,0.00182608,0.00020848
98,3.28e-05,0.00070752,0.00181552,0.0028688,0.0018272,0.00020272
99,3.76e-05,0.00067456,0.0018096,0.00287472,0.00182528,0.00020848
100,3.76e-05,0.00072192,0.00181504,0.00287136,0.00182912,0.00020864
101,3.824e-05,0.000692,0.00181088,0.00287152,0.0018,0.00020688
102,3.808e-05,0.00069952,0.00180656,0.00286688,0.0017888,0.00020784
103,3.216e-05,0.00065584,0.00181536,0.00285936,0.00179232,0.00020368
104,3.728e-05,0.00075456,0.00180832,0.00284752,0.00177488,0.00020416
105,3.76e-05,0.000732,0.00181424,0.00282192,0.00177248,0.00020816
106,3.744e-05,0.00071792,0.00181872,0.00281536,0.00176208,0.00020416
107,3.2e-05,0.00072096,0.00181632,0.0028104,0.00176256,0.00020416
108,3.696e-05,0.00068544,0.00181888,0.00279088,0.00175808,0.0002088
109,3.648e-05,0.00068912,0.0018144,0.00278384,0.00175712,0.00020864
110,3.664e-05,0.00065536,0.00181584,0.00277856,0.00172512,0.0002064
111,3.088e-05,0.000692,0.00180992,0.00279168,0.0017264,0.0002136
112,3.584e-05,0.00073984,0.00181792,0.00278768,0.0016984,0.0002088
113,3.616e-05,0.00070256,0.00181456,0.0028128,0.0016856,0.00020944
114,3.536e-05,0.00069344,0.00181904,0.00283504,0.00167856,0.000208
115,3.568e-05,0.00076432,0.00181392,0.0028536,0.00166816,0.00020832
116,3.52e-05,0.0006664,0.00182,0.00286672,0.00166064,0.00020736
117,3.6e-05,0.0008112,0.00181488,0.00288736,0.00166832,0.00020864
118,3.552e-05,0.0007448,0.00182352,0.00290784,0.00164448,0.00020736
119,3.04e-05,0.0007856,0.0018104,0.00293904,0.0016296,0.00020272
120,3.6e-05,0.00083616,0.00181344,0.0029648,0.001612,0.0002072
121,3.504e-05,0.0007048,0.00180752,0.00299008,0.00160816,0.0002096
122,3.584e-05,0.00068224,0.00180496,0.00300416,0.00158656,0.00020944
123,3.52e-05,0.0007192,0.00180496,0.00302288,0.00158416,0.00020848
124,3.52e-05,0.00071328,0.00182016,0.0030616,0.001584,0.0002096
125,2.992e-05,0.0007592,0.00180112,0.00310416,0.00159072,0.00020928
126,3.568e-05,0.00075456,0.00180336,0.00314384,0.001592,0.00020784
127,4.416e-05,0.00128944,0.00178016,0.00317328,0.00161936,0.00021568
128,3.712e-05,0.00075648,0.00177296,0.00322112,0.00160816,0.00021136
129,3.472e-05,0.00070304,0.00177008,0.0032472,0.00159968,0.00021024
130,3.504e-05,0.000676,0.00178944,0.00327392,0.0016064,0.00020848
131,2.976e-05,0.00069088,0.00177168,0.00332128,0.00161792,0.00020464
132,2.928e-05,0.00072976,0.0017784,0.00336144,0.00161376,0.00020432
133,3.536e-05,0.00071456,0.00177248,0.00342208,0.0016248,0.00020976
134,3.424e-05,0.00070608,0.00177552,0.00346592,0.00163792,0.00021072
135,3.472e-05,0.00077664,0.00177248,0.00350224,0.00163488,0.000208
136,3.408e-05,0.00070736,0.00178288,0.00358336,0.00164304,0.00020416
137,3.344e-05,0.0006768,0.00177952,0.003624,0.00164528,0.00020832
138,3.392e-05,0.00066464,0.00178064,0.00369952,0.00164752,0.00021072
139,2.848e-05,0.00067488,0.00179184,0.00373552,0.00165088,0.00020352
140,3.36e-05,0.00070064,0.0017968,0.00380144,0.0016456,0.0002104
141,3.328e-05,0.00070592,0.00178,0.00391072,0.0016352,0.00020976
142,2.832e-05,0.0007368,0.00177936,0.00405584,0.00164176,0.00021024
143,3.312e-05,0.00069312,0.00176992,0.00422272,0.00161904,0.0002104
144,3.216e-05,0.00068784,0.001788,0.0043768,0.00161728,0.0002112
145,3.168e-05,0.00069872,0.00177936,0.00459328,0.0016008,0.00020624
146,3.072e-05,0.00066352,0.00177744,0.00471856,0.00159408,0.00021408
147,3.104e-05,0.00074832,0.0017848,0.00474544,0.00159104,0.00021248
148,2.8e-05,0.00066928,0.00178544,0.00477296,0.00158528,0.000208
149,2.96e-05,0.00070128,0.0017744,0.00475488,0.00158416,0.00021232
150,2.288e-05,0.00070352,0.00177392,0.00470992,0.0015792,0.00021328
151,2.784e-05,0.00070912,0.00177744,0.00463456,0.00157424,0.00021392
152,2.72e-05,0.00073984,0.00179088,0.00454672,0.0015696,0.00021136
153,2.656e-05,0.00074624,0.00178704,0.00450016,0.00157008,0.00021296
154,2.608e-05,0.00070208,0.00179168,0.00446272,0.00156336,0.00021328
155,2.56e-05,0.00072688,0.00178752,0.0044672,0.00156864,0.00021392
156,2.544e-05,0.00066368,0.00178208,0.00449712,0.0015584,0.00021472
157,1.952e-05,0.00070896,0.00179056,0.00452528,0.00157024,0.0002096
158,2.464e-05,0.00078336,0.00179296,0.00452736,0.00156336,0.00020912
159,2.432e-05,0.00074816,0.00179808,0.00449056,0.00157184,0.00021248
160,1.792e-05,0.00077264,0.00179584,0.00450704,0.00158176,0.0002112
161,1.744e-05,0.00070112,0.00179584,0.00454752,0.00158912,0.00021088
162,2.08e-05,0.00068256,0.0018056,0.00460016,0.00160352,0.00021664
163,2.064e-05,0.00071024,0.00180976,0.00474704,0.00161264,0.00021312
164,2.032e-05,0.00075344,0.0018176,0.00495152,0.00162224,0.000216
165,1.968e-05,0.0007184,0.00181968,0.00509216,0.0016336,0.00021936
166,1.936e-05,0.00070832,0.00181392,0.00515888,0.00164608,0.00021088
167,1.36e-05,0.0007,0.00181984,0.0051984,0.00166256,0.00021232
168,1.92e-05,0.00073648,0.00181088,0.00515744,0.00168976,0.00021696
169,1.36e-05,0.0007104,0.00181632,0.00505344,0.00168592,0.00021216
170,1.872e-05,0.00069456,0.0018352,0.00496064,0.0016864,0.0002136
171,1.888e-05,0.00068944,0.00182208,0.0047624,0.00168544,0.0002184
172,1.968e-05,0.00068912,0.00183216,0.00463952,0.00170608,0.00022112
173,1.952e-05,0.00069968,0.00183056,0.00449296,0.00173024,0.00022
174,1.92e-05,0.00071312,0.0018376,0.00438528,0.0017264,0.00021264
175,1.408e-05,0.00071376,0.00183568,0.0042912,0.00170016,0.00021296
176,1.376e-05,0.00083872,0.00182816,0.00424704,0.00170352,0.00021232
177,1.952e-05,0.00068384,0.00182464,0.0042216,0.00168624,0.00021168
178,1.92e-05,0.00069776,0.00183168,0.00416352,0.0017032,0.0002168
179,1.968e-05,0.00069952,0.00182944,0.00410208,0.00169856,0.000212
180,1.936e-05,0.0006912,0.00182288,0.00405664,0.00172928,0.00021472
181,1.968e-05,0.00069808,0.001828,0.00402272,0.00174112,0.0002176
182,1.392e-05,0.0006928,0.00183168,0.00405968,0.00176928,0.00021328
183,1.92e-05,0.00078016,0.00182928,0.0040856,0.0017864,0.00021344
184,1.936e-05,0.00075872,0.00183536,0.0041336,0.00180608,0.000216
185,1.904e-05,0.00069296,0.0018424,0.00421088,0.00181312,0.00021344
186,1.872e-05,0.00067664,0.00182896,0.0042384,0.00181856,0.00021312
187,1.376e-05,0.0007288,0.00181744,0.00429232,0.00183776,0.00021504
188,1.968e-05,0.00066624,0.0018248,0.00433184,0.00185312,0.00021856
189,2.016e-05,0.00069424,0.00182128,0.00435392,0.00185136,0.00021808
190,2e-05,0.0006896,0.00182608,0.00438976,0.00185904,0.00022112
191,2e-05,0.00071008,0.00182832,0.00441456,0.00187632,0.00021264
192,1.424e-05,0.00068208,0.00182544,0.00443488,0.00188928,0.0002144
193,1.92e-05,0.00070656,0.00182688,0.00445296,0.00188336,0.00021376
194,1.392e-05,0.00086048,0.001832,0.00447792,0.00191584,0.00021216
195,1.968e-05,0.0006968,0.00183424,0.00448576,0.00190832,0.00021072
196,1.952e-05,0.00070384,0.00183344,0.00446144,0.0018864,0.00021232
197,1.44e-05,0.00069424,0.00182688,0.0044496,0.0018816,0.00021232
198,1.92e-05,0.00074944,0.00183344,0.00443584,0.00189376,0.00021408
199,1.968e-05,0.00071856,0.00183344,0.00439552,0.00190256,0.00021248
200,1.408e-05,0.00071344,0.00182896,0.0043504,0.00191088,0.0002104
201,1.424e-05,0.00071296,0.00183408,0.00431728,0.00189104,0.0002112
202,1.952e-05,0.00071984,0.00183584,0.00428048,0.00187664,0.00021856
203,1.44e-05,0.0007248,0.001836,0.00423776,0.00187312,0.00021248
204,1.472e-05,0.00071328,0.00183552,0.00417168,0.00186784,0.00021136
205,1.936e-05,0.00070752,0.00183152,0.0041112,0.0018816,0.00021664
206,1.456e-05,0.00069536,0.00182784,0.00404528,0.00186688,0.00021072
207,1.952e-05,0.00069568,0.00183312,0.00398,0.00184608,0.00021824
208,1.456e-05,0.000712,0.00183344,0.00389344,0.00183888,0.00021984
209,2.016e-05,0.0006776,0.0018392,0.00382464,0.0018424,0.00021712
210,1.968e-05,0.00069024,0.00184096,0.0037512,0.00183888,0.0002184
211,2e-05,0.00069808,0.00183824,0.00366864,0.0018464,0.00021392
212,2.048e-05,0.00082704,0.00184096,0.0035856,0.00185744,0.00021792
213,2.096e-05,0.00078816,0.00183952,0.00350848,0.00187216,0.0002208
214,2.064e-05,0.00069792,0.00183632,0.00347456,0.00186288,0.00021328
215,2.096e-05,0.00069488,0.00183056,0.00341728,0.00189424,0.000212
216,1.568e-05,0.00075344,0.0018304,0.00335568,0.00190848,0.00021872
217,2.064e-05,0.00072608,0.00183344,0.00331456,0.00194848,0.00021712
218,2.128e-05,0.00072096,0.00183328,0.00327616,0.0019856,0.00021152
219,2.064e-05,0.00068672,0.00183184,0.0032512,0.00197872,0.00021744
220,2.128e-05,0.0007176,0.00183296,0.0032224,0.00195168,0.00021632
221,2.272e-05,0.00067984,0.00183488,0.00320528,0.00194624,0.00021152
222,1.728e-05,0.00072864,0.00183232,0.00319184,0.00194256,0.00021088
223,1.696e-05,0.00067872,0.00182256,0.00318528,0.00191216,0.0002152
224,2.336e-05,0.00069744,0.00184384,0.00318336,0.0018928,0.00021504
225,2.352e-05,0.00071872,0.0018328,0.00318416,0.00187408,0.00021504
226,2.336e-05,0.00072848,0.00184368,0.00316368,0.0018592,0.00021568
227,2.256e-05,0.00068224,0.00183264,0.00318,0.00185584,0.00020976
228,1.6e-05,0.0007192,0.0018376,0.00318512,0.00184576,0.00021408
229,2.048e-05,0.00066528,0.00183648,0.00319472,0.00182704,0.00022
230,2.032e-05,0.00067216,0.00183664,0.00320288,0.00182,0.00021168
231,2.128e-05,0.00070656,0.00183408,0.003216,0.00181104,0.00021808
232,2.064e-05,0.0008752,0.00183344,0.0032312,0.00180704,0.00021984
233,1.984e-05,0.00068656,0.00183008,0.00325376,0.00180592,0.0002208
234,2e-05,0.00074448,0.0018384,0.00328544,0.0018056,0.00021264
235,1.968e-05,0.00072592,0.00183216,0.00332768,0.00183376,0.00021552
236,1.456e-05,0.00068848,0.00184784,0.0033464,0.0018632,0.00021296
237,1.952e-05,0.00072848,0.00184272,0.00331008,0.00190256,0.0002144
238,1.488e-05,0.00071104,0.00184352,0.00327216,0.00190992,0.00021088
239,2.016e-05,0.0007744,0.00184352,0.00325696,0.00191392,0.00021776
240,1.968e-05,0.000704,0.00185152,0.00331936,0.00195344,0.0002112
241,2.096e-05,0.00067584,0.00184768,0.00340736,0.0019648,0.00021568
242,2.064e-05,0.00068656,0.00184112,0.00344848,0.00196784,0.00021152
243,1.616e-05,0.0006856,0.00183408,0.00345744,0.00193888,0.00021008
244,2.128e-05,0.0007096,0.00184064,0.00340368,0.00191664,0.00021552
245,2.144e-05,0.00070464,0.001832,0.00339328,0.00189968,0.00021472
246,2.144e-05,0.00072528,0.00183248,0.00338736,0.0019136,0.00021216
247,2.064e-05,0.00076176,0.00183056,0.00336064,0.00189472,0.00021504
248,1.904e-05,0.0006792,0.00183056,0.0033096,0.00189888,0.00021664
249,1.92e-05,0.00068832,0.00183408,0.003316,0.00188384,0.00021696
250,1.536e-05,0.00073472,0.00183424,0.00336464,0.00186304,0.0002112
251,2.272e-05,0.00069888,0.00182768,0.00342384,0.00185488,0.00022064
252,1.856e-05,0.0008728,0.00184048,0.00348096,0.00183456,0.0002176
253,1.808e-05,0.00068784,0.0018392,0.00352672,0.0018432,0.0002176
254,1.456e-05,0.00067952,0.00184448,0.00358384,0.00181904,0.00021344
255,1.968e-05,0.00068976,0.00184512,0.00368832,0.00183472,0.0002192
256,1.936e-05,0.00070944,0.0018368,0.00385024,0.00184832,0.00021312
257,2.016e-05,0.00070864,0.0018248,0.004004,0.00183696,0.00021984
258,2e-05,0.00070096,0.00183168,0.00414976,0.00184592,0.00021696
259,1.424e-05,0.0007464,0.00182672,0.00427904,0.001896,0.00021168
260,1.712e-05,0.00073392,0.0018312,0.00438272,0.00192224,0.00021248
261,2e-05,0.00075584,0.001828,0.00447856,0.00189552,0.00021616
262,2.064e-05,0.0006616,0.0018232,0.0045584,0.00186464,0.00021776
263,1.536e-05,0.0006936,0.0018176,0.00463296,0.00185328,0.00021264
264,2.128e-05,0.00073808,0.00183024,0.0046936,0.00183136,0.00022112
265,1.536e-05,0.0007104,0.00181664,0.00475328,0.00181984,0.00021232
266,2.032e-05,0.00069984,0.00182096,0.00484256,0.00178992,0.00021584
267,2.064e-05,0.000696,0.0018176,0.00494256,0.0017736,0.00021984
268,2.032e-05,0.00069744,0.00181408,0.00502304,0.0017504,0.00021968
269,2.144e-05,0.00070288,0.00181456,0.00510208,0.00175328,0.00021776
270,2.048e-05,0.00081952,0.00181296,0.00521904,0.00174656,0.0002176
271,1.488e-05,0.00067328,0.00181648,0.00530848,0.00175472,0.00021392
272,2.048e-05,0.00070416,0.00181488,0.00539408,0.00174624,0.00021744
273,2e-05,0.00069744,0.00180608,0.00548496,0.00174,0.00021344
274,2.016e-05,0.00068976,0.00180832,0.00557472,0.00172784,0.00021728
275,2.032e-05,0.000696,0.00182368,0.00565792,0.00172528,0.00021184
276,2.048e-05,0.0007064,0.00182368,0.00574912,0.00174592,0.00021072
277,2.016e-05,0.00070704,0.00182832,0.00584688,0.00176384,0.00021904
278,1.936e-05,0.0007224,0.00181376,0.00599936,0.00177792,0.00021344
279,1.968e-05,0.00066928,0.00182432,0.00613184,0.00177904,0.0002192
280,2.096e-05,0.00072096,0.0018216,0.00629888,0.00177184,0.00021136
281,1.984e-05,0.00070576,0.00181872,0.00644704,0.00175488,0.00021888
282,2.032e-05,0.00068656,0.00182448,0.00656512,0.00175744,0.0002184
283,2.08e-05,0.00075888,0.00180576,0.00665088,0.00173072,0.00022032
284,2.16e-05,0.0006728,0.00181328,0.00672336,0.00172544,0.0002136
285,1.552e-05,0.00084176,0.00181264,0.00678864,0.00172208,0.00021088
286,2.096e-05,0.00068272,0.00180112,0.0068544,0.00171936,0.00021584
287,2.16e-05,0.00069344,0.00181376,0.00691184,0.00170448,0.00021648
288,2.112e-05,0.0007008,0.00181648,0.0069544,0.00170752,0.0002144
289,2.064e-05,0.00071424,0.00181552,0.0069856,0.00170976,0.00022192
290,2.096e-05,0.00077072,0.00181104,0.0070304,0.00170976,0.0002152
291,2.192e-05,0.00066464,0.00181168,0.00705152,0.0017104,0.00021792
292,2.096e-05,0.00069472,0.0018016,0.00707984,0.00171168,0.0002104
293,1.552e-05,0.00073472,0.00181632,0.0071272,0.00172352,0.00021328
294,2.096e-05,0.00074064,0.00183104,0.00716272,0.00170832,0.00021744
295,1.504e-05,0.00078688,0.00182384,0.00718912,0.00169152,0.00021104
296,2.112e-05,0.00066,0.00182336,0.00722416,0.00168608,0.00021072
297,1.552e-05,0.00070976,0.0018192,0.00724624,0.00167072,0.00021728
298,1.552e-05,0.00065792,0.00181984,0.00727488,0.00166064,0.00022
299,2.064e-05,0.00083888,0.00182896,0.00733024,0.00164656,0.00021536
300,2.08e-05,0.00073968,0.00181664,0.00736688,0.00163904,0.00021216
301,2.096e-05,0.00070288,0.0018192,0.00741376,0.00162704,0.00021536
302,2.112e-05,0.00068496,0.00182304,0.0074696,0.00163984,0.00021968
303,2.208e-05,0.0007376,0.0018216,0.007512,0.0016288,0.00021808
304,2.256e-05,0.0007136,0.00182928,0.00754992,0.001636,0.00021584
305,2.128e-05,0.00085568,0.00182608,0.00757344,0.00164832,0.00021792
306,2.16e-05,0.00067376,0.00183216,0.00761776,0.0016848,0.0002152
307,1.648e-05,0.00065952,0.00182592,0.00763536,0.0017152,0.00021216
308,2.176e-05,0.00068512,0.00182624,0.00766192,0.00172,0.00021696
309,1.632e-05,0.000672,0.00181968,0.00768096,0.00172016,0.000212
310,2.24e-05,0.00069632,0.00182784,0.00768352,0.00171312,0.00021088
311,2.24e-05,0.00070016,0.00182304,0.00768752,0.00170064,0.0002112
312,2.336e-05,0.00070464,0.00181904,0.00770288,0.00167152,0.00021024
313,2.416e-05,0.00074544,0.00181488,0.0077256,0.0016448,0.00021616
314,2.4e-05,0.00084544,0.00181456,0.00769392,0.00162864,0.00021488
315,1.968e-05,0.00069728,0.00181504,0.0077064,0.00163824,0.00020944
316,2.56e-05,0.00074016,0.00181056,0.00764224,0.00160496,0.00021568
