frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00039888,0.00155712,0.00318672,0.00355408,0.0135318,0.00026704
1,0.00028176,0.00092352,0.00299136,0.00324976,0.00973872,0.00023744
2,0.00027456,0.0007776,0.00287824,0.00313472,0.00833024,0.00023504
3,0.00026384,0.00072208,0.002832,0.00313616,0.00822512,0.00022752
4,0.00025696,0.00067728,0.002808,0.00298912,0.00818368,0.00023344
5,0.00026128,0.0006888,0.00280672,0.00302736,0.00826016,0.0002336
6,0.00026464,0.00069968,0.00281408,0.00313408,0.00827584,0.00023024
7,0.00026592,0.00075872,0.00281216,0.00318976,0.0083536,0.0002272
8,0.00026032,0.00068176,0.0028248,0.00331648,0.00836848,0.00022848
9,0.00026752,0.00068592,0.00283888,0.00342624,0.00841264,0.00023344
10,0.00026768,0.00071424,0.00284288,0.00361888,0.00847472,0.00023312
11,0.00026656,0.00069136,0.00285328,0.0037672,0.00853168,0.00022704
12,0.00026336,0.00067328,0.00286,0.00392976,0.0085024,0.00023312
13,0.00026288,0.0006968,0.002876,0.00418496,0.00856384,0.00023216
14,0.00026608,0.00076112,0.00289376,0.00431952,0.00860576,0.00023472
15,0.00025984,0.00068176,0.00289344,0.00447328,0.00856208,0.00023312
16,0.00025792,0.00063776,0.0029008,0.00455104,0.00867904,0.00023264
17,0.00025728,0.00071056,0.00292368,0.0046248,0.00875968,0.00023408
18,0.00025696,0.00070464,0.002932,0.00479376,0.0088336,0.00023392
19,0.00026864,0.00069424,0.00292976,0.00492752,0.00884432,0.00023232
20,0.00026112,0.00069296,0.00295808,0.00497888,0.00888416,0.00023248
21,0.00026272,0.00077936,0.00296896,0.00511856,0.00888992,0.0002344
22,0.00025824,0.00072736,0.00297344,0.00513552,0.00891056,0.00023264
23,0.00025904,0.00067648,0.00298368,0.00521792,0.0089368,0.0002336
24,0.00026304,0.00072464,0.00297152,0.0053552,0.0089672,0.00023344
25,0.0002528,0.00070048,0.00296416,0.00548976,0.00899504,0.00023456
26,0.00025408,0.0007064,0.00296832,0.00560832,0.00898368,0.00023216
