frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,1.763e-05,0.00175926,0.00116504,0.000332889,0.00423407,0.000101037
1,1.3482e-05,0.000929037,0.00116148,0.000326371,0.000913629,9.7481e-05
2,1.3778e-05,0.000916149,0.00115807,0.00032637,0.000687111,9.9407e-05
3,1.3334e-05,0.000895704,0.00116089,0.000329926,0.000695407,9.9704e-05
4,1.3629e-05,0.000891704,0.00116267,0.000330074,0.000688148,9.7185e-05
5,1.3778e-05,0.000886815,0.00115955,0.000341926,0.000691556,9.8667e-05
6,1.3482e-05,0.000892,0.00115926,0.000343703,0.000690667,9.8074e-05
7,1.363e-05,0.000878963,0.00115881,0.000347555,0.000699408,9.7778e-05
8,1.6148e-05,0.000981629,0.00116222,0.000356593,0.000693778,9.9408e-05
9,1.3777e-05,0.000899556,0.00116059,0.000357037,0.000715703,9.8371e-05
10,1.3482e-05,0.000881481,0.00116237,0.000360593,0.000700148,9.7481e-05
11,1.3482e-05,0.000928296,0.00116252,0.000371556,0.000695852,9.763e-05
12,1.3334e-05,0.000884444,0.00116459,0.000375556,0.000695408,9.8666e-05
13,1.3629e-05,0.000893629,0.00116341,0.000380741,0.000700148,9.763e-05
14,1.3186e-05,0.000909185,0.00116904,0.000387111,0.000696889,9.7629e-05
15,1.3185e-05,0.000885481,0.00116207,0.000388444,0.000692593,9.9407e-05
16,1.5556e-05,0.00100533,0.00116844,0.000394519,0.00069526,9.9111e-05
17,1.3185e-05,0.00088,0.00117896,0.000396741,0.000717481,9.8667e-05
18,1.2741e-05,0.000897778,0.00117822,0.000395259,0.00070163,0.000100741
19,1.3037e-05,0.000898815,0.00117585,0.000400888,0.000696297,9.7037e-05
20,1.2593e-05,0.000915556,0.00117718,0.000400741,0.000700592,9.6888e-05
21,1.2593e-05,0.000895851,0.00117585,0.000408889,0.000708,9.7926e-05
22,1.2444e-05,0.000935704,0.00118119,0.000412445,0.000711555,9.8963e-05
23,1.2444e-05,0.000869185,0.00117452,0.000412741,0.000708889,9.8667e-05
24,1.2444e-05,0.000888741,0.00117467,0.000420444,0.000711408,9.8963e-05
25,1.4074e-05,0.000949778,0.00117763,0.000428741,0.000733926,9.837e-05
26,1.2296e-05,0.000885481,0.00117274,0.000431408,0.000722815,9.8815e-05
27,1.2444e-05,0.000907852,0.00117452,0.000438963,0.000713926,9.8371e-05
28,1.2e-05,0.000897334,0.00117333,0.000448444,0.00071837,9.9408e-05
29,1.2296e-05,0.000895111,0.00117215,0.000454371,0.000721481,9.7482e-05
30,1.1852e-05,0.00087674,0.00117467,0.000458519,0.000726667,9.926e-05
31,1.1851e-05,0.000909481,0.00117363,0.000466667,0.000720297,9.9111e-05
32,1.1555e-05,0.00087674,0.00117526,0.000476,0.000718963,9.8074e-05
33,1.2445e-05,0.00147318,0.00117807,0.000488296,0.000976,9.8222e-05
34,1.6e-05,0.00108741,0.00117941,0.000493777,0.00074237,9.8666e-05
35,1.1111e-05,0.000895851,0.001176,0.000504297,0.000721186,9.8074e-05
36,1.0963e-05,0.000864444,0.00117837,0.000504148,0.000726075,9.8815e-05
37,1.1111e-05,0.000935852,0.00117748,0.000510815,0.000728889,9.763e-05
38,1.0814e-05,0.000876592,0.00117748,0.000512889,0.00073363,9.8074e-05
39,1.1259e-05,0.000860297,0.00117674,0.00051274,0.000732296,9.9852e-05
40,1.1111e-05,0.000860889,0.00117793,0.000511111,0.000730518,9.8222e-05
41,1.2148e-05,0.00121807,0.00117911,0.000509482,0.000733926,9.9555e-05
42,1.1407e-05,0.000889038,0.00117644,0.000502962,0.000742962,9.8074e-05
43,1.1556e-05,0.000881037,0.0011757,0.000498222,0.000715704,9.837e-05
44,1.1703e-05,0.00086326,0.00117274,0.000497185,0.000718814,9.7778e-05
45,1.1851e-05,0.000852889,0.00117348,0.000495111,0.000716444,9.763e-05
46,1.1703e-05,0.000919259,0.00117348,0.000487704,0.000717481,9.8667e-05
47,1.2e-05,0.000880592,0.00117156,0.000486519,0.000714074,9.763e-05
48,1.2148e-05,0.000920296,0.00117037,0.000488741,0.000725186,9.8074e-05
49,1.274e-05,0.000904148,0.00117185,0.000488889,0.000719704,9.9408e-05
50,1.4815e-05,0.00107156,0.00117007,0.000495703,0.000741481,0.0001
51,1.2889e-05,0.000885334,0.00116815,0.000497185,0.000722518,9.7037e-05
52,1.2888e-05,0.000904741,0.00116904,0.000494518,0.000716444,9.7778e-05
53,1.3185e-05,0.000892,0.00117274,0.000502519,0.000714666,0.0001
54,1.3333e-05,0.00105615,0.0011717,0.00050637,0.000720296,9.9111e-05
55,1.3482e-05,0.000908,0.00116918,0.000512444,0.000713482,9.7185e-05
56,1.3778e-05,0.000897037,0.00117037,0.000515852,0.000712148,9.7481e-05
57,1.3778e-05,0.000885334,0.0011683,0.000534814,0.000710074,9.8074e-05
58,1.6296e-05,0.000995259,0.00117422,0.000534223,0.000709185,9.9259e-05
59,1.363e-05,0.000917926,0.00116667,0.000535703,0.000729185,9.9555e-05
60,1.5852e-05,0.000895555,0.00117126,0.000543852,0.000708889,9.7482e-05
61,1.3778e-05,0.000899111,0.00116785,0.000552148,0.000707111,9.837e-05
62,1.4074e-05,0.000893482,0.00116918,0.000552296,0.000715704,9.8815e-05
63,1.3926e-05,0.000903111,0.00116756,0.000558963,0.000717778,9.8074e-05
64,1.4074e-05,0.000882963,0.00116859,0.000565481,0.000718371,9.7778e-05
65,1.4074e-05,0.000868297,0.00116993,0.000576296,0.000718963,9.7926e-05
66,1.6889e-05,0.000993629,0.001176,0.000587852,0.000721037,9.8815e-05
67,1.4222e-05,0.000893334,0.00116918,0.000595407,0.000745037,9.8963e-05
68,1.3777e-05,0.000937926,0.00117081,0.000597778,0.000721037,9.8963e-05
69,1.4222e-05,0.000913185,0.00116874,0.000611112,0.00072637,9.763e-05
70,1.3926e-05,0.000858518,0.00117304,0.000623556,0.000733482,9.7481e-05
71,1.3777e-05,0.000859852,0.00116993,0.000624741,0.000729185,9.7926e-05
72,1.4074e-05,0.000883111,0.00116978,0.000641185,0.000732296,9.7185e-05
73,1.363e-05,0.000876148,0.00116948,0.000643408,0.000744296,0.000100444
74,1.3629e-05,0.000904444,0.00117067,0.000651556,0.000743259,9.763e-05
75,1.6741e-05,0.000914963,0.00117289,0.000662074,0.000777333,9.8666e-05
76,1.3778e-05,0.000931408,0.00117126,0.00066237,0.000750814,9.7334e-05
77,1.363e-05,0.000888741,0.00116815,0.000669481,0.00074237,9.7481e-05
78,1.3926e-05,0.000887852,0.0011723,0.000675408,0.000737185,9.8222e-05
79,1.4074e-05,0.000861778,0.00116963,0.000690666,0.000730222,9.7185e-05
80,1.3926e-05,0.000972149,0.00116919,0.000694962,0.000726963,9.837e-05
81,1.4074e-05,0.000885333,0.00116844,0.000699852,0.000731408,9.7629e-05
82,1.4222e-05,0.000883111,0.00116726,0.000716296,0.000730519,9.8518e-05
83,1.7185e-05,0.000998222,0.00116533,0.000740593,0.000734074,9.8519e-05
84,1.3629e-05,0.000904296,0.001168,0.000758963,0.000764445,9.8075e-05
85,1.3334e-05,0.000892888,0.00116785,0.000781037,0.000746963,9.7777e-05
86,1.3333e-05,0.000892444,0.00116652,0.000808149,0.000759556,9.7334e-05
87,1.363e-05,0.000893333,0.00116741,0.00084,0.000775111,9.8666e-05
88,1.4222e-05,0.000885926,0.00116933,0.000857778,0.000776148,9.8667e-05
89,7.111e-06,0.000891112,0.00116563,0.00087274,0.000783703,9.8667e-05
90,6.963e-06,0.000932296,0.00116815,0.000908,0.000764,9.8963e-05
91,1.7186e-05,0.000987704,0.00116785,0.000941482,0.000714222,9.9407e-05
92,1.3629e-05,0.000893333,0.00116681,0.000936445,0.000728593,9.9704e-05
93,1.3482e-05,0.000891407,0.00117037,0.000951556,0.000706519,0.000103407
94,1.4074e-05,0.000864889,0.00116607,0.000980593,0.000701037,0.000100296
95,1.363e-05,0.000880889,0.001164,0.000982222,0.000698963,9.9407e-05
96,1.3778e-05,0.000898963,0.00116504,0.000965926,0.00069837,0.0001
97,1.3481e-05,0.000906371,0.00116548,0.000932444,0.000701185,0.0001
98,1.363e-05,0.00088163,0.00116637,0.000930963,0.000695111,9.8962e-05
99,1.363e-05,0.000884445,0.00116207,0.000905037,0.000694666,9.7333e-05
100,1.6593e-05,0.000901333,0.00116593,0.000905185,0.000713778,9.8666e-05
101,1.3629e-05,0.000910075,0.00116178,0.000881333,0.000693777,9.7926e-05
102,1.363e-05,0.000887555,0.00116578,0.000883112,0.000690222,9.9259e-05
103,1.3629e-05,0.000889333,0.00116489,0.000884593,0.000688741,9.7482e-05
104,1.3334e-05,0.000895259,0.0011643,0.000871852,0.000695556,9.7777e-05
105,1.3334e-05,0.000888741,0.00116267,0.000877926,0.000688592,9.837e-05
106,1.3333e-05,0.000878371,0.00116756,0.000881481,0.000689777,9.9111e-05
107,1.3334e-05,0.000884,0.00116193,0.000881629,0.000688889,9.8666e-05
108,1.6148e-05,0.000951408,0.001164,0.000903259,0.000691555,9.837e-05
109,1.3185e-05,0.000942962,0.00116355,0.000894223,0.000713482,0.000101482
110,1.3185e-05,0.000884149,0.00116385,0.000904296,0.000692148,9.7037e-05
111,1.3333e-05,0.000893778,0.00116074,0.000918222,0.000689926,9.8667e-05
112,1.3185e-05,0.000887555,0.0011637,0.000914963,0.000688,9.837e-05
113,1.3186e-05,0.000883556,0.00116163,0.000935704,0.000688,9.8074e-05
114,1.2888e-05,0.000885925,0.00116207,0.00094,0.000683112,9.8667e-05
115,1.2889e-05,0.000896889,0.0011557,0.000937482,0.00068237,9.8371e-05
116,1.5556e-05,0.00098237,0.00116089,0.000948,0.000673778,9.837e-05
117,1.274e-05,0.000929482,0.00116133,0.000945629,0.000691703,9.7482e-05
118,1.2593e-05,0.000881778,0.0011603,0.000939704,0.000669333,9.8074e-05
119,1.2741e-05,0.000870074,0.00115644,0.000946371,0.000679407,9.7778e-05
120,1.2741e-05,0.000953037,0.0011597,0.000956,0.000668741,9.7185e-05
121,1.2592e-05,0.000893186,0.00115956,0.000957629,0.00066874,9.8075e-05
122,1.2593e-05,0.00086237,0.00116089,0.00095126,0.000670074,9.8667e-05
123,1.2445e-05,0.000882519,0.00115985,0.000951555,0.000669778,9.8666e-05
124,1.274e-05,0.000845926,0.00115985,0.000960445,0.000675259,9.7334e-05
125,1.4815e-05,0.000949185,0.00116089,0.000979259,0.000690519,9.9259e-05
126,1.2889e-05,0.000882814,0.00116355,0.000979408,0.000670963,9.8371e-05
127,1.4815e-05,0.00148118,0.00114711,0.00100933,0.000692444,9.8666e-05
128,1.2148e-05,0.000864444,0.00115037,0.00101007,0.00069126,9.9407e-05
129,1.2297e-05,0.000876444,0.00114637,0.00103067,0.000676593,9.9111e-05
130,1.2444e-05,0.000833926,0.00114756,0.00104533,0.000671408,9.9408e-05
131,1.2e-05,0.000861185,0.00114785,0.00105318,0.00066963,9.8223e-05
132,1.1852e-05,0.000870963,0.00114844,0.00106756,0.000677037,9.7185e-05
133,1.1852e-05,0.00120015,0.00114563,0.00107956,0.000705482,0.000100148
134,1.2e-05,0.00115096,0.00114874,0.00108193,0.000672741,9.7482e-05
135,1.1704e-05,0.000855407,0.00115333,0.00108948,0.000674222,9.9111e-05
136,1.1703e-05,0.000873037,0.00115111,0.00109422,0.00067837,9.8963e-05
137,1.2889e-05,0.000876,0.00115067,0.00109289,0.000678074,9.8371e-05
138,1.3185e-05,0.000868,0.00115081,0.00109674,0.000672296,9.7778e-05
139,1.1408e-05,0.000901037,0.00114844,0.00108741,0.000674223,9.6741e-05
140,1.1259e-05,0.000889629,0.00115452,0.00107896,0.000673334,9.8222e-05
141,1.1111e-05,0.000864,0.00114978,0.00108741,0.000682815,9.7186e-05
142,1.0963e-05,0.000873333,0.00115156,0.00107037,0.000675704,9.837e-05
143,1.0667e-05,0.000861333,0.00115259,0.00103719,0.000683407,9.8074e-05
144,1.0667e-05,0.000889037,0.00115363,0.000994518,0.000678963,9.7333e-05
145,1.0519e-05,0.000863408,0.00115274,0.000966666,0.000685037,9.8518e-05
146,1.0519e-05,0.000875111,0.00115378,0.000943408,0.000687852,9.763e-05
147,1.0518e-05,0.000867111,0.00115319,0.000906518,0.000681037,9.7185e-05
148,1.0667e-05,0.000880889,0.00115081,0.000885185,0.000680593,9.7037e-05
149,1.0222e-05,0.000871555,0.00115037,0.000865038,0.000687852,9.763e-05
150,1.0371e-05,0.000869037,0.00115304,0.000851111,0.000687555,9.9259e-05
151,9.925e-06,0.000871852,0.00115556,0.000842222,0.000691259,9.8963e-05
152,1.0074e-05,0.000874815,0.00115556,0.000843556,0.000683852,9.7482e-05
153,9.926e-06,0.00085363,0.00115155,0.000851111,0.000685333,9.8519e-05
154,9.778e-06,0.000865482,0.00115733,0.000843259,0.000685333,9.8815e-05
155,9.926e-06,0.000844593,0.0011523,0.000842518,0.00069437,9.7925e-05
156,9.481e-06,0.000905778,0.00115111,0.000854667,0.000689185,9.8075e-05
157,9.334e-06,0.000922222,0.00115155,0.000867556,0.000698222,9.8963e-05
158,9.037e-06,0.000923407,0.00115348,0.00088,0.000698963,9.9407e-05
159,8.592e-06,0.000879408,0.00114978,0.000930222,0.000699407,9.8074e-05
160,8.444e-06,0.000891852,0.0011517,0.000959555,0.000692593,9.7334e-05
161,8e-06,0.000981778,0.0011523,0.000995851,0.000698815,9.7481e-05
162,7.556e-06,0.000904,0.00115496,0.00101985,0.000697333,9.7777e-05
163,7.259e-06,0.000858667,0.001152,0.00104815,0.000687852,9.7185e-05
164,7.407e-06,0.000896444,0.00115615,0.00107956,0.000686371,9.6889e-05
165,6.963e-06,0.000876592,0.00115526,0.00111837,0.00068726,9.7926e-05
166,7.408e-06,0.000875259,0.00115778,0.00114252,0.000684445,9.8222e-05
167,7.556e-06,0.00148978,0.00115556,0.00117704,0.000681037,9.7926e-05
168,7.111e-06,0.00088563,0.00115363,0.00118741,0.000888296,9.7185e-05
169,7.259e-06,0.000864148,0.00115763,0.00122044,0.000687408,9.763e-05
170,7.408e-06,0.000862667,0.00115541,0.00123926,0.000682074,9.837e-05
171,7.26e-06,0.000886074,0.00115911,0.00126296,0.000680296,9.8074e-05
172,7.26e-06,0.000902963,0.00115526,0.00127007,0.000680296,9.7333e-05
173,7.407e-06,0.000843259,0.00115822,0.00128637,0.00068237,9.7482e-05
174,7.259e-06,0.00088,0.00115467,0.00130815,0.000688148,9.7185e-05
175,7.408e-06,0.000844296,0.00115452,0.00134563,0.000688148,9.8074e-05
176,7.407e-06,0.000872741,0.00115289,0.00138755,0.000686222,9.8371e-05
177,7.407e-06,0.000878815,0.00115437,0.00143126,0.000676,9.6889e-05
178,7.259e-06,0.000897482,0.00115585,0.00146726,0.00067274,9.763e-05
179,7.407e-06,0.000952296,0.00115496,0.00151985,0.00067126,9.8519e-05
180,7.407e-06,0.000872592,0.00115704,0.00157437,0.000674815,9.8518e-05
181,7.259e-06,0.000867111,0.00115674,0.00162474,0.000668297,0.000106519
182,7.111e-06,0.000859112,0.00115852,0.00168444,0.000669777,9.7185e-05
183,7.111e-06,0.000892593,0.00117037,0.00170874,0.000671852,9.8963e-05
184,7.259e-06,0.000875852,0.00118252,0.00171822,0.000671851,9.8074e-05
185,7.111e-06,0.000866222,0.00118459,0.00170148,0.000672889,9.9704e-05
186,7.407e-06,0.00089037,0.0011837,0.00166,0.000682519,9.6889e-05
187,7.259e-06,0.000887259,0.00118222,0.0016243,0.000675407,9.9704e-05
188,7.111e-06,0.000890074,0.001184,0.00149956,0.000672148,9.7481e-05
189,7.407e-06,0.000866963,0.00118311,0.00140193,0.000680297,9.7926e-05
190,7.259e-06,0.000898223,0.001184,0.00142859,0.000675111,9.7334e-05
191,7.556e-06,0.000879704,0.00118652,0.0014557,0.000681629,9.8815e-05
192,7.259e-06,0.000864148,0.0011883,0.00146844,0.000680148,9.8074e-05
193,7.259e-06,0.00086637,0.00119318,0.00150993,0.000675111,0.0001
194,7.111e-06,0.000922666,0.00119052,0.00152356,0.000674815,9.7482e-05
