frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.000101333,0.00182978,0.00145852,0.00118044,0.00489615,0.000724889
1,7.7926e-05,0.000920888,0.00146281,0.00119156,0.0024643,0.00071837
2,7.7629e-05,0.000855852,0.00146119,0.00121141,0.00226637,0.000715111
3,7.7186e-05,0.000926223,0.00146711,0.00124667,0.00227674,0.000718518
4,7.7482e-05,0.000899852,0.00147244,0.00128548,0.00227348,0.000718666
5,7.7186e-05,0.000834371,0.00147126,0.00129348,0.0022877,0.000717777
6,7.7186e-05,0.000924148,0.00147585,0.00128637,0.00227926,0.000712889
7,7.7629e-05,0.000932,0.00147304,0.00123763,0.00227718,0.000718371
8,7.7925e-05,0.00100756,0.0014683,0.0011597,0.00228074,0.000718815
9,0.000101333,0.00107852,0.00145674,0.00111155,0.00228237,0.000722815
10,7.8074e-05,0.000882222,0.00144844,0.00106519,0.00241822,0.000720445
11,7.8074e-05,0.000843259,0.00143215,0.00101956,0.002248,0.000718074
12,7.7778e-05,0.000861926,0.00143748,0.000997482,0.00224207,0.000717185
13,7.7038e-05,0.000926814,0.00142741,0.000988593,0.00222815,0.000718518
14,7.6592e-05,0.000871704,0.0014323,0.000977037,0.00222015,0.000718371
15,7.6445e-05,0.000875111,0.00143378,0.000977333,0.00221645,0.000718074
16,7.6296e-05,0.000935556,0.00143556,0.000990666,0.0022123,0.000714963
17,7.5407e-05,0.000945185,0.00143422,0.000993481,0.00220356,0.000716296
18,7.5259e-05,0.000882667,0.00143896,0.00101111,0.002216,0.000718815
19,9.5111e-05,0.000962074,0.00144459,0.00103467,0.00222163,0.000721037
20,7.4814e-05,0.00097037,0.00144978,0.00107274,0.00238237,0.000717778
21,7.4667e-05,0.000960741,0.0014517,0.00113259,0.00223807,0.000714963
22,7.4074e-05,0.00718593,0.00145644,0.00120356,0.0022517,0.000718074
23,7.363e-05,0.00087763,0.00146607,0.00129911,0.00244593,0.000709777
24,7.3481e-05,0.000957333,0.00146622,0.0013923,0.00227689,0.000720149
25,7.2741e-05,0.000803852,0.00147259,0.00148474,0.00227911,0.000720593
26,7.2889e-05,0.000910815,0.00148355,0.00159081,0.00228207,0.000718074
27,7.2148e-05,0.000887555,0.00148518,0.0016837,0.00228504,0.000714963
28,7.1852e-05,0.000885777,0.00148978,0.00178296,0.002288,0.000717037
29,8.7704e-05,0.000957777,0.00148637,0.00189215,0.002448,0.000713925
30,7.0666e-05,0.000897926,0.00149985,0.00196074,0.00231289,0.00071926
31,6.963e-05,0.000849482,0.00149659,0.00204178,0.00231126,0.000718074
32,6.7704e-05,0.000907407,0.00149689,0.00214474,0.00233481,0.000718074
33,6.5926e-05,0.000848741,0.00150015,0.0022483,0.00235881,0.00071763
34,6.3852e-05,0.000942963,0.00150267,0.00242237,0.00238696,0.00071837
35,6.3111e-05,0.000843703,0.0015,0.00253141,0.00241452,0.000717926
36,6.1481e-05,0.000838667,0.00150385,0.00257126,0.00243126,0.000719852
37,5.8815e-05,0.00102444,0.00150504,0.00267407,0.00245363,0.000718222
38,6.6371e-05,0.00109318,0.00151348,0.00273852,0.00246993,0.000719111
39,5.437e-05,0.000880889,0.00151259,0.00275126,0.00264533,0.000718074
40,5.2444e-05,0.000899259,0.00151141,0.00274326,0.00250993,0.000716445
41,5.1555e-05,0.000820296,0.00151363,0.00273348,0.00253215,0.000718963
42,5.1704e-05,0.000964148,0.00151259,0.00269333,0.00252193,0.000716
43,5.2444e-05,0.000920741,0.00150933,0.0026403,0.00250356,0.000715111
44,5.3037e-05,0.000970074,0.00150637,0.00262222,0.00243333,0.000718666
45,5.3185e-05,0.000923703,0.00149793,0.00252963,0.00240444,0.000719704
46,5.4963e-05,0.000809629,0.00149422,0.00242193,0.0023917,0.000717926
47,5.5851e-05,0.000882371,0.00148341,0.00231956,0.00238948,0.000712297
48,6.9037e-05,0.00100296,0.00147052,0.00225511,0.00233037,0.000713333
49,6.1185e-05,0.000917778,0.0014637,0.002196,0.00245393,0.000719852
50,6.5037e-05,0.000987704,0.00146296,0.00219111,0.00237881,0.000718222
51,6.726e-05,0.000896741,0.00145659,0.00216504,0.00238074,0.000712148
52,6.9185e-05,0.000890074,0.00146118,0.00216756,0.002388,0.00070963
53,7.0963e-05,0.000928889,0.00145704,0.00221067,0.00239496,0.00071926
54,7.2889e-05,0.00104044,0.00145082,0.00223837,0.0023677,0.000719555
55,7.4222e-05,0.000901334,0.00144578,0.00228015,0.00237763,0.000717926
56,7.4963e-05,0.000944592,0.00145244,0.00227748,0.002376,0.000719556
57,7.5112e-05,0.000912296,0.001448,0.00230622,0.00238222,0.000719111
58,9.5111e-05,0.000956889,0.00145496,0.00232711,0.0025317,0.000722963
59,7.526e-05,0.000924296,0.00145022,0.00237111,0.00238015,0.000718518
60,7.5555e-05,0.000907852,0.00145082,0.00239096,0.00239052,0.000719852
61,7.5259e-05,0.000949038,0.00144652,0.00246296,0.00239689,0.000718074
62,7.5852e-05,0.000894222,0.00145467,0.00249185,0.00240237,0.00072
63,7.5852e-05,0.000921481,0.00144504,0.002532,0.00239956,0.000716296
64,7.5555e-05,0.000908889,0.00145481,0.00254756,0.00241422,0.000718815
65,7.5408e-05,0.000852592,0.00145155,0.00262222,0.00241837,0.000719259
66,7.5259e-05,0.000904148,0.00145689,0.00266519,0.00243333,0.000715259
67,9.5852e-05,0.00112222,0.00145215,0.0026883,0.00243422,0.00072
68,7.5111e-05,0.000908,0.00146193,0.00274,0.00260148,0.000721185
69,7.4519e-05,0.000919111,0.00145778,0.00280119,0.00246459,0.000718815
70,7.4963e-05,0.000798371,0.00146311,0.00284385,0.00247215,0.000718222
71,7.4371e-05,0.000974963,0.00145911,0.00287007,0.00247541,0.000721777
72,7.4223e-05,0.000889778,0.00146518,0.00290207,0.00249155,0.000718666
73,7.363e-05,0.00082637,0.00146815,0.0029563,0.00250474,0.000716148
74,7.2889e-05,0.000874223,0.00147126,0.00300933,0.0025243,0.000718519
75,7.3185e-05,0.000811703,0.0014643,0.00304844,0.00254059,0.000718519
76,7.2148e-05,0.000906814,0.00147333,0.00310711,0.00254326,0.000719111
77,8.9778e-05,0.00104281,0.00147481,0.00312059,0.002556,0.000721185
78,6.8889e-05,0.000927852,0.00148074,0.00312504,0.00270267,0.000720444
79,6.9778e-05,0.000847852,0.00147704,0.00320178,0.00258459,0.000712445
80,7.2741e-05,0.000872444,0.00148178,0.00321067,0.00262563,0.000717037
81,7.3926e-05,0.000873926,0.00147644,0.00329319,0.00262696,0.000719407
82,7.4371e-05,0.000861778,0.00147052,0.00330518,0.00263052,0.000717778
83,7.4222e-05,0.000873333,0.00146652,0.00335541,0.00264726,0.000714371
84,7.3482e-05,0.000836592,0.00147452,0.00340978,0.00269985,0.000712592
85,7.1703e-05,0.000912,0.00146844,0.0034763,0.00273482,0.000714371
86,7.2148e-05,0.000867852,0.00147244,0.00348237,0.0027763,0.000717334
87,9.1259e-05,0.000979111,0.00146652,0.00349955,0.00295496,0.000722667
88,7.6e-05,0.000832296,0.00146918,0.00343644,0.0028443,0.000719407
89,2.5037e-05,0.000908889,0.00144726,0.00302578,0.00292459,0.000717037
90,2.5333e-05,0.000848889,0.001456,0.00319881,0.00280089,0.000710963
91,7.3334e-05,0.00103511,0.00144311,0.00359318,0.00254563,0.00072
92,6.7703e-05,0.000978667,0.00144163,0.00366785,0.002372,0.000716148
93,7.0074e-05,0.000905185,0.00143304,0.00363141,0.00232415,0.000718075
94,7.0223e-05,0.000929481,0.00143793,0.00365911,0.0023283,0.000710222
95,7.0222e-05,0.000867704,0.00143067,0.00369526,0.00232163,0.000712148
96,8.963e-05,0.000960592,0.00144148,0.00374548,0.00231689,0.000720889
97,7.3185e-05,0.000989186,0.00143185,0.00379526,0.00246519,0.000720444
98,7.3926e-05,0.000920592,0.00143215,0.00382385,0.00231807,0.000717037
99,7.3482e-05,0.000884148,0.00142815,0.00380815,0.00231156,0.000718666
100,7.4075e-05,0.0075603,0.00142889,0.00384459,0.00230756,0.000719407
101,7.363e-05,0.000965778,0.00142993,0.00383289,0.00250578,0.000716296
102,7.3185e-05,0.000986666,0.00143378,0.00381052,0.00230785,0.000718815
103,7.2889e-05,0.000952888,0.00143733,0.00386963,0.00229985,0.000718667
104,7.2889e-05,0.000927852,0.00143585,0.00388593,0.002308,0.000712444
105,7.2445e-05,0.000844741,0.00143363,0.003844,0.00230578,0.000717629
106,9.0963e-05,0.000933185,0.00144859,0.00388918,0.00230741,0.000722518
107,7.1703e-05,0.000923852,0.00144326,0.00389941,0.00245881,0.000721926
108,7.3629e-05,0.000916741,0.0014443,0.00393659,0.00231793,0.000717037
109,7.0667e-05,0.000877333,0.00144089,0.00398193,0.00231644,0.000719407
110,6.9926e-05,0.000999704,0.00144252,0.00400578,0.00231437,0.000714963
111,6.9037e-05,0.000931259,0.00143896,0.00406978,0.00231496,0.000720592
112,6.9629e-05,0.000984148,0.00144207,0.00411437,0.00230578,0.00071763
113,6.9037e-05,0.000847852,0.00143452,0.00417911,0.0023043,0.000717482
114,6.8889e-05,0.000885333,0.00143689,0.0042403,0.00229304,0.000717185
115,6.8741e-05,0.000915407,0.00143822,0.00430059,0.00229244,0.000716592
116,8.5778e-05,0.000988297,0.00144474,0.00439096,0.00245659,0.000722667
117,6.8296e-05,0.00101141,0.00143348,0.00443704,0.0023197,0.000719704
118,6.8444e-05,0.000824889,0.00143674,0.0044797,0.00231096,0.000712593
119,6.8e-05,0.00101541,0.001432,0.00455704,0.00225393,0.000718963
120,6.8e-05,0.000833926,0.00142918,0.00463481,0.00220593,0.000718519
121,6.8e-05,0.000896148,0.00142104,0.00470341,0.00216652,0.000718667
122,6.8e-05,0.000946667,0.00141541,0.00477807,0.00212059,0.000717926
123,6.7852e-05,0.000887703,0.00141126,0.0048403,0.00211719,0.000713629
124,6.8e-05,0.000825926,0.00141452,0.00489822,0.00212237,0.000717629
125,8.3852e-05,0.00102178,0.00141244,0.00503704,0.00212548,0.000722222
126,6.7259e-05,0.00086237,0.00142133,0.00508444,0.00228074,0.000719556
127,8.2222e-05,0.00166341,0.00138163,0.00521244,0.00228741,0.000720889
128,6.6815e-05,0.000972,0.00139126,0.00525896,0.00229511,0.000718815
129,6.6074e-05,0.00087037,0.00138622,0.00528889,0.00214474,0.000716741
130,6.5778e-05,0.000927407,0.00139481,0.00540074,0.00215837,0.000718963
131,6.5482e-05,0.000916296,0.00139259,0.00547037,0.00215896,0.000715555
132,6.5185e-05,0.000863704,0.00139615,0.00555763,0.00217393,0.000719111
133,6.4741e-05,0.000887852,0.00139378,0.00567511,0.00218148,0.000717482
134,6.4e-05,0.000936889,0.00139807,0.00579126,0.00219111,0.000718815
135,6.4148e-05,0.000828,0.00139852,0.00593956,0.00220652,0.000710815
136,6.4e-05,0.000904148,0.00140637,0.00610281,0.00220815,0.000719111
137,6.3555e-05,0.00091437,0.00140593,0.00619067,0.0022163,0.000718371
138,6.2963e-05,0.000937333,0.00141348,0.00633081,0.00221304,0.000719111
139,6.2815e-05,0.000910223,0.00141496,0.00641763,0.00221541,0.000717926
140,6.237e-05,0.000920296,0.00142296,0.00656222,0.00221615,0.000709778
141,6.1926e-05,0.000827259,0.00141674,0.0067237,0.00221081,0.000710666
142,6.163e-05,0.000907704,0.00142711,0.00691096,0.00220444,0.000710815
143,6.1038e-05,0.000821926,0.00142133,0.00708578,0.00220518,0.000718814
144,5.9852e-05,0.000866815,0.0014117,0.00723659,0.00219141,0.000711111
145,5.8963e-05,0.000985925,0.0014117,0.00739659,0.00218326,0.00071837
146,5.7185e-05,0.000929185,0.00140637,0.0075157,0.00217911,0.000718667
147,5.5852e-05,0.000856,0.00140533,0.00747274,0.00218118,0.000717333
148,5.4074e-05,0.000880741,0.00139422,0.00745659,0.00218015,0.000715259
