frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,2.3704e-05,0.000165482,0.000696741,0.00404341,0.000611259,0.00720607,0.000101481
1,2.2518e-05,0.000158075,0.000693925,0.00122578,0.000298667,0.00687052,0.000100445
2,2.3111e-05,0.000159259,0.000675852,0.000687407,0.000300148,0.00693067,9.9259e-05
3,2.3704e-05,0.000158963,0.000691408,0.000710815,0.000312741,0.00686341,0.0001
4,2.2666e-05,0.000158223,0.000699703,0.000691111,0.00030163,0.00667556,9.9704e-05
5,2.2666e-05,0.000157481,0.000692296,0.000696593,0.000286519,0.0064477,9.9408e-05
6,2.4e-05,0.000158963,0.000682074,0.000715852,0.00030563,0.00679985,0.000100741
7,2.2518e-05,0.000158518,0.000704148,0.000697037,0.000288889,0.00705941,0.000101482
8,2.326e-05,0.000158074,0.000694814,0.000693482,0.000284444,0.00717852,9.9703e-05
9,2.3851e-05,0.000158814,0.000697334,0.000717778,0.000310371,0.00719452,0.000101481
10,2.237e-05,0.000158963,0.000700297,0.000699111,0.000301482,0.00718978,0.000101186
11,2.2074e-05,0.000158371,0.000653185,0.00069674,0.000333037,0.00711126,0.000101186
12,2.3407e-05,0.000159407,0.000700889,0.00071763,0.000351259,0.00712459,0.000101482
13,2.2518e-05,0.000158815,0.000700444,0.000699852,0.00027763,0.00708178,9.9704e-05
14,2.2518e-05,0.00015763,0.000696889,0.000697333,0.000307408,0.00717244,9.9556e-05
15,2.3852e-05,0.000159111,0.000699111,0.000714815,0.000321778,0.0073843,0.000100592
16,2.2519e-05,0.000158371,0.000699852,0.000704148,0.000355703,0.007508,9.9852e-05
17,2.2963e-05,0.000158519,0.000694222,0.000693926,0.000292148,0.00776193,9.9259e-05
18,2.3852e-05,0.000158519,0.000694518,0.000725185,0.000323111,0.00765378,0.000100296
19,2.2519e-05,0.000157778,0.000688148,0.000702074,0.000305481,0.00780015,0.000101185
20,2.2667e-05,0.000157333,0.000696,0.000708741,0.000296,0.00812844,9.8815e-05
21,2.4444e-05,0.000159111,0.000689185,0.000732889,0.000324593,0.00831511,0.000102222
22,2.2815e-05,0.000158666,0.000691556,0.000708149,0.000299851,0.0085437,0.000100741
23,2.237e-05,0.000157334,0.000695407,0.000716148,0.000300445,0.0088763,9.9556e-05
24,2.4e-05,0.000159111,0.000697038,0.000732,0.000383852,0.00951733,0.000100148
25,2.2667e-05,0.00015763,0.000698815,0.000715111,0.000284889,0.00961437,0.000101333
26,2.2222e-05,0.000157481,0.000694074,0.000713333,0.00030163,0.0100776,0.000101481
27,2.4445e-05,0.000158519,0.000698666,0.000737629,0.000338518,0.0102693,0.000102074
28,2.2815e-05,0.000157333,0.000697334,0.000721481,0.000286222,0.00991007,0.000101037
29,2.2814e-05,0.000157334,0.000694963,0.000727851,0.000299111,0.00946681,9.9703e-05
30,2.4296e-05,0.000159852,0.00069837,0.000742667,0.000387556,0.00948178,0.000100741
31,2.3852e-05,0.000157926,0.000693333,0.000724444,0.000323704,0.00964785,0.000100889
32,2.2963e-05,0.000158371,0.000686814,0.000721481,0.000300148,0.00974622,0.000101778
33,2.4e-05,0.000158667,0.000699407,0.000743704,0.000335555,0.00977467,0.000100445
34,2.3555e-05,0.00015763,0.000694519,0.000724592,0.000290667,0.00979541,9.9556e-05
35,2.3704e-05,0.000156592,0.000692445,0.000723112,0.000299407,0.00998118,0.00010163
36,2.4445e-05,0.000158222,0.000697037,0.000749778,0.000335407,0.0100218,0.000100592
37,2.3556e-05,0.000157778,0.000686519,0.000732148,0.000377333,0.00986044,9.9407e-05
38,2.3555e-05,0.000157778,0.000684592,0.000735556,0.00113052,0.0100191,0.000100148
