frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,2.4148e-05,0.000134223,0.00070074,0.00458741,0.000995407,0.00725333,0.000101037
1,2.2963e-05,0.000126222,0.000698371,0.00157659,0.000365185,0.0069317,0.000101037
2,2.2667e-05,0.00012637,0.000697926,0.000697186,0.000299852,0.00698533,0.00010074
3,2.4148e-05,0.000126518,0.000675111,0.000710815,0.000416593,0.00691718,0.000102519
4,2.237e-05,0.000127407,0.000693185,0.000692889,0.00032326,0.00669585,0.000101333
5,2.2371e-05,0.000125482,0.000676593,0.00118015,0.000403111,0.00648785,0.000100148
6,2.3555e-05,0.000127852,0.000696,0.000716445,0.000315259,0.00681081,0.000101778
7,2.2074e-05,0.000126963,0.000695111,0.000695852,0.000316741,0.00703852,9.9259e-05
8,2.2815e-05,0.000125926,0.000673185,0.000701186,0.000300296,0.00720489,9.9704e-05
9,2.4e-05,0.000127852,0.00070163,0.000717777,0.000362815,0.00720563,0.00010163
10,2.2222e-05,0.000126815,0.000694519,0.00070637,0.000291704,0.00719244,9.9407e-05
11,2.2223e-05,0.000125481,0.000693037,0.000695408,0.000294074,0.00715689,0.000100592
12,2.4e-05,0.000127851,0.000697037,0.000719852,0.000329185,0.00714756,0.000100741
13,2.237e-05,0.000126815,0.000691408,0.000698074,0.000309037,0.00708607,9.9704e-05
14,2.2666e-05,0.000126222,0.000688148,0.000699407,0.000317926,0.0071723,0.000101926
15,2.3703e-05,0.000127111,0.000696741,0.00072,0.000356445,0.00739141,0.000100593
16,2.2519e-05,0.000126075,0.000684888,0.000698962,0.000325333,0.00753941,9.9407e-05
17,2.237e-05,0.000125481,0.000685926,0.000694815,0.000299556,0.00777689,0.000100593
18,2.4444e-05,0.000126075,0.000686518,0.000717481,0.000356741,0.00766311,0.000100445
19,2.2667e-05,0.000127259,0.000691556,0.000708444,0.000281037,0.00780815,9.9407e-05
20,2.2667e-05,0.000125333,0.000697778,0.000700593,0.000298222,0.00817482,0.000100889
21,2.4e-05,0.000126519,0.000699111,0.000725778,0.000350963,0.00835541,0.000101926
22,2.2519e-05,0.000126371,0.000694963,0.000716889,0.000299555,0.00861704,0.000101333
23,2.2223e-05,0.00012563,0.000666222,0.000717037,0.000300148,0.00898681,9.9259e-05
24,2.3556e-05,0.000126222,0.000700296,0.000740741,0.000455407,0.00958474,0.000100444
25,2.2667e-05,0.000126222,0.000701778,0.000716297,0.000290222,0.00994326,0.000100148
26,2.2815e-05,0.000126223,0.000698666,0.00071437,0.000321482,0.0102001,0.000100592
27,2.4889e-05,0.000127259,0.000693482,0.000739259,0.000323259,0.0106099,0.00010163
28,2.2667e-05,0.000125926,0.000695259,0.000728148,0.000275259,0.0102523,0.000100148
29,2.2963e-05,0.00012563,0.000701481,0.000719704,0.000386815,0.00950993,9.8963e-05
30,2.9926e-05,0.000126814,0.000698667,0.000742223,0.000304296,0.00954015,0.000102815
31,2.2667e-05,0.000126963,0.000689333,0.00149437,0.000585777,0.00969274,0.000100889
32,2.2962e-05,0.000126074,0.00069274,0.000721926,0.000512741,0.00978237,9.8963e-05
33,2.4e-05,0.000126667,0.000700889,0.000743407,0.000368296,0.00979096,0.000102667
34,2.2815e-05,0.000126074,0.000699851,0.000725334,0.000307111,0.00984622,9.9407e-05
35,2.3111e-05,0.000125481,0.000694667,0.000723111,0.000314667,0.0100601,0.000100296
36,2.4889e-05,0.000126518,0.000700741,0.000757482,0.000335259,0.0100812,0.000100889
37,2.2963e-05,0.00012637,0.000696,0.000732,0.00115807,0.00990918,0.000101482
38,2.2963e-05,0.000125481,0.000691704,0.0012443,0.00036326,0.0100542,0.000101037
39,2.4888e-05,0.000126519,0.000697185,0.000753481,0.00036726,0.0101375,9.9852e-05
40,2.3556e-05,0.000126815,0.000699259,0.000740741,0.000315704,0.0100963,9.9852e-05
41,2.4e-05,0.000124889,0.000683704,0.000727259,0.000439852,0.00988889,0.000100741
42,2.4148e-05,0.000127259,0.00069837,0.000752,0.000544148,0.0109034,0.000100889
43,2.4148e-05,0.000126666,0.000692297,0.000850815,0.000478667,0.00964978,0.000100148
44,2.4e-05,0.000125778,0.000693185,0.000718814,0.000385778,0.00978059,9.8814e-05
45,2.4444e-05,0.000126667,0.000684444,0.000715407,0.000367704,0.00990874,9.9852e-05
46,2.5037e-05,0.000126371,0.000695703,0.000742815,0.000355407,0.0101003,0.000101037
47,2.3556e-05,0.000126074,0.0007,0.000713333,0.000325333,0.0100356,0.000101037
48,2.3704e-05,0.00012637,0.000677334,0.000721185,0.000301778,0.00987259,9.9852e-05
49,2.3408e-05,0.00012563,0.000676593,0.000727407,0.000267407,0.00986711,0.000100296
50,2.4445e-05,0.000126815,0.000702815,0.000749185,0.000340444,0.00985289,0.000100741
51,2.2815e-05,0.000126667,0.000697926,0.000722074,0.000278222,0.00978711,0.000100741
52,2.326e-05,0.000125926,0.000693185,0.000714963,0.000286666,0.00972785,0.000100148
53,2.2814e-05,0.000125777,0.000690074,0.000715112,0.000293186,0.00968696,0.000100148
54,2.4593e-05,0.000126518,0.000692,0.000748889,0.000330815,0.00962578,0.000103407
55,2.2814e-05,0.000126518,0.000693482,0.000726075,0.000371408,0.00965259,0.000100297
56,2.237e-05,0.000126371,0.000697629,0.000719407,0.000295556,0.00957704,9.9408e-05
57,2.237e-05,0.00012563,0.000698222,0.000711408,0.000339259,0.009612,9.926e-05
58,2.4e-05,0.00012637,0.00069837,0.00073363,0.000339408,0.00960578,0.000101777
59,2.3112e-05,0.000126815,0.000681185,0.000712444,0.000357777,0.00952148,0.000101037
60,2.1778e-05,0.000126074,0.000694519,0.000711852,0.000299111,0.00947155,0.000101482
61,2.2074e-05,0.000126222,0.000689334,0.000708148,0.000315852,0.00944252,0.000100296
62,2.4e-05,0.00012637,0.000697333,0.000731556,0.000364296,0.00946741,0.0001
63,2.3556e-05,0.00012474,0.000695852,0.000714074,0.000359851,0.00947733,0.000100445
