frame,blit,drawSides,gBuffer,shading
0,7.872e-05,0.0191637,0.00593728,0.0004408
1,5.888e-05,0.0120936,0.00179248,0.0004088
2,5.648e-05,0.0112139,0.001684,0.00040304
3,5.488e-05,0.0107002,0.00166496,0.0004
4,5.2e-05,0.010221,0.0016456,0.0004048
5,5.248e-05,0.0102184,0.00163248,0.00040256
6,5.2e-05,0.0102197,0.00163504,0.00040352
7,5.248e-05,0.0102192,0.0016152,0.0004016
8,5.264e-05,0.0102195,0.00161968,0.00040144
9,5.216e-05,0.0102198,0.00162128,0.00040528
10,5.264e-05,0.0102192,0.00160896,0.00040016
11,5.248e-05,0.0102178,0.00157456,0.0004032
12,5.248e-05,0.0102181,0.00160224,0.00040288
13,5.264e-05,0.0102216,0.00160016,0.00039808
14,5.264e-05,0.0102202,0.00161856,0.0004
15,5.28e-05,0.0102232,0.00160336,0.0003992
16,5.248e-05,0.0102194,0.00160432,0.00040336
17,5.232e-05,0.0102214,0.0015968,0.00040128
18,5.232e-05,0.0102206,0.0016288,0.00040176
19,5.216e-05,0.0102227,0.00161824,0.00040016
20,5.216e-05,0.0102214,0.00163648,0.00039824
21,5.232e-05,0.010219,0.001632,0.00040224
22,5.184e-05,0.0102238,0.00163344,0.0004
23,5.168e-05,0.0102208,0.00164224,0.00040352
24,5.12e-05,0.0102221,0.00164448,0.00040048
25,5.072e-05,0.0102208,0.0016608,0.00040352
26,5.072e-05,0.0102206,0.00165328,0.000388
27,5.056e-05,0.0102224,0.00165696,0.0004008
28,5.024e-05,0.0102222,0.00163648,0.00040208
29,5.008e-05,0.0102222,0.0016656,0.00040144
30,4.96e-05,0.0102246,0.0016832,0.00040336
31,4.928e-05,0.0102224,0.00169344,0.00040192
32,4.896e-05,0.010221,0.0016888,0.0004
33,4.864e-05,0.0102238,0.00170128,0.00040688
34,4.864e-05,0.0102251,0.00168096,0.00040448
35,4.8e-05,0.0102246,0.00172384,0.00040224
36,4.752e-05,0.0102275,0.00173808,0.00040064
37,4.736e-05,0.0102262,0.00174656,0.00040368
38,4.688e-05,0.0102277,0.00176336,0.0004072
39,4.672e-05,0.0102283,0.00177664,0.00040704
40,4.656e-05,0.0102267,0.0017968,0.00040944
41,4.608e-05,0.0102304,0.00179968,0.00040752
42,4.56e-05,0.0102309,0.00179904,0.00040496
43,4.592e-05,0.0102317,0.00176992,0.00040304
44,4.752e-05,0.0102334,0.00171216,0.00040384
45,4.752e-05,0.0102342,0.00165872,0.0004056
46,4.688e-05,0.010236,0.00166736,0.00040432
47,4.672e-05,0.0102365,0.00167232,0.00040272
48,4.56e-05,0.010236,0.00161872,0.00040752
49,4.624e-05,0.0102379,0.0015872,0.0004064
