frame,blit,drawSides,gBuffer,shading
0,7.872e-05,0.0229517,0.0062808,0.0004448
1,5.936e-05,0.0148338,0.00173024,0.00040832
2,5.488e-05,0.0137074,0.00163152,0.00040448
3,5.248e-05,0.0129739,0.00162704,0.00040736
4,5.232e-05,0.0128317,0.00163936,0.00040688
5,5.216e-05,0.0128347,0.00163024,0.0004072
6,5.232e-05,0.0128318,0.00161904,0.00040176
7,5.28e-05,0.0128307,0.00162144,0.0004048
8,5.296e-05,0.0128325,0.0016016,0.0004056
9,5.264e-05,0.012831,0.00163152,0.0004048
10,5.248e-05,0.0128322,0.00160832,0.00040688
11,5.264e-05,0.0128334,0.0016184,0.0004048
12,5.264e-05,0.0128328,0.00160432,0.00040368
13,5.264e-05,0.0128328,0.00161904,0.00040688
14,5.264e-05,0.0128344,0.0016184,0.00040352
15,5.28e-05,0.0128346,0.0016248,0.00040256
16,5.248e-05,0.0128299,0.00162272,0.0004056
17,5.264e-05,0.0128331,0.00162912,0.00040672
18,5.248e-05,0.0128331,0.00163696,0.00040384
19,5.232e-05,0.0128336,0.00164416,0.00040816
20,5.216e-05,0.0128312,0.0016464,0.00040704
21,5.216e-05,0.0128333,0.0016472,0.00040704
22,5.2e-05,0.0128315,0.0016584,0.00040096
23,5.168e-05,0.0128339,0.00166032,0.00040592
24,5.136e-05,0.0128323,0.00165888,0.00040416
25,5.104e-05,0.0128338,0.00166816,0.00040432
26,5.056e-05,0.0128339,0.00166864,0.00040688
27,5.056e-05,0.0128357,0.00166816,0.00040688
28,5.008e-05,0.012835,0.00167552,0.0004088
29,4.992e-05,0.0128352,0.00168528,0.0004104
30,4.96e-05,0.0128346,0.00170288,0.00040944
31,4.96e-05,0.0128355,0.0017048,0.00040528
32,4.928e-05,0.0128374,0.0017112,0.00040784
33,4.88e-05,0.0128365,0.00172256,0.00040752
34,4.832e-05,0.0128355,0.0017272,0.00041248
35,4.816e-05,0.012836,0.00173984,0.00040608
36,4.768e-05,0.0128376,0.0017472,0.00040928
37,4.752e-05,0.0128368,0.00176896,0.0004096
38,4.688e-05,0.0128394,0.00178064,0.000412
39,4.688e-05,0.0128368,0.00179168,0.00041152
40,4.656e-05,0.0128368,0.00180672,0.00041008
