frame,blit,drawSides,gBuffer,shading
0,6.784e-05,0.0169906,0.00605648,0.00041312
1,5.712e-05,0.0145818,0.00169504,0.00040176
2,5.264e-05,0.013777,0.0016504,0.00040448
3,5.264e-05,0.0131152,0.00161696,0.0004016
4,5.248e-05,0.0131136,0.0016336,0.0004
5,5.248e-05,0.0131155,0.00163392,0.0004008
6,5.264e-05,0.0131139,0.0016296,0.00040752
7,5.296e-05,0.013115,0.00162256,0.0004008
8,5.28e-05,0.013115,0.00161808,0.00040384
9,5.28e-05,0.0131126,0.00161968,0.00040176
10,5.248e-05,0.0131138,0.0016176,0.00040144
11,5.328e-05,0.0131136,0.00160384,0.00039984
12,5.264e-05,0.013113,0.00160336,0.00039936
13,5.296e-05,0.0131134,0.00159792,0.00040288
14,5.248e-05,0.0131139,0.00161024,0.00040176
15,5.248e-05,0.013113,0.00160096,0.00040112
16,5.264e-05,0.0131128,0.00161072,0.00040384
17,5.248e-05,0.0131133,0.001616,0.00040144
18,5.248e-05,0.0131152,0.00162784,0.00040672
19,5.232e-05,0.0131154,0.00162464,0.00040608
20,5.232e-05,0.0131131,0.0016448,0.00040272
21,5.232e-05,0.0131133,0.00163584,0.00040256
22,5.2e-05,0.0131147,0.00164192,0.000404
23,5.168e-05,0.013115,0.00164592,0.00040256
24,5.12e-05,0.0131134,0.00164528,0.0004048
25,5.072e-05,0.0131162,0.001648,0.00040208
26,5.072e-05,0.0131163,0.00165024,0.00040368
27,5.056e-05,0.0131178,0.00165648,0.00040304
28,5.024e-05,0.0131155,0.00165856,0.00040224
29,5.008e-05,0.0131179,0.00167088,0.00040176
30,4.976e-05,0.013117,0.00168256,0.00040272
31,4.944e-05,0.0131186,0.00168816,0.00040752
32,4.928e-05,0.0131174,0.00169696,0.0004056
33,4.88e-05,0.0131181,0.00169952,0.00040624
34,4.832e-05,0.0131187,0.00170944,0.00040576
35,4.848e-05,0.0131178,0.00172064,0.00040304
36,4.784e-05,0.0131187,0.00173392,0.00040816
37,4.704e-05,0.0131208,0.00174992,0.00040352
38,4.704e-05,0.0131202,0.00176528,0.00041024
39,4.672e-05,0.0131198,0.00177664,0.000404
40,4.688e-05,0.0131198,0.0017968,0.00040336
41,4.624e-05,0.0131211,0.00180896,0.0004088
42,4.56e-05,0.0131219,0.00179616,0.00040832
43,4.64e-05,0.013125,0.00177392,0.000404
44,4.752e-05,0.0131218,0.00171456,0.00040624
45,4.752e-05,0.0131235,0.0016848,0.00040656
46,4.704e-05,0.013124,0.00166224,0.00040592
47,4.672e-05,0.0131234,0.00167344,0.00040768
48,4.592e-05,0.0131234,0.00161808,0.00040736
49,4.64e-05,0.0131245,0.00159072,0.00040512
50,4.912e-05,0.0131251,0.0016472,0.00040528
51,4.896e-05,0.0131246,0.00166432,0.00040144
52,4.896e-05,0.0131234,0.0016624,0.00040576
53,4.88e-05,0.0131256,0.0016696,0.0004048
54,4.88e-05,0.0131258,0.00164912,0.00040496
55,4.896e-05,0.0131283,0.00165648,0.00040256
