frame,blit,drawSides,gBuffer,shading
0,6.688e-05,0.0167078,0.00774368,0.00041104
1,5.68e-05,0.0144106,0.00166448,0.00040144
2,5.232e-05,0.0136272,0.00164544,0.00040512
3,5.248e-05,0.0130323,0.00160864,0.00040032
4,5.232e-05,0.0130334,0.00162912,0.00040352
5,5.264e-05,0.0130334,0.00163152,0.00039936
6,5.264e-05,0.013033,0.00162592,0.00040384
7,5.28e-05,0.013035,0.00161312,0.00039904
8,5.248e-05,0.0130346,0.0016064,0.00040304
9,5.248e-05,0.0130341,0.00160992,0.0004
10,5.248e-05,0.0130347,0.00161088,0.00039984
11,5.264e-05,0.0130312,0.00159776,0.00040048
12,5.264e-05,0.0130334,0.001608,0.00040432
13,5.28e-05,0.0130357,0.0015992,0.0004008
14,5.28e-05,0.0130346,0.00160064,0.000404
15,5.296e-05,0.0130349,0.00159344,0.00040192
16,5.28e-05,0.0130336,0.0016048,0.00040352
17,5.232e-05,0.0130333,0.00161152,0.000404
18,5.248e-05,0.0130339,0.001616,0.0004032
19,5.216e-05,0.0130318,0.00162512,0.00039968
20,5.2e-05,0.0130328,0.00162832,0.00040176
21,5.248e-05,0.0130323,0.00163328,0.00040096
22,5.216e-05,0.0130344,0.00163504,0.00040592
23,5.168e-05,0.0130342,0.00163664,0.00040096
24,5.136e-05,0.0130341,0.00163888,0.00040448
25,5.104e-05,0.0130323,0.00164768,0.00040336
26,5.072e-05,0.0130339,0.00164672,0.00040592
27,5.056e-05,0.013032,0.00165248,0.0004016
28,4.992e-05,0.0130336,0.00165808,0.00040224
29,4.992e-05,0.0130371,0.00166928,0.00040288
30,4.96e-05,0.0130331,0.00167824,0.0004024
31,4.944e-05,0.0130352,0.00168976,0.00040624
32,4.896e-05,0.0130378,0.00169392,0.00039728
33,4.864e-05,0.0130352,0.00169968,0.00040688
34,4.832e-05,0.0130376,0.0017064,0.0003968
35,4.816e-05,0.0130374,0.00172288,0.00040624
36,4.768e-05,0.0130394,0.0017312,0.00039712
37,4.736e-05,0.013036,0.00174208,0.00040688
38,4.688e-05,0.0130382,0.0017616,0.00040016
39,4.688e-05,0.0130384,0.0017768,0.00040496
40,4.656e-05,0.0130374,0.00179216,0.00040976
41,4.624e-05,0.0130397,0.00180032,0.00040624
42,4.544e-05,0.01304,0.0017952,0.00040592
43,4.64e-05,0.0130382,0.00177056,0.00040448
44,4.736e-05,0.0130413,0.0017048,0.00040608
45,4.752e-05,0.0130424,0.00167744,0.00040336
46,4.704e-05,0.0130427,0.00165712,0.00040576
47,4.688e-05,0.0130408,0.0016656,0.00040624
48,4.56e-05,0.0130427,0.00161392,0.00039952
49,4.64e-05,0.0130427,0.00158336,0.00040608
50,4.88e-05,0.0130434,0.00164704,0.00039344
51,4.88e-05,0.0130418,0.00165632,0.00040544
52,4.864e-05,0.0130413,0.0016544,0.00038704
53,4.88e-05,0.0130411,0.00166192,0.00040544
54,4.912e-05,0.0130427,0.0016456,0.00039456
55,4.912e-05,0.0130446,0.0016536,0.0004024
56,4.912e-05,0.0130453,0.00165392,0.00039744
57,4.912e-05,0.0130475,0.0016576,0.00040272
58,4.896e-05,0.0130454,0.00165312,0.00040016
59,4.864e-05,0.0130472,0.00165424,0.00039184
60,4.896e-05,0.0130469,0.00166496,0.00040384
61,4.864e-05,0.0130486,0.00166464,0.00038864
62,4.864e-05,0.0130509,0.00167136,0.00040784
63,4.848e-05,0.0130528,0.00167456,0.00038736
64,4.896e-05,0.0130547,0.0016784,0.00040368
65,4.848e-05,0.0130624,0.0016872,0.0004024
66,4.912e-05,0.0130608,0.00169552,0.00040768
67,4.848e-05,0.013065,0.00170544,0.00040592
68,4.848e-05,0.0130685,0.00171008,0.000404
69,4.832e-05,0.0130701,0.00171856,0.00040208
70,4.864e-05,0.0130694,0.00172592,0.00040544
71,4.784e-05,0.0130742,0.00173744,0.00038832
72,4.768e-05,0.0130762,0.00175456,0.0004032
73,4.72e-05,0.0130725,0.00175424,0.00039056
74,4.704e-05,0.0130752,0.0017688,0.00040608
75,4.704e-05,0.0130747,0.00177536,0.00040368
76,4.624e-05,0.0130797,0.00178272,0.00040496
77,4.512e-05,0.0130765,0.00178336,0.0003984
78,4.432e-05,0.0130758,0.00178352,0.00040672
79,4.464e-05,0.0130747,0.0018056,0.00040352
80,4.64e-05,0.013073,0.00183312,0.00040656
81,4.704e-05,0.0130774,0.00182208,0.00040624
82,4.752e-05,0.0130774,0.001824,0.00039072
83,4.752e-05,0.0130824,0.0018416,0.00040448
84,4.704e-05,0.013085,0.00190064,0.00039808
85,4.592e-05,0.0130874,0.00191856,0.00040352
86,4.624e-05,0.0130867,0.00194416,0.00040544
87,4.688e-05,0.0130941,0.00194608,0.00040416
88,4.864e-05,0.013091,0.00199344,0.00040752
89,5.232e-05,0.0130718,0.0020472,0.00040112
90,4.992e-05,0.0130776,0.00196192,0.00040288
91,4.704e-05,0.0131202,0.0017672,0.00040656
92,4.368e-05,0.0131266,0.00163728,0.00041104
93,4.512e-05,0.0131358,0.00158304,0.00040608
94,4.496e-05,0.0131397,0.00158352,0.0004088
95,4.464e-05,0.0131491,0.00158304,0.00040416
96,4.512e-05,0.0131587,0.0015848,0.00040864
97,4.688e-05,0.0131654,0.001572,0.00040528
98,4.704e-05,0.0131683,0.00158272,0.00040512
99,4.704e-05,0.0131758,0.00158368,0.00040352
100,4.672e-05,0.0131787,0.00158064,0.00040576
101,4.736e-05,0.0131902,0.00156928,0.00040544
102,4.688e-05,0.0131858,0.0015808,0.00040864
103,4.656e-05,0.0131957,0.00157696,0.00040624
104,4.672e-05,0.0131907,0.00157312,0.00040416
105,4.64e-05,0.0131986,0.00157776,0.00040464
106,4.656e-05,0.0131906,0.00157488,0.00040608
107,4.576e-05,0.0131784,0.00158304,0.00040432
108,4.576e-05,0.0131766,0.00158544,0.0004088
109,4.512e-05,0.0131814,0.00159008,0.00040384
110,4.496e-05,0.0131682,0.0015856,0.0004104
111,4.448e-05,0.0131712,0.00158816,0.00040736
112,4.464e-05,0.0131686,0.001576,0.00041024
113,4.448e-05,0.0131776,0.00157536,0.00040528
114,4.368e-05,0.0131843,0.00156176,0.00040912
115,4.4e-05,0.0131901,0.00155312,0.00040448
116,4.352e-05,0.0131944,0.00156608,0.00040752
117,4.352e-05,0.0132032,0.00157296,0.0004072
118,4.368e-05,0.0132059,0.0015608,0.0004096
119,4.368e-05,0.0132165,0.00152112,0.00040752
120,4.336e-05,0.0132179,0.00147776,0.00040736
121,4.336e-05,0.0132218,0.00144512,0.00040528
122,4.336e-05,0.013248,0.00140144,0.00040784
123,4.352e-05,0.013236,0.00139648,0.00040992
124,4.336e-05,0.0132534,0.00139472,0.00041088
125,4.304e-05,0.0132461,0.00140512,0.00040704
126,4.272e-05,0.013265,0.00141328,0.0004096
127,4.272e-05,0.0132522,0.00140576,0.00041008
128,4.24e-05,0.0132696,0.00140976,0.00040912
129,4.24e-05,0.0132579,0.00142128,0.0004072
130,4.176e-05,0.0132462,0.00141552,0.000408
131,4.176e-05,0.0132309,0.00142672,0.0004088
132,4.144e-05,0.0132366,0.001432,0.00040416
133,4.144e-05,0.0132459,0.00144528,0.00040928
134,4.128e-05,0.0132536,0.00145456,0.00039424
135,4.096e-05,0.0132723,0.00145792,0.00040832
136,4.096e-05,0.0132803,0.0014672,0.00039568
137,4.048e-05,0.0132864,0.00146912,0.00040928
138,4.032e-05,0.0132899,0.00147248,0.00039856
