frame,blit,drawSides,gBuffer,shading
0,7.888e-05,0.017961,0.008912,0.00042192
1,6e-05,0.0120326,0.00174064,0.00040832
2,5.68e-05,0.011181,0.00169168,0.00039504
3,5.472e-05,0.0106733,0.00168288,0.00040736
4,5.216e-05,0.0102194,0.00163952,0.0004016
5,5.248e-05,0.0102214,0.00165488,0.00040096
6,5.264e-05,0.0102192,0.00164064,0.00040304
7,5.28e-05,0.0102202,0.0016376,0.00040624
8,5.248e-05,0.0102198,0.00163296,0.00040176
9,5.264e-05,0.0102218,0.00163136,0.00040432
10,5.248e-05,0.0102198,0.00163504,0.00040192
11,5.28e-05,0.0102197,0.00162096,0.00040512
12,5.312e-05,0.0102198,0.0016152,0.000404
13,5.296e-05,0.0102203,0.00161424,0.00040544
14,5.264e-05,0.0102213,0.00161792,0.00040688
15,5.248e-05,0.0102205,0.00160464,0.00040448
16,5.248e-05,0.0102197,0.00162688,0.00040512
17,5.232e-05,0.0102198,0.00162464,0.00040656
18,5.248e-05,0.0102166,0.00163664,0.00040992
19,5.232e-05,0.0102218,0.0016416,0.00040256
20,5.216e-05,0.0102192,0.00164272,0.00039984
21,5.216e-05,0.0102202,0.00161792,0.00040096
22,5.232e-05,0.010224,0.00165648,0.00040848
23,5.12e-05,0.0102214,0.00165664,0.00040416
24,5.088e-05,0.0102187,0.00166208,0.000408
25,5.072e-05,0.01022,0.00166368,0.00040432
26,5.056e-05,0.0102214,0.00165968,0.000404
27,5.056e-05,0.010221,0.00166592,0.0004056
28,5.024e-05,0.0102211,0.00167712,0.0004088
29,5.008e-05,0.0102218,0.00168064,0.00040768
30,4.976e-05,0.0102213,0.00170784,0.00040736
31,4.944e-05,0.0102219,0.0017064,0.00040464
32,4.912e-05,0.0102248,0.00171792,0.0004072
33,4.832e-05,0.0102253,0.0017224,0.00041056
34,4.848e-05,0.0102282,0.00172816,0.00040848
35,4.816e-05,0.0102237,0.0017376,0.00040944
36,4.752e-05,0.0102272,0.0017512,0.00041248
37,4.736e-05,0.0102248,0.0017488,0.0004056
38,4.688e-05,0.0102267,0.00177904,0.00040848
39,4.688e-05,0.010228,0.00178784,0.00040992
40,4.656e-05,0.0102275,0.00180896,0.00040752
41,4.624e-05,0.0102328,0.00181888,0.00041232
42,4.544e-05,0.0102301,0.00180976,0.00040928
43,4.608e-05,0.0102307,0.00176064,0.00040976
44,4.768e-05,0.010233,0.00171984,0.00041088
45,4.752e-05,0.0102358,0.00170272,0.0004064
46,4.72e-05,0.0102389,0.00168448,0.00040896
47,4.656e-05,0.0102386,0.00168448,0.00040784
48,4.56e-05,0.0102371,0.00163104,0.00040912
49,4.592e-05,0.010237,0.00160992,0.00040432
50,4.912e-05,0.0102378,0.00165696,0.0004088
51,4.896e-05,0.0102362,0.00167344,0.00040912
52,4.88e-05,0.0102382,0.00167296,0.00040656
53,4.896e-05,0.0102392,0.00168592,0.00040624
54,4.88e-05,0.0102394,0.00163616,0.00040448
55,4.896e-05,0.0102411,0.00166336,0.00040896
56,4.896e-05,0.0102402,0.00166832,0.0004072
57,4.896e-05,0.0102416,0.00167168,0.00040416
58,4.88e-05,0.0102446,0.0016752,0.00040496
59,4.944e-05,0.0102464,0.00167584,0.00040992
60,4.896e-05,0.0102448,0.00165792,0.00041088
61,4.88e-05,0.0102515,0.00167824,0.00040944
62,4.864e-05,0.0102528,0.00169008,0.00040896
63,4.864e-05,0.0102539,0.00169248,0.0004064
64,4.88e-05,0.0102565,0.00170352,0.00040608
65,4.864e-05,0.0102624,0.00171376,0.00040848
66,4.848e-05,0.0102694,0.00171664,0.00040624
67,4.848e-05,0.010267,0.00171952,0.00041088
68,4.848e-05,0.0102733,0.00172512,0.00040672
69,4.784e-05,0.010276,0.00173616,0.00040192
70,4.8e-05,0.0102763,0.0017392,0.00040608
71,4.8e-05,0.010284,0.0017224,0.00040928
72,4.768e-05,0.0102864,0.00175952,0.00041216
73,4.752e-05,0.010285,0.00176288,0.00040912
74,4.688e-05,0.0102882,0.0017856,0.00041024
75,4.704e-05,0.0102886,0.00179472,0.00040544
76,4.608e-05,0.010293,0.001796,0.00040976
77,4.528e-05,0.0102918,0.00176896,0.00041088
78,4.4e-05,0.0102939,0.00179856,0.0004128
79,4.448e-05,0.0102909,0.0018128,0.00041008
80,4.656e-05,0.0102925,0.00185232,0.00041056
81,4.704e-05,0.0102978,0.00183904,0.00039312
82,4.736e-05,0.0103019,0.0018496,0.00041008
83,4.768e-05,0.0103091,0.0018312,0.0004056
84,4.704e-05,0.0103126,0.00192112,0.00041024
85,4.624e-05,0.0103171,0.00194272,0.00040736
86,4.656e-05,0.0103197,0.00196768,0.00041248
87,4.672e-05,0.0103355,0.00197728,0.00040992
88,4.864e-05,0.0103365,0.00201008,0.00040672
89,5.248e-05,0.0103059,0.00207312,0.00040576
90,4.96e-05,0.0103213,0.00198416,0.0004056
91,4.72e-05,0.010391,0.00178128,0.00041376
92,4.4e-05,0.0104074,0.00165568,0.0004104
93,4.528e-05,0.0104198,0.00159376,0.00041296
94,4.496e-05,0.0104278,0.0016032,0.00039888
95,4.528e-05,0.0104414,0.001608,0.0004088
96,4.528e-05,0.0104528,0.00160704,0.00041008
97,4.688e-05,0.010469,0.0015912,0.0004088
98,4.736e-05,0.0104765,0.0016,0.00040992
99,4.704e-05,0.0104853,0.00159744,0.00040832
100,4.72e-05,0.0104952,0.00159456,0.00040752
101,4.72e-05,0.0105029,0.00158976,0.00040624
102,4.688e-05,0.0105,0.00159248,0.00040896
103,4.72e-05,0.0105077,0.00158848,0.0004096
104,4.656e-05,0.0105128,0.00159328,0.00040752
105,4.64e-05,0.0105181,0.00159712,0.00041216
106,4.64e-05,0.0105147,0.00160208,0.00041216
107,4.576e-05,0.0104742,0.001604,0.0004096
108,4.576e-05,0.0104739,0.00160384,0.0004112
109,4.528e-05,0.0104662,0.00161648,0.00040736
